,family,number,genus,species,comment,,
533,Rubiaceae,401,Psychotria,species 1,X,,
534,Rubiaceae,401,Psychotria,species 2,X,,
535,Rubiaceae,401,Psydrax,dicoccus,X,,
536,Rubiaceae,401,Rennellia,borneensis,X,,
537,Rubiaceae,401,Rothmannia,pseudoternisfolia,X,,
538,Rubiaceae,401,Timonius,lasianthoides,X,,
539,Rubiaceae,401,Timonius,wallichianus,X,,
254,Gentianaceae,402,Fagraea,cuspidata,X,,
255,Gentianaceae,402,Fagraea,unknown mixed,X,,
74,Apocynaceae,405,Alstonia,angustifolia,,,
75,Apocynaceae,405,Alstonia,iwagighensis,,,
76,Apocynaceae,405,Kopsia,pauciflora,,,
77,Apocynaceae,405,Tabernaemontana,macrocarpa,"NO BC,E00220033",,
78,Apocynaceae,405,Tabernaemontana,pauciflora,,,
79,Apocynaceae,405,Tabernaemontana,unknown mixed,,,
125,Convolvulaceae,408,Erycibe,borneensis,X,,
446,Oleaceae,414,Chionanthus,curvicarpus,X,,
447,Oleaceae,414,Chionanthus,macrocarpus,E00416683,,
448,Oleaceae,414,Chionanthus,pluriflorus,X,,
449,Oleaceae,414,Chionanthus,unknown mixed,X,,
258,Lamiaceae,424,Callicarpa,longifolia,,,
259,Lamiaceae,424,Callicarpa,pentandra,,,
260,Lamiaceae,424,Teijsmanniodendron,bogoriense,,,
261,Lamiaceae,424,Vitex,pinnata,,,
586,Stemonuraceae,435,Gomphandra,quadrifida,X,,
587,Stemonuraceae,435,Stemonurus,grandifolius,X,,
588,Stemonuraceae,435,Stemonurus,malaccensis,X,,
589,Stemonuraceae,435,Stemonurus,scorpiodes,X,,
590,Stemonuraceae,435,Stemonurus,unknown mixed,X,,
91,Cardiopteridaceae,436,Gonocaryum,calleryanum,X,,
92,Cardiopteridaceae,436,Gonocaryum,macrophyllum,E00274534,,
493,Polyosmaceae,458,Polyosma,integrifolia,X,,
No.,Family,Herbarium no.,Genus,Species,Subspecies,,
