"binomial_name","Family","Genus","Species","species_origin","logging_status"
"Baccaurea stipulata","Phyllanthaceae","Baccaurea","stipulata","CP","logged"
"Baccaurea tetrandra","Phyllanthaceae","Baccaurea","tetrandra","50ha, CP","both"
"Baccaurea unknown mixed","Phyllanthaceae","Baccaurea","unknown mixed","50ha, CP","both"
"Barringtonia lanceolata","Barringtoniaceae","Barringtonia","lanceolata","50ha, CP","both"
"Barringtonia macrostachya","Barringtoniaceae","Barringtonia","macrostachya","50ha, CP","both"
"Barringtonia unknown mixed","Lecythidaceae","Barringtonia","unknown mixed","50ha","unlogged"
"Beilschmiedia Unknown species 1","Lauraceae","Beilschmiedia","Unknown species 1","50ha","unlogged"
"Beilschmiedia assamica","Lauraceae","Beilschmiedia","assamica","50ha","unlogged"
"Beilschmiedia cuadrae","Lauraceae","Beilschmiedia","cuadrae","50ha, CP","both"
"Beilschmiedia micrantha","Lauraceae","Beilschmiedia","micrantha","50ha, CP","both"
"Beilschmiedia tawaensis","Lauraceae","Beilschmiedia","tawaensis","50ha, CP","both"
"Beilschmiedia unknown mixed","Lauraceae","Beilschmiedia","unknown mixed","CP","logged"
"Bhesa paniculata","Celastraceae","Bhesa","paniculata","50ha","unlogged"
"Blumeodendron kurzii","Euphorbiaceae","Blumeodendron","kurzii","50ha, CP","both"
"Blumeodendron tokbrai","Euphorbiaceae","Blumeodendron","tokbrai","50ha, CP","both"
"Bridelia ","Phyllanthaceae","Bridelia","","50ha","unlogged"
"Bridelia griffithii","Phyllanthaceae","Bridelia","griffithii","50ha","unlogged"
"Bridelia penangensis","Phyllanthaceae","Bridelia","penangensis","50ha, CP","both"
"Brownlowia peltata","Malvaceae","Brownlowia","peltata","50ha, CP","both"
"Brownlowia stipulata","Malvaceae","Brownlowia","stipulata","50ha, CP","both"
"Buchanania arborescens","Anacardiaceae","Buchanania","arborescens","50ha","unlogged"
"Buchanania sessilifolia","Anacardiaceae","Buchanania","sessilifolia","50ha, CP","both"
"Buchanania unknown mixed","Anacardiaceae","Buchanania","unknown mixed","50ha","unlogged"
"Callicarpa longifolia","Lamiaceae","Callicarpa","longifolia","50ha","unlogged"
"Callicarpa pentandra","Lamiaceae","Callicarpa","pentandra","50ha, CP","both"
"Callicarpa unknown mixed","Lamiaceae","Callicarpa","unknown mixed","CP","logged"
"Calophyllum blancoi","Calophyllaceae","Calophyllum","blancoi","50ha, CP","both"
"Calophyllum gracilipes","Calophyllaceae","Calophyllum","gracilipes","50ha, CP","both"
"Calophyllum pulcherrimum","Clusiaceae","Calophyllum","pulcherrimum","50ha","unlogged"
"Calophyllum soulattri","Calophyllaceae","Calophyllum","soulattri","50ha, CP","both"
"Calophyllum species 1","Clusiaceae","Calophyllum","species 1","50ha","unlogged"
"Calophyllum species 2","Clusiaceae","Calophyllum","species 2","50ha","unlogged"
"Calophyllum venulosum","Clusiaceae","Calophyllum","venulosum","50ha","unlogged"
"Cananga odorata","Annonaceae","Cananga","odorata","50ha","unlogged"
"Canarium decumanum","Burseraceae","Canarium","decumanum","CP","logged"
"Canarium denticulatum","Burseraceae","Canarium","denticulatum","CP","logged"
"Canarium odontophyllum","Burseraceae","Canarium","odontophyllum","CP","logged"
"Canarium unknown mixed","Burseraceae","Canarium","unknown mixed","CP","logged"
"Carallia borneensis","Rhizophoraceae","Carallia","borneensis","50ha","unlogged"
"Carallia species 1","Rhizophoraceae","Carallia","species 1","50ha","unlogged"
"Caryodaphnopsis tonkinensis","Lauraceae","Caryodaphnopsis","tonkinensis","50ha, CP","both"
"Casearia grewiifolia","Sapindaceae","Casearia","grewiifolia","50ha, CP","both"
"Castanopsis hypophoenicea","Fagaceae","Castanopsis","hypophoenicea","50ha, CP","both"
"Castanopsis motleyana","Fagaceae","Castanopsis","motleyana","CP","logged"
"Castanopsis unknown mixed","Fagaceae","Castanopsis","unknown mixed","50ha","unlogged"
"Chionanthus curvicarpus","Oleaceae","Chionanthus","curvicarpus","50ha","unlogged"
"Chionanthus macrocarpus","Oleaceae","Chionanthus","macrocarpus","50ha","unlogged"
"Chionanthus pluriflorus","Oleaceae","Chionanthus","pluriflorus","50ha, CP","both"
"Chionanthus unknown mixed","Oleaceae","Chionanthus","unknown mixed","50ha, CP","both"
"Chisocheton ceramicus","Meliaceae","Chisocheton","ceramicus","50ha","unlogged"
"Chisocheton macranthus","Meliaceae","Chisocheton","macranthus","50ha, CP","both"
"Chisocheton patens","Meliaceae","Chisocheton","patens","50ha, CP","both"
"Chisocheton pentandrus","Meliaceae","Chisocheton","pentandrus","50ha, CP","both"
"Chisocheton polyandrus","Meliaceae","Chisocheton","polyandrus","50ha","unlogged"
"Chisocheton sarawakensis","Meliaceae","Chisocheton","sarawakensis","50ha, CP","both"
"Chisocheton unknown mixed","Meliaceae","Chisocheton","unknown mixed","50ha, CP","both"
"Cinnamomum griffithii","Lauraceae","Cinnamomum","griffithii","50ha, CP","both"
"Cinnamomum racemosum","Lauraceae","Cinnamomum","racemosum","50ha","unlogged"
"Cinnamomum unknown mixed","Lauraceae","Cinnamomum","unknown mixed","50ha, CP","both"
"Clausena excavata","Rutaceae","Clausena","excavata","50ha, CP","both"
"Clausena unknown","Rutaceae","Clausena","unknown","50ha","unlogged"
"Cleistanthus hirsutulus","Phyllanthaceae","Cleistanthus","hirsutulus","50ha, CP","both"
"Cleistanthus myrianthus","Phyllanthaceae","Cleistanthus","myrianthus","CP","logged"
"Cleistanthus podopixys","Phyllanthaceae","Cleistanthus","podopixys","50ha, CP","both"
"Cleistanthus species 2","Phyllanthaceae","Cleistanthus","species 2","50ha","unlogged"
"Cleistanthus unknown mixed","Phyllanthaceae","Cleistanthus","unknown mixed","50ha, CP","both"
"Coelostegia borneensis","Malvaceae","Coelostegia","borneensis","50ha, CP","both"
"Cowiea borneensis","Rubiaceae","Cowiea","borneensis","50ha","unlogged"
"Crateva magna","Capparaceae","Crateva","magna","50ha","unlogged"
"Cratoxylum cochinchinense","Clusiaceae","Cratoxylum","cochinchinense","50ha","unlogged"
"Cratoxylum unknown mixed","Hypericaceae","Cratoxylum","unknown mixed","CP","logged"
"Croton argyratus","Euphorbiaceae","Croton","argyratus","CP","logged"
"Croton oblongus","Euphorbiaceae","Croton","oblongus","50ha","unlogged"
"Croton unknown mixed","Euphorbiaceae","Croton","unknown mixed","50ha","unlogged"
"Crudia reticulata","Fabaceae-caesalpinioideae","Crudia","reticulata","50ha","unlogged"
