"","binomial_name","family.x","genus.x","species.x","history_at_INDFORSUS_site","species_origin","logging_status","comment"
"77","Beilschmiedia unknown mixed","Lauraceae","Beilschmiedia","unknown mixed",NA,"CP","logged",NA
"78","Bhesa paniculata","Centroplacaceae","Bhesa","paniculata",NA,"50ha","unlogged","E00146488"
"79","Blumeodendron kurzii","Euphorbiaceae","Blumeodendron","kurzii",NA,"50ha, CP","both","E00295357"
"80","Blumeodendron tokbrai","Euphorbiaceae","Blumeodendron","tokbrai",NA,"50ha, CP","both","E00160419"
"81","Bridelia ","Phyllanthaceae","Bridelia","",NA,"50ha","unlogged",""
"82","Bridelia cinnamomea","Phyllanthaceae","Bridelia","cinnamomea",NA,"50ha","unlogged",NA
"83","Bridelia insulana","Phyllanthaceae","Bridelia","insulana",NA,"50ha, CP","both",NA
"84","Brownlowia peltata","Malvaceae","Brownlowia","peltata","Unlogged","50ha, CP, IF","both",""
"85","Brownlowia stipulata","Malvaceae","Brownlowia","stipulata",NA,"50ha, CP","both","X1 NO BC"
"86","Buchanania arborescens","Anacardiaceae","Buchanania","arborescens",NA,"50ha","unlogged",""
"87","Buchanania sessilifolia","Anacardiaceae","Buchanania","sessilifolia","Unlogged","50ha, CP, IF","both",""
"88","Buchanania unknown mixed","Anacardiaceae","Buchanania","unknown mixed",NA,"50ha","unlogged",""
"89","Callicarpa longifolia","Lamiaceae","Callicarpa","longifolia",NA,"50ha","unlogged",""
"90","Callicarpa pentandra","Lamiaceae","Callicarpa","pentandra",NA,"50ha, CP","both",""
"91","Callicarpa unknown mixed","Lamiaceae","Callicarpa","unknown mixed",NA,"CP","logged",NA
"92","Calophyllum blancoi","Calophyllaceae","Calophyllum","blancoi",NA,"50ha, CP","both",""
"93","Calophyllum gracilipes","Calophyllaceae","Calophyllum","gracilipes",NA,"50ha, CP","both",""
"94","Calophyllum pulcherrimum","Calophyllaceae","Calophyllum","pulcherrimum",NA,"50ha","unlogged","E00321130,"
"95","Calophyllum soulattri","Calophyllaceae","Calophyllum","soulattri",NA,"50ha, CP","both","NO BC"
"96","Calophyllum species 1","Clusiaceae","Calophyllum","species 1",NA,"50ha","unlogged",""
"97","Calophyllum species 2","Clusiaceae","Calophyllum","species 2",NA,"50ha","unlogged",""
"98","Calophyllaceae venulosum","Calophyllaceae","Calophyllaceae","venulosum",NA,"50ha","unlogged",NA
"99","Cananga odorata","Annonaceae","Cananga","odorata",NA,"50ha","unlogged","X"
"100","Canarium decumanum","Burseraceae","Canarium","decumanum",NA,"CP","logged",NA
"101","Canarium denticulatum","Burseraceae","Canarium","denticulatum","ActiveRestoration","CP, IF","logged",NA
"102","Canarium odontophyllum","Burseraceae","Canarium","odontophyllum",NA,"CP","logged",NA
"103","Canarium unknown mixed","Burseraceae","Canarium","unknown mixed",NA,"CP","logged",NA
"104","Carallia borneensis","Rhizophoraceae","Carallia","borneensis",NA,"50ha","unlogged","X"
"105","Carallia species 1","Rhizophoraceae","Carallia","species 1",NA,"50ha","unlogged","X"
"106","Caryodaphnopsis tonkinensis","Lauraceae","Caryodaphnopsis","tonkinensis",NA,"50ha, CP","both",""
"107","Casearia grewiifolia","Salicaceae","Casearia","grewiifolia",NA,"50ha, CP","both","X"
"108","Castanopsis hypophoenicea","Fagaceae","Castanopsis","hypophoenicea",NA,"50ha, CP","both","X"
"109","Castanopsis motleyana","Fagaceae","Castanopsis","motleyana",NA,"CP","logged",NA
"110","Castanopsis unknown mixed","Fagaceae","Castanopsis","unknown mixed",NA,"50ha","unlogged","X"
"111","Chionanthus curvicarpus","Oleaceae","Chionanthus","curvicarpus",NA,"50ha","unlogged","X"
"112","Chionanthus macrocarpus","Oleaceae","Chionanthus","macrocarpus",NA,"50ha","unlogged","E00416683"
"113","Chionanthus pluriflorus","Oleaceae","Chionanthus","pluriflorus",NA,"50ha, CP","both","X"
"114","Chionanthus unknown mixed","Oleaceae","Chionanthus","unknown mixed",NA,"50ha, CP","both","X"
"115","Chisocheton ceramicus","Meliaceae","Chisocheton","ceramicus",NA,"50ha","unlogged",""
"116","Chisocheton macranthus","Meliaceae","Chisocheton","macranthus",NA,"50ha, CP","both","E00086426"
"117","Chisocheton patens","Meliaceae","Chisocheton","patens",NA,"50ha, CP","both",""
"118","Chisocheton pentandrus","Meliaceae","Chisocheton","pentandrus",NA,"50ha, CP","both",""
"119","Chisocheton polyandrus","Meliaceae","Chisocheton","polyandrus",NA,"50ha","unlogged",""
"120","Chisocheton sarawakanus","Meliaceae","Chisocheton","sarawakanus",NA,"50ha, CP","both",NA
"121","Chisocheton unknown mixed","Meliaceae","Chisocheton","unknown mixed",NA,"50ha, CP","both",""
"122","Cinnamomum iners","Lauraceae","Cinnamomum","iners",NA,"50ha, CP","both",NA
"123","Cinnamomum racemosum","Lauraceae","Cinnamomum","racemosum",NA,"50ha","unlogged",""
"124","Cinnamomum unknown mixed","Lauraceae","Cinnamomum","unknown mixed",NA,"50ha, CP","both",""
"125","Clausena excavata","Rutaceae","Clausena","excavata",NA,"50ha, CP","both","X"
"126","Clausena unknown","Rutaceae","Clausena","unknown",NA,"50ha","unlogged","X"
"127","Cleistanthus hirsutulus","Phyllanthaceae","Cleistanthus","hirsutulus",NA,"50ha, CP","both",""
"128","Cleistanthus oblongifolius","Phyllanthaceae","Cleistanthus","oblongifolius",NA,"CP","logged",NA
"129","Cleistanthus podopyxis","Phyllanthaceae","Cleistanthus","podopyxis",NA,"50ha, CP","both",NA
"130","Cleistanthus species 2","Phyllanthaceae","Cleistanthus","species 2",NA,"50ha","unlogged",""
"131","Cleistanthus unknown mixed","Phyllanthaceae","Cleistanthus","unknown mixed",NA,"50ha, CP","both",""
"132","Coelostegia borneensis","Malvaceae","Coelostegia","borneensis",NA,"50ha, CP","both","X"
"133","Cowiea borneensis","Rubiaceae","Cowiea","borneensis",NA,"50ha","unlogged","X"
"134","Crateva magna","Capparaceae","Crateva","magna",NA,"50ha","unlogged",""
"135","Cratoxylum cochinchinense","Hypericaceae","Cratoxylum","cochinchinense",NA,"50ha","unlogged",""
"136","Cratoxylum unknown mixed","Hypericaceae","Cratoxylum","unknown mixed",NA,"CP","logged",NA
"137","Croton argyratus","Euphorbiaceae","Croton","argyratus",NA,"CP","logged",NA
"138","Croton oblongus","Euphorbiaceae","Croton","oblongus",NA,"50ha","unlogged",""
"139","Croton unknown mixed","Euphorbiaceae","Croton","unknown mixed",NA,"50ha","unlogged",""
"140","Crudia bantamensis","Fabacea","Crudia","bantamensis",NA,"50ha","unlogged",NA
"141","Crudia tenuipes","Fabaceae","Crudia","tenuipes",NA,"50ha, CP","both","X"
"142","Crudia unknown mixed","Fabaceae","Crudia","unknown mixed",NA,"CP","logged",NA
"143","Crypteronia rubiflora","Crypteroniaceae","Crypteronia","rubiflora",NA,"50ha","unlogged",NA
"144","Cryptocarya ferrea","Lauraceae","Cryptocarya","ferrea",NA,"50ha, CP","both",NA
"145","Cryptocarya pulchrinervia","Lauraceae","Cryptocarya","pulchrinervia",NA,"50ha, CP","both",""
"146","Cryptocarya strictifolia","Lauraceae","Cryptocarya","strictifolia",NA,"CP","logged",NA
"147","Cryptocarya teysmanniana","Lauraceae","Cryptocarya","teysmanniana",NA,"50ha","unlogged",""
"148","Cryptocarya unknown mixed","Lauraceae","Cryptocarya","unknown mixed",NA,"CP","logged",NA
"149","Cyathocalyx magnifructus","Annonaceae","Cyathocalyx","magnifructus",NA,"50ha, CP","both","X"
"150","Cynometra elmeri","Fabaceae","Cynometra","elmeri",NA,"50ha","unlogged","X"
"151","Cynometra mirabilis","Fabaceae","Cynometra","mirabilis",NA,"50ha, CP","both","X"
"152","Dacryodes laxa","Burseraceae","Dacryodes","laxa",NA,"50ha","unlogged","E00045734"
"153","Dacryodes rostrata","Burseraceae","Dacryodes","rostrata",NA,"50ha, CP","both",""
"154","Dacryodes rugosa","Burseraceae","Dacryodes","rugosa",NA,"50ha, CP","both",""
"155","Dacryodes species 1","Burseraceae","Dacryodes","species 1",NA,"50ha","unlogged",""
"156","Dacryodes unknown mixed","Burseraceae","Dacryodes","unknown mixed",NA,"CP","logged",NA
"157","Decaspermum parviflorum","Myrtaceae","Decaspermum","parviflorum",NA,"50ha","unlogged","X"
"158","Dehaasia caesia","Lauraceae","Dehaasia","caesia",NA,"50ha, CP","both",""
"159","Dehaasia gigantocarpa","Lauraceae","Dehaasia","gigantocarpa",NA,"50ha","unlogged","E00164353"
"160","Dehaasia incrassata","Lauraceae","Dehaasia","incrassata",NA,"50ha, CP","both","E00006100"
"161","Dehaasia unknown mixed","Lauraceae","Dehaasia","unknown mixed",NA,"50ha, CP","both",""
"162","Dendrocnide elliptica","Urticaceae","Dendrocnide","elliptica",NA,"50ha, CP","both","X"
"163","Dendrocnide stimulans","Urticaceae","Dendrocnide","stimulans",NA,"50ha","unlogged","X"
"164","Dendrocnide unknown mixed","Urticaceae","Dendrocnide","unknown mixed",NA,"50ha, CP","both","X"
"165","Dialium indum","Fabaceae","Dialium","indum",NA,"50ha","unlogged","X"
"166","Dialium unknown mixed","Fabaceae","Dialium","unknown mixed",NA,"50ha","unlogged","X"
"167","Dillenia borneensis","Dilleniaceae","Dillenia","borneensis",NA,"50ha","unlogged","X"
"168","Dillenia excelsa","Dilleniaceae","Dillenia","excelsa",NA,"50ha, CP","both","X"
"169","Dillenia species 1","Dilleniaceae","Dillenia","species 1",NA,"50ha, CP","both","X"
"170","Dimocarpus dentatus","Sapindaceae","Dimocarpus","dentatus","Unlogged","50ha, CP, IF","both","NO BCC"
"171","Dimocarpus fumatus","Sapindaceae","Dimocarpus","fumatus",NA,"50ha","unlogged",""
"172","Dimocarpus longan","Sapindaceae","Dimocarpus","longan","ActiveRestoration, NaturalRegeneration, Unlogged","50ha, CP, IF","both","E00194401 +1 NO BC"
"173","Tritaxis denticulata","Euphorbiaceae","Tritaxis","denticulata",NA,"50ha, CP","both",NA
"174","Diospyros andamanica","Ebenaceae","Diospyros","andamanica",NA,"50ha, CP","both","X"
"175","Diospyros borneensis","Ebenaceae","Diospyros","borneensis",NA,"50ha","unlogged","E00034068,E00059409,E00348704,E00044660"
"176","Diospyros cauliflora","Ebenaceae","Diospyros","cauliflora",NA,"50ha, CP","both","E00181537,E00059422"
"177","Diospyros curranii","Ebenaceae","Diospyros","curranii",NA,"50ha, CP","both","X"
"178","Diospyros daemona","Ebenaceae","Diospyros","daemona",NA,"50ha","unlogged","X"
"179","Diospyros dictyoneura","Ebenaceae","Diospyros","dictyoneura",NA,"50ha, CP","both","NO BC"
"180","Diospyros diepenhorstii","Ebenaceae","Diospyros","diepenhorstii",NA,"50ha","unlogged","X"
"181","Diospyros elliptifolia","Ebenaceae","Diospyros","elliptifolia",NA,"50ha, CP","both","E00256533"
"182","Diospyros euphlehia","Ebenaceae","Diospyros","euphlehia",NA,"50ha, CP","both",NA
"183","Diospyros frutescens","Ebenaceae","Diospyros","frutescens",NA,"50ha, CP","both","NO CODE"
"184","Diospyros peregrina","Ebenaceae","Diospyros","peregrina",NA,"50ha, CP","both",NA
"185","Diospyros muricata","Ebenaceae","Diospyros","muricata",NA,"50ha, CP","both","X"
"186","Diospyros oblonga","Ebenaceae","Diospyros","oblonga",NA,"50ha, CP","both",NA
"187","Diospyros pyrrhocarpa","Ebenaceae","Diospyros","pyrrhocarpa",NA,"50ha","unlogged","X"
"188","Diospyros species 1","Ebenaceae","Diospyros","species 1",NA,"50ha","unlogged","X"
"189","Diospyros species 2","Ebenaceae","Diospyros","species 2",NA,"50ha","unlogged","X"
"190","Diospyros species 3","Ebenaceae","Diospyros","species 3",NA,"50ha","unlogged","X"
"191","Diospyros species 4","Ebenaceae","Diospyros","species 4",NA,"50ha","unlogged","X"
"192","Diospyros species 6","Ebenaceae","Diospyros","species 6",NA,"50ha","unlogged","X"
"193","Diospyros species 7","Ebenaceae","Diospyros","species 7",NA,"50ha","unlogged","X"
"194","Diospyros squamifolia ","Ebenaceae","Diospyros","squamifolia ",NA,"50ha","unlogged",NA
"195","Diospyros toposia","Ebenaceae","Diospyros","toposia",NA,"50ha, CP","both","X"
"196","Diospyros tuberculata","Ebenaceae","Diospyros","tuberculata",NA,"50ha, CP","both","X"
"197","Diospyros unknown mixed","Ebenaceae","Diospyros","unknown mixed",NA,"CP","logged",NA
"198","Diospyros wallichii","Ebenaceae","Diospyros","wallichii",NA,"50ha","unlogged","E00351586,E00304291,E00144653,E00134370,E00428908"
"199","Discospermum malaccense","Rubiaceae","Discospermum","malaccense",NA,"50ha, CP","both",NA
"200","Diplospora unknown mixed","Rubiaceae","Diplospora","unknown mixed",NA,"50ha","unlogged","X"
"201","Dipterocarpus applanatus","Dipterocarpaceae","Dipterocarpus","applanatus",NA,"CP","logged",NA
"202","Dipterocarpus caudifer","Dipterocarpaceae","Dipterocarpus","caudifer","NaturalRegeneration, ActiveRestoration","CP, IF","logged",NA
"203","Dipterocarpus unknown mixed","Dipterocarpaceae","Dipterocarpus","unknown mixed",NA,"CP","logged",NA
"204","Dracontomelon costatum","Anacardiaceae","Dracontomelon","costatum",NA,"50ha","unlogged",""
"205","Dracontomelon dao","Anacardiaceae","Dracontomelon","dao",NA,"50ha, CP","both","X1NO BC"
"206","Dracontomelon unknown mixed","Anacardiaceae","Dracontomelon","unknown mixed",NA,"50ha","unlogged",""
"207","Drepananthus havilandii","Annonaceae","Drepananthus","havilandii",NA,"CP","logged",NA
"208","Dryobalanops lanceolata","Dipterocarpaceae","Dryobalanops","lanceolata","ActiveRestoration, Unlogged","50ha, CP, IF","both","N"
"209","Drypetes castilloi","Putranjivaceae","Drypetes","castilloi",NA,"50ha, CP","both","NO GENUS"
"210","Drypetes eriocarpa","Putranjivaceae","Drypetes","eriocarpa",NA,"50ha, CP","both",""
"211","Drypetes longifolia","Putranjivaceae","Drypetes","longifolia",NA,"50ha, CP","both",""
"212","Drypetes subcrenata","Putranjivaceae","Drypetes","subcrenata",NA,"50ha","unlogged",""
"213","Drypetes unknown mixed","Putranjivaceae","Drypetes","unknown mixed",NA,"50ha, CP","both",""
"214","Duabanga moluccana","Lythraceae","Duabanga","moluccana",NA,"50ha, CP","both","X"
"215","Durio graveolens","Malvaceae","Durio","graveolens",NA,"50ha, CP","both","X"
"216","Durio unknown mixed","Malvaceae","Durio","unknown mixed",NA,"50ha, CP","both","X"
"217","Prasoxylon alliaceum","Meliaceae","Prasoxylon","alliaceum",NA,"50ha","unlogged",NA
"218","Goniocheton arborescens","Meliaceae","Goniocheton","arborescens",NA,"50ha","unlogged",NA
"219","Epicharis cumingiana","Meliaceae","Epicharis","cumingiana",NA,"50ha","unlogged",NA
"220","Dysoxylum cyrtobotryum","Meliaceae","Dysoxylum","cyrtobotryum",NA,"50ha, CP","both","E00046814"
"221","Prasoxylon excelsum","Meliaceae","Prasoxylon","excelsum",NA,"50ha","unlogged",NA
"222","Didymocheton gaudichaudianus","Meliaceae","Didymocheton","gaudichaudianus",NA,"50ha","unlogged",NA
"223","Dysoxylum grande","Meliaceae","Dysoxylum","grande",NA,"50ha","unlogged",""
"224","Dysoxylum oppositifolium","Meliaceae","Dysoxylum","oppositifolium",NA,"50ha","unlogged",""
"225","Epicharis parasitica","Meliaceae","Epicharis","parasitica",NA,"50ha","unlogged",NA
"226","Prasoxylon rigidum","Meliaceae","Prasoxylon","rigidum",NA,"50ha, CP","both",NA
"227","Dysoxylum unknown mixed","Meliaceae","Dysoxylum","unknown mixed",NA,"50ha, CP","both",""
"228","Elaeocarpus brunnescens","Elaeocarpaceae","Elaeocarpus","brunnescens",NA,"50ha","unlogged",""
"229","Elaeocarpus stipularis","Elaeocarpaceae","Elaeocarpus","stipularis",NA,"50ha, CP","both",""
"230","Elaeocarpus unknown mixed","Elaeocarpaceae","Elaeocarpus","unknown mixed",NA,"50ha, CP","both",""
"231","Endospermum diadenum","Euphorbiaceae","Endospermum","diadenum",NA,"50ha, CP","both",""
"232","Engelhardia danumensis","Juglandaceae","Engelhardia","danumensis",NA,"50ha","unlogged","X"
"233","Erycibe borneensis","Convolvulaceae","Erycibe","borneensis",NA,"50ha, CP","both","X"
"234","Erythroxylum cuneatum","Erythroxylaceae","Erythroxylum","cuneatum",NA,"50ha","unlogged","X"
"235","Eurycoma longifolia","Simaroubaceae","Eurycoma","longifolia",NA,"50ha","unlogged","X"
"236","Eusideroxylon zwageri","Lauraceae","Eusideroxylon","zwageri",NA,"50ha, CP","both","NO BC"
"237","Utania cuspidata","Gentianaceae","Utania","cuspidata",NA,"50ha, CP","both",NA
"238","Fagraea unknown mixed","Gentianaceae","Fagraea","unknown mixed",NA,"50ha","unlogged","X"
"239","Ficus beccarii","Moraceae","Ficus","beccarii",NA,"50ha","unlogged",""
"240","Ficus lepicarpa","Moraceae","Ficus","lepicarpa",NA,"50ha","unlogged",""
"241","Ficus mixed","Moraceae","Ficus","mixed",NA,"50ha","unlogged",""
"242","Ficus obscura","Moraceae","Ficus","obscura",NA,"50ha","unlogged",""
"243","Ficus sinuata","Moraceae","Ficus","sinuata",NA,"50ha","unlogged",""
"244","Ficus species 1","Moraceae","Ficus","species 1",NA,"50ha","unlogged",""
"245","Ficus species 2","Moraceae","Ficus","species 2",NA,"50ha","unlogged",""
"246","Ficus species 3","Moraceae","Ficus","species 3",NA,"50ha","unlogged",""
"247","Ficus species 4","Moraceae","Ficus","species 4",NA,"50ha","unlogged",""
"248","Ficus species 5","Moraceae","Ficus","species 5",NA,"50ha","unlogged",""
"249","Ficus species 6","Moraceae","Ficus","species 6",NA,"50ha","unlogged",""
"250","Ficus species 7","Moraceae","Ficus","species 7",NA,"50ha","unlogged",""
"251","Ficus species 8","Moraceae","Ficus","species 8",NA,"50ha","unlogged",""
"252","Ficus stolonifera","Moraceae","Ficus","stolonifera",NA,"50ha","unlogged",""
"253","Ficus unknown mixed","Moraceae","Ficus","unknown mixed",NA,"CP","logged",NA
"254","Ficus variegata","Moraceae","Ficus","variegata",NA,"50ha, CP","both","NO BC X2"
"255","Flacourtia rukam","Salicaceae","Flacourtia","rukam",NA,"50ha","unlogged","XX"
"256","Fordia brachybotrys","Fabaceae","Fordia","brachybotrys",NA,"50ha, CP","both","X"
"257","Fordia splendidissima","Fabaceae","Fordia","splendidissima",NA,"50ha","unlogged","NO BC"
"258","Fordia species 1","Fabaceae","Fordia","species 1",NA,"50ha","unlogged","X"
"259","Fordia species 3","Fabaceae","Fordia","species 3",NA,"50ha","unlogged","X"
"260","Fordia splendidissima","Fabaceae","Fordia","splendidissima",NA,"50ha, CP","both","NO BC"
"261","Fordia unknown mixed","Fabaceae","Fordia","unknown mixed",NA,"CP","logged",NA
"262","Galearia fulva","Pandaceae","Galearia","fulva",NA,"50ha, CP","both","NO GENUS"
"263","Garcinia nervosa","Clusiaceae","Garcinia","nervosa",NA,"50ha, CP","both",NA
"264","Garcinia forbesii","Clusiaceae","Garcinia","forbesii",NA,"50ha, CP","both",""
"265","Garcinia gaudichaudii","Clusiaceae","Garcinia","gaudichaudii",NA,"50ha","unlogged",""
"266","Garcinia parvifolia","Clusiaceae","Garcinia","parvifolia",NA,"50ha","unlogged",""
"267","Garcinia unknown mixed","Clusiaceae","Garcinia","unknown mixed",NA,"CP","logged",NA
"268","Gardenia carinata","Rubiaceae","Gardenia","carinata",NA,"50ha","unlogged","X"
"269","Gironniera nervosa","Cannabaceae","Gironniera","nervosa",NA,"50ha, CP","both","X"
"270","Gironniera species 1","Cannabaceae","Gironniera","species 1",NA,"50ha","unlogged","X"
"271","Phyllanthus  borneensis","Phyllanthaceae","Phyllanthus ","borneensis",NA,"50ha","unlogged",NA
"272","Glochidion elmeri","Phyllanthaceae","Glochidion","elmeri",NA,"50ha, CP","both",NA
"273","Phyyanthus  lancisepalus","Phyllanthaceae","Phyyanthus ","lancisepalus",NA,"50ha, CP","both",NA
