notes,species,family,reference,calyx_length_mm,corolla_tube_mm,corolla_length_mm,corolla_colour,stamen_length_mm,distribution,altitude
NA,Vachellia tomentosa,leg,Nielsen 1992,0.9_1.2,NA,2.8_3.5,white_yellow,5,Sri Lanka_S India_Bengal_Myanmar_Thailand_Vietnam_Java_Madura_Sumba_Sumbawa_Sulawesi,1_500
NA,Vachellia leucophloea,leg,Nielsen 1992,0.8_1.2,NA,1.2_2,yellow_cream,2.8,India_Myanmar_Thailand_S Vietnam_Java_Madura_Bali_Timor,50_750
Leaf data is from phyllodes,Acacia simsii,leg,Nielsen 1992,0.6_1,NA,1.3_1.5,yellow,3,Australia_New Guinea,1_300
Leaf data is from phyllodes,Acacia oraria,leg,Nielsen 1992,1_1.4,NA,1.5_1.9,yellow,3_4,Queensland_Alor_Flores_Timor,300_700
Leaf data is from phyllodes,Acacia confusa,leg,Nielsen 1992,1_1.3,NA,1.5_1.9,yellow,3.5,Taiwan_Luzon,NA
Leaf data is from phyllodes,Acacia spirorbis,leg,Nielsen 1992,0.8_1,NA,1.8_2.5,NA,2.5_3.5,Queensland_Aneityum Is_Aroa River,NA
Leaf data is from phyllodes,Acacia pubirhacis,leg,Nielsen 1992,0.7,NA,1.6,NA,2,Queensland_W Province PNG,NA
Leaf data is from phyllodes,Acacia mangium,leg,Nielsen 1992,0.6_0.8,NA,1.2_1.5,white_cream_green_yellow,3.5,E Australia_S New Guinea_Aru Is_Ambon_Buru_Seram_Sanana_Taliabu,1_195
Leaf data is from phyllodes,Acacia leptocarpa,leg,Nielsen 1992,0.5_1,NA,1.6_2.4,yellow,3_4,Queensland_N Territory_Wetar_S New Guinea,10_30
Leaf data is from phyllodes,Acacia crassicarpa,leg,Nielsen 1992,0.5_0.7,NA,1.3_1.6,yellow,2_3,Queensland_W PNG,9_30
Leaf data is from phyllodes,Acacia auriculiformis,leg,Nielsen 1992,0.7_1,NA,1.7_2,yellow,3,Queensland_Northern Territory_New Guinea_Kai Is,1_90
Leaf data is from phyllodes,Acacia aulacocarpa,leg,Nielsen 1992,0.5_1,NA,1.2_1.9,yellow_green_cream,2.5_3,E Australia_New Guinea,15_60
Leaf data is from phyllodes,Acacia wetarensis,leg,Nielsen 1992,0.4_0.5,NA,1.2_1.5,NA,2.5,Timor_Wetar,1_900
NA,Albizia acle,leg,Nielsen 1992,2_4,NA,6_7,white,20,Central Prov PNG,1_220
NA,Albizia chinensis,leg,Nielsen 1992,2_5,NA,6_10,NA,20,Sri Lanka_India_Myanmar_Indochina_S China_Java_Bali_Lombok_Sumba_Sumbawa_Flores_Timor,10_1700
NA,Albizia corniculata,leg,Nielsen 1992,1.5_2,NA,5_6,NA,10,S China_Indochina_Thailand_Sabah_Brunei_Sarawak_Palawan,1_300
NA,Albizia dolichadena,leg,Nielsen 1992,2.5_3.5,NA,NA,NA,20,Sabah,3_30
NA,Albizia kostermansii,leg,Nielsen 1992,1.8_2,NA,5.5_6.2,white,15,Borneo,20_500
NA,Albizia lebbekoides,leg,Nielsen 1992,1_1.5,NA,4_5,green,6,Thailand_Laos_Cambodia_Laos_Vietnam_Java_Sulawesi_Philippines_Sumbawa_Kisar_Sumba_Komodo_Flores_Bali_Timor,1_1800
NA,Albizia myriophylla,leg,Nielsen 1992,0.75,NA,3.5_5.5,NA,3.5_5.5,N India_E Himalayas_Myanmar_Thailand_Cambodia_Laos_S Vietnam_N Malay Peninsula_Langkawi_Perlis_Kelantan_Trengganu_Perak_Pahang,1_300
NA,Albizia papuensis,leg,Nielsen 1992,3,NA,6.8_7,cream,15_17,PNG,1_1200
NA,Albizia pedicellata,leg,Nielsen 1992,3_5,NA,6_8,white,20_25,Peninsular Malaysia_Sumatra_Bangka_Borneo_Palawan_Subuyan_Luzon,10_500
NA,Albizia philippinensis,leg,Nielsen 1992,1.5_2,NA,4_4.5,yellow_white,10_14,Luzon_Mindoro,250
NA,Albizia procera,leg,Nielsen 1992,1.5_3,NA,3.5_6.5,green_white,12.5,India_Myanmar_Indochina_Thailand_Hainan_Taiwan_Queensland_Java_Philippines_Sulawesi_LSI_Moluccas_Kai_Tanimbar_New Guinea_Borneo,1_1545
NA,Albizia retusa,leg,Nielsen 1992,1.5_3.5,NA,5_9.5,white,15,Ryukus_Peninsular Thailand_Malesia_Queensland_New Hebrides_Micronesia_Carolines,50_900
NA,Albizia rosulata,leg,Nielsen 1992,1.5_3,NA,5_9,green_white,20,Borneo,1_750
NA,Albizia rufa,leg,Nielsen 1992,1.2,NA,4_5,green_white,12_20,W Java,50_600
NA,Albizia saponaria,leg,Nielsen 1992,1_2.5,NA,4.5_7.1,cream_yellow,NA,Philippines_Sulawesi_Sula Is_Ternate_Halmahera_Seram_Ambon_Morotai,1_1050
NA,Albizia splendens,leg,Nielsen 1992,2_2.5,NA,6_8,green_white,6_8,Peninsular Thailand_Malay Peninsula_Sumatra_Brunei_Sabah_Kalimantan,1_700
NA,Albizia tomentella,leg,Nielsen 1992,1.8_4.5,NA,4.5_9,green,10,Java_Timor_W Flores_Sumbawa_Alor_Wetar,1_1190
NA,Albizia westerhuisii,leg,Nielsen 1992,2_2.5,NA,7_8.5,white,15,W Irian,174_450
NA,Archidendron rufescens,leg,Nielsen 1992,6_8,NA,20_24,cream_brown,55_65,Sepik Province,900
NA,Archidendron forbesii,leg,Nielsen 1992,12_14,NA,22_35,cream_white,50,C Province PNG,480
NA,Archidendron calliandrum,leg,Nielsen 1992,7_10,NA,20_25,NA,50_70,New Guinea,10_200
NA,Archidendron bellum,leg,Nielsen 1992,7_16,NA,27_35,white,45_55,New Guinea,50_700
NA,Archidendron tenuiracemosum,leg,Nielsen 1992,1_2,NA,3.5_6.5,NA,10_30,Morobe_Obi_West Papua,10_500
NA,Archidendron hooglandii,leg,Nielsen 1992,1_2,NA,5.5_7,NA,24,Milne Bay_Normaby Is,5_90
NA,Archidendron glabrum,leg,Nielsen 1992,2_4,NA,6_9,green_cream,15_20,PNG_Normanby Is_Ferguson Is,1_1650
NA,Archidendron monopterum,leg,Nielsen 1992,NA,NA,NA,NA,NA,Sangowo,NA
NA,Archidendron ptenopum,leg,Nielsen 1992,3,NA,9_12.5,green_cream,15_17,Morobe,180
NA,Archidendron hispidum,leg,Nielsen 1992,NA,NA,NA,NA,NA,N Province PNG_Milne Bay Province,350
NA,Archidendron sessile,leg,Nielsen 1992,8,NA,20,green_brown,33,Vogelkop_Jayapura_Mimika,100
NA,Archidendron calycinum,leg,Nielsen 1992,20_32,NA,23_35,green_brown,50,New Guinea,420_800
NA,Archidendron alatum,leg,Nielsen 1992,12,NA,25_35,NA,50_60,West Papua,80
NA,Archidendron royenii,leg,Nielsen 1992,1.5_2,NA,7,NA,15,Waigeo,100
NA,Archidendron parviflorum,leg,Nielsen 1992,1.5_4,NA,5.5_9,white_green,15_20,New Guinea,100_1140
NA,Archidendron pachycarpum,leg,Nielsen 1992,5_7,NA,18,NA,40_50,Melamu,1_40
NA,Archidendron nervosum,leg,Nielsen 1992,4_6,NA,15_17,NA,35,Wokam_Halmahera,70
NA,Archidendron molle,leg,Nielsen 1992,3,NA,8_17,NA,22_35,West Papua_NE PNG,NA
NA,Archidendron megaphyllum,leg,Nielsen 1992,2_4,NA,8_10,NA,NA,S Highlands PNG_W Highlands PNG_Mnt Carstenz,100_800
NA,Archidendron gogolense,leg,Nielsen 1992,5_7,NA,16_23,NA,65,Madang_West Sepik,30
NA,Archidendron glandulosum,leg,Nielsen 1992,1_1.5,NA,19_20,cream,35,Gulf PNG_C Province PNG,45_600
NA,Archidendron brevipes,leg,Nielsen 1992,3_5,NA,8_15,NA,25_37,NE New Guinea,NA
NA,Archidendron brevicalyx,leg,Nielsen 1992,3_4,NA,14_16,NA,40,Ramu River,NA
NA,Archidendron brachycarpum,leg,Nielsen 1992,3,NA,9_13,white,25,Gogol_Ransiki_New Ireland,NA
NA,Archidendron aruense,leg,Nielsen 1992,2.5_6,NA,13_22,cream_white_green,30_45,Aru_New Guinea,1_600
NA,Archidendron trifoliolatum,leg,Nielsen 1992,3.5_5,NA,9_11,green_cream_yellow,20,C Province PNG,1200_1310
NA,Archidendron tjendana,leg,Nielsen 1992,4_8,NA,9_12,white,25,Malili,1_600
NA,Archidendron syringifolium,leg,Nielsen 1992,5_6,NA,15_18,cream,30,W Province PNG,1_50
NA,Archidendron novo-guineense,leg,Nielsen 1992,3_4,NA,11,NA,20,Gabagaba,1
NA,Archidendron muricarpum,leg,Nielsen 1992,5_7.5,NA,10,NA,NA,Normanby Is,10_15
NA,Archidendron lucyi,leg,Nielsen 1992,5.5_12,NA,17_35,white_green_yellow,40_75,Solomons_Queensland_Seram_Kai Is_New Guinea_Bismarcks,1500
NA,Archidendron kalkmanii,leg,Nielsen 1992,2_2.5,NA,12_14,green_white,30,Jayapura,50_430
NA,Archidendron grandiflorum,leg,Nielsen 1992,5.5_10,NA,18_25,white_yellow,45,Queensland_New South Wales_New Guinea,5_250
NA,Archidendron beguinii,leg,Nielsen 1992,13_20,NA,35_45,white,75,Halmahera_Ternate,NA
NA,Archidendron arborescens,leg,Nielsen 1992,2.5_3.5,NA,6_9,green,20,Papua New Guinea,1_1260
NA,Archidendron triplinervium,leg,Nielsen 1992,1.5_4.5,NA,6_10,yellow_green_white,25,Borneo,1_1200
NA,Archidendron trichophyllum,leg,Nielsen 1992,2_3,NA,5_8,yellow_white,18,Sumatra_Bangka,150_850
NA,Archidendron scutiferum,leg,Nielsen 1992,1.2_2.5,NA,4_6,green_white,5_10,Philippines,1_900
NA,Archidendron sabahense,leg,Nielsen 1992,4_5.5,NA,10_12,white,25_30,Sabah,30_300
NA,Archidendron pauciflorum,leg,Nielsen 1992,1.2_2.2,NA,4_5.5,NA,12,Philippines_Sulawesi_Flores,1_1200
NA,Archidendron palauense,leg,Nielsen 1992,1.5_2.5,NA,4_5.5,green_white,8,Timor_Moluccas_Sula Is_West Papua_New Britain_Solomons_Caroline Is,1_210
NA,Archidendron pahangense,leg,Nielsen 1992,2_2.2,NA,5_5.5,NA,NA,Genting highlands,600_1500
NA,Archidendron oppositum,leg,Nielsen 1992,1_1.5,NA,3.5_5.5,white,10,Toba_Borneo_Lingga archipelago,NA
NA,Archidendron minahassae,leg,Nielsen 1992,NA,NA,NA,NA,NA,Minahassa,50_500
NA,Archidendron microcarpum,leg,Nielsen 1992,0.5,NA,2.5_3,white_yellow_green,8_11,Malay Peninsula_Sumatra_Borneo_Bangka,1_1200
NA,Archidendron merrillii,leg,Nielsen 1992,3_5,NA,7.5_12.5,NA,15_20,Luzon_Panay_Mindoro,800_1300
NA,Archidendron kunstleri,leg,Nielsen 1992,5_8.5,NA,13_20,cream_white,40_45,Johor_Pahang_Perak,1_20
NA,Archidendron kinabaluense,leg,Nielsen 1992,2_3.5,NA,6_10,green,NA,Gng Kinabalu_Gng Mulu,1000_1450
NA,Archidendron jiringa,leg,Nielsen 1992,1_2,NA,4_5,cream_yellow_white,8_10,Bangladesh_Myanmar_Thailand_Peninsular Malaysia_Sumatra_Bangka_Java_Borneo,1_1000
NA,Archidendron havilandii,leg,Nielsen 1992,3.1_4,NA,6.5_8,green_white,12,Borneo,1_1550
NA,Archidendron globosum,leg,Nielsen 1992,3.5_5,NA,6_11,NA,15,Assam_Mergui Is_Peninsular Malaysia_Sumatra_Java_Natuna Is_Borneo,1_1000
NA,Archidendron falcatum,leg,Nielsen 1992,2.5,NA,6,white,25,Luzon_Mindanao_Ticao_Guinaras_Palawan,NA
NA,Archidendron fagifolium,leg,Nielsen 1992,1_2,NA,4.2_6,green_white,15,Sumatra_Java_Borneo_Philippines,1_1150
NA,Archidendron ellipticum,leg,Nielsen 1992,1.5_4,NA,4.5_9,yellow_green,6,Nicobars_Peninsular Thailand_Malay Peninsula_Sumatra_Java_Borneo_Philippines,1_600
NA,Archidendron crateradenum,leg,Nielsen 1992,2_3,NA,6_7.5,NA,NA,Minahassa_Sula islands,1_500
NA,Archidendron contortum,leg,Nielsen 1992,1,NA,2.5,white_cream,10,Peninsular Thailand_Peninsular Malaysia_Sumatra_Lingga archipelago,1_1100
NA,Archidendron cockburnii,leg,Nielsen 1992,3.5_4.8,NA,7_11.2,yellow_white_cream,30,Borneo,16_450
NA,Archidendron clypearia,leg,Nielsen 1992,1_3,NA,4_11,cream_white_yellow,13,Sri Lanka_Sikkim_Bangladesh_Assam_Myanmar_S China_Thailand_Indochina_Philippines_Peninsular Malaysia_Sumatra_Borneo_Java_Sulawesi_Moluccas_New Guinea,1_1850
NA,Archidendron bubalinum,leg,Nielsen 1992,1.5_2.5,NA,2.5_5,white,9,S Thailand_Malay Peninsula_Sumatra,1_900
NA,Archidendron borneense,leg,Nielsen 1992,1_2,NA,5_7,cream,20,Bila Sumatra_Bengkalis Is_Borneo,1_1020
NA,Archidendron apoense,leg,Nielsen 1992,2.8_3.2,NA,6_7.2,cream_white,NA,Mt Apo Mindanao,1100_1350
NA,Archidendron harmsii,leg,Nielsen 1992,7_11,NA,22.5_30,green,40,Flores_Sumbawa_Sumba,500_1210
data from specimens on Naturalis,Christia parviflora,leg,NA,3,NA,NA,pale purple_pale blue,NA,Lesser Sunda Islands_Mborong_Flores_Lanang,NA
NA,Christia obcordata,leg,Wu & Raven 2010,2_8,NA,3_5,bluish_purple_roseate,NA,China_Cambodia_India_Indonesia_Japan_Laos_Malaysia_Myanmar_New Guinea_Philippines_Thailand_Vietnam_N Australia,1_500
NA,Christia vespertilionis,leg,Wu & Raven 2010,8_12,NA,6,yellowish_white,NA,"Cambodia, China_Java_Lesser Sunda Is_Malaya_Maluku_Thailand_Vietnam",NA
data from single specimen on Naturalis,Christia zollingeri,leg,NA,4_11,NA,NA,NA,NA,Java,NA
NA,Cullen gaudichaudianum,leg,Grimes 1997,5_6.5,NA,5.5_7,white_yellow,5,Timor_Bali_Sumbawa_Flores_Alor,NA
NA,Cullen stipulaceum,leg,Grimes 1997,7_9.5,NA,8_10,pale blue,6_7,Australia_Timor,NA
NA,Cullen badocanum,leg,Grimes 1997,9_17.5,NA,8_10,pale purple_fading yellow,7_8.75,"Australia, PNG_Philippines",NA
NA,Cullen corylifolium,leg,Grimes 1997,4_5.5,NA,4.5_7,blue-purple_white,4.25_5.5,Africa_ Bangladesh_Myanmar_China_India_Iraq_Java_Laos_Malaysia_Pakistan_Singapore_Sri Lanka_Vietnam,NA
Ruth,Dunbaria floresiana,leg,Maesen 1998,12,NA,22,yellowish_red-veined vexillum,23,Flores,1000_1200
NA,Dunbaria circinalis,leg,Maesen 1998,8.5_11.5,NA,10_14,yellow,13_19,NE India_Thailand_Laos_Timor,50_1200
NA,Dunbaria cumingiana,leg,Maesen 1998,9,NA,18_25,"yellow to yellowish orange, vexillum veined purple and dorsally flushed purple or green",25,Indonesia_PNG_Philippines,0_600
NA,Dunbaria debilis,leg,Maesen 1998,6,NA,8_10,yellowish,12,China_NE India_Australia_PNG,0_1300
NA,Dunbaria incana,leg,Maesen 1998,9,NA,12_17,"vexillum dorsally brown red, purple or crimson, ventrally yellowish with purple veins; wings pale yellowish green; keel greenish or white",18,China_Java_Sumatra_Malaysia_PNG_Thailand_Vietnam,0_1000
NA,Dunbaria podocarpa,leg,Maesen 1998,10_16,NA,15_18,creamy or pale yellow to yellow,22_25,Myanmar_Cambodia_China_Laos_Malaysia_India_Sumatra_Java_Thailand_Vietnam,0_1700
NA,Dunbaria punctata,leg,Maesen 1998,6_8,NA,6_10,yellow,5_11,Australia_Myanmar_Bangladesh_China_Laos_India_Indonesia_Nepal_Philippines_Thailand_Vietnam,0_1200
NA,Dunbaria rubella,leg,Maesen 1998,11_13,NA,12_20,yellow_vexillum veined dark red,16,Indonesia_Thailand_Vietnam,0_150
NA,Dunbaria truncata,leg,Maesen 1998,11_12,NA,12_18,yellow,15_20,Myanmar_China_Indonesia_PNG,0_850
NA,Dunbaria villosa,leg,Maesen 1998,13,NA,16,yellow,19,Myanmar_China_India_Indonesia_Japan_Korea_Laos_Philippines_Thailand_Vietnam,0_3000
Verdcourt,Mucuna warburgii,leg,Wiriadinata et al. 2016; Wilmot-Dear 1992; Verdcourt 1979,6_10,NA,60_80,orange_red,NA,PNG_New Ireland_Moluccas_Sulawesi,1_75
NA,Mucuna verdcourtii,leg,Wiriadinata et al. 2016,NA,NA,NA,NA,NA,Madang_E Highland Prov PNG,NA
NA,Mucuna toppingii,leg,Wiriadinata et al. 2016,NA,NA,NA,NA,NA,Kinabalu_Tambunan,500_1700
NA,Mucuna tomentosa,leg,Wiriadinata et al. 2016,10,NA,35,greenish yellow,NA,Manokwari_PNG,700_2100
NA,Mucuna subumbellata,leg,Wiriadinata et al. 2016; Wilmot-Dear 1990,5,NA,17_28,green_red,NA,Bougainville_Guadalcanal,900
NA,Mucuna stenoplax,leg,Wiriadinata et al. 2016; Wilmot-Dear 1992,4_8,NA,28_45,purple,NA,Peninsular Malaysia_Peninsular Thailand,1_150
NA,Mucuna stanleyi,leg,Wiriadinata et al. 2016; Wilmot-Dear 1990,10_20,NA,30_60,yellow_green,NA,PNG_New Britain_Fiji,1_2100
As puriens var. sericophylla in Wilmot-Dear,Mucuna sericophylla,leg,Wiriadinata et al. 2016; Wilmot-Dear 1991,5_7,NA,NA,NA,NA,Leyte_Luzon_Mindanao_Jolo,1_500
NA,Mucuna schlechteri,leg,Wiriadinata et al. 2016,8_13,NA,3_3.5,"pale green, cream or lemon",NA,New Guinea,1_1760
NA,Mucuna samarensis,leg,Wiriadinata et al. 2016; Wilmot-Dear 1991,10,NA,35_70,purple,NA,Luzon_Mindanao_Samar,1_50
NA,Mucuna sakapipei,leg,Wiriadinata et al. 2016,10_11,NA,20_30,green,25,Halmahera,1_20
NA,Mucuna reticulata,leg,Wiriadinata et al. 2016; Wilmot-Dear 1991,8_10,NA,38_65,white_purple,NA,Luzon_Samar_Sulawesi,1_900
NA,Mucuna pruriens,leg,Wiriadinata et al. 2016,9.5_15.5,NA,4.2_4.5,purple,NA,Tropical Africa_Madagascar_Mascarenes_Sumatra_Java_Luzon_Mindanao_Sulawesi_Bali_Lombok_Sumba_Flores_Timor_Seram_Halmahera_New Guinea,1_1300
NA,Mucuna platyplekta,leg,Wiriadinata et al. 2016; Wilmot-Dear 1991,10,NA,NA,NA,NA,Luzon,NA
NA,Mucuna platyphylla,leg,Wiriadinata et al. 2016; Wilmot-Dear 1990,4_10,NA,32_65,green_white,NA,Gorontalo_Flores_Ternate_Morotai_New Guinea_Solomons_New Caledonia,1_800
Verdcourt as puriens subsp. novo-guineensis,Mucuna papuana,leg,Wiriadinata et al. 2016,NA,NA,NA,green white_cream_yellow,NA,Ayawasi_Morobe_W Sepik,1_1100
NA,Mucuna pachycarpa,leg,Wiriadinata et al. 2016; Wilmot-Dear 1991,NA,NA,NA,NA,NA,Mindanao,NA
NA,Mucuna novo-guineensis,leg,Wiriadinata et al. 2016; Wilmot-Dear 1990; Verdcourt 1979; Verdcourt NG,6_13,NA,4.5_9,scarlet_orange-red,NA,Moluccas_Halmahera_New Guinea,1_2000
NA,Mucuna mollissima,leg,Wiriadinata et al. 2016; Wilmot-Dear 1990,5_8,NA,14_30,NA,NA,Solomons_PNG_Kai Is_Moluccas,1_1500
NA,Mucuna mindoroensis,leg,Wiriadinata et al. 2016; Wilmot-Dear 1991,2,NA,35_38,NA,NA,Mindoro,NA
NA,Mucuna macropoda,leg,Wiriadinata et al. 2016; Hopkins and Hopkins 1993,6,NA,24_31,green_white,NA,Astrolabe range,800
NA,Mucuna macrophylla,leg,Wiriadinata et al. 2016,NA,NA,NA,NA,NA,Sumatra_Java_Flores,1_1350
NA,Mucuna longipedunculata,leg,Wiriadinata et al. 2016; Wilmot-Dear 1991,15,NA,40_83,white,NA,Luzon_Polilo_Catanduanes_Surigao_Biliran_Mindanao,200_300
NA,Mucuna lamii,leg,Wiriadinata et al. 2016; Verdcourt 1979,1.5_2.1,NA,1.8_2.2,pale green or greenish white,NA,New Guinea,100_800
NA,Mucuna keyensis,leg,Wiriadinata et al. 2016,NA,NA,NA,NA,NA,Kai Is,NA
NA,Mucuna kabaensis,leg,Wiriadinata et al. 2016,11,NA,3_25,green_purple,NA,Gunung Sabampolulu,700_900
NA,Mucuna hooglandii,leg,Wiriadinata et al. 2016; Verdcourt 1979,8_10,NA,37,pale green,36,PNG,1_150
NA,Mucuna havilandii,leg,Wiriadinata et al. 2016,12_15,NA,4_40,purple,38_45,Sabah_Sarawak,NA
NA,Mucuna hainanensis,leg,Wiriadinata et al. 2016; Wilmot-Dear 1991,8_12,NA,30_56,purple,NA,Nepal_India_Bangladesh_Myanmar_Luzon_Guimaras_Leyte_Mindanao,1_100
NA,Mucuna gigantea,leg,Wiriadinata et al. 2016; Wilmot-Dear 1991; Wilmot-Dear 1992,8_12,NA,25_40,white_yellow_green_pink,NA,Africa_Seychelles_India_Myanmar_China_Japan_Indochina_Philippines_Peninsular Malaysia_Sumatra_Borneo_Java_Sulawesi_Lesser Sundas_Moluccas_New Guinea_Australia_Solomons_Hawaii_Tahiti_Niue_Cook Is_Mariana Is_New Hebrides_New Calendonia,1_700
NA,Mucuna eurylamellata,leg,Wiriadinata et al. 2016,NA,NA,NA,green_white,NA,C Prov PNG,560_2100
NA,Mucuna elmeri,leg,Wiriadinata et al. 2016,NA,NA,NA,NA,NA,Borneo,1_1000
NA,Mucuna discolor,leg,Wiriadinata et al. 2016; Verdcourt 1979,8,NA,17_20,cream with a greenish tinge,NA,Central Prov PNG,NA
NA,Mucuna diplax,leg,Wiriadinata et al. 2016; Wilmot-Dear 1991,10,NA,30_58,NA,NA,Luzon_Polillo_Mindoro,1_70
NA,Mucuna diabolica,leg,Wiriadinata et al. 2016,NA,NA,NA,NA,NA,Java_Sulawesi_Sumbawa_Flores_Lombok_Timor_Alor,150_1200
NA,Mucuna curranii,leg,Wiriadinata et al. 2016; Wilmot-Dear 1991,12,NA,40_70,white,NA,Luzon,1300_2000
NA,Mucuna canaliculata,leg,Wiriadinata et al. 2016; Verdcourt 1979,8_10,NA,NA,greenish cream or yreenish yellow,NA,PNG,3_1600
NA,Mucuna bracteata,leg,Wiriadinata et al. 2016; Wilmot-Dear 1984,4_7,NA,16_43,purple,NA,India_Myanmar_Yunnan_Thailand_Laos_Vietnam_Sumatra,600_2000
NA,Mucuna brachycarpa,leg,Wiriadinata et al. 2016; Wilmot-Dear 1990,6,NA,20_40,yellow,NA,PNG_Bougainville_PNG,1_600
NA,Mucuna biplicata,leg,Wiriadinata et al. 2016; Wilmot-Dear 1992,5_6,NA,25_53,NA,NA,Sumatra_Peninsular Malaysia_Borneo,1_600
NA,Mucuna bennettii,leg,Wiriadinata et al. 2016; Wilmot-Dear 1991,15,NA,35_65,red,NA,Sulawesi_Moluccas_New Guinea_Solomons_Vanuatu,1_400
NA,Mucuna aurea,leg,Wiriadinata et al. 2016; Wilmot-Dear 1990,10,NA,30_50,red,NA,Luzon,1_1700
NA,Mucuna angustifolia,leg,Wiriadinata et al. 2016,14,NA,7_38,green,44_45,Zambales,1_200
NA,Mucuna aimun,leg,Wiriadinata et al. 2016,11_12,NA,NA,NA,NA,W Highland PNG,2750_2900
NA,Mucuna acuminata,leg,Wiriadinata et al. 2016; Wilmot-Dear 1992,6_9,NA,25_45,white_yellow_green_pink,NA,Peninsular Malaysia_Singapore_Sumatra_Java_Bali_Flores,1_1400
NA,Mucuna kawakabuti,leg,Wiriadinata & Ohashi 1990,NA,NA,NA,NA,NA,Sumba,NA
NA,Mucuna kostermansii,leg,Wiriadinata & Ohashi 1990,7,NA,15_19,green,22,Flores,1000
NA,Mucuna sumbawaensis,leg,Wiriadinata & Ohashi 1990,6_8,NA,33_45,green,43,Sumbawa,200
NA,Senegalia tawitawiensis,leg,Nielsen 1992,1.5_2,NA,2_2.2,NA,4.5,Tawitawi,NA
NA,Senegalia sulitii,leg,Nielsen 1992,1.5_2,NA,2_2.2,yellow_white,4,Philippines_Sulawesi,1_550
NA,Senegalia pseudointsia,leg,Nielsen 1992,1.5_2.3,NA,2_3,yellow,4,Thailand_Peninsular Malaysia_Sumatra_Borneo_Java,1_1000
NA,Senegalia pluriglandulosa,leg,Nielsen 1992,1.5,NA,2.5,white_cream,4.5,New Guinea,45_50
NA,Senegalia pluricapitata,leg,Nielsen 1992,1.5_2.5,NA,1.8_2.5,yellow_white_green,3.5,Thailand_S Vietnam_Peninsular Malaysia_Sumatra_Java,1_725
NA,Senegalia pennata,leg,Nielsen 1992,1.5_2,NA,2.1_2.8,yellow_cream,3.5_5,NE India_Myanmar_Thailand_Indochina_Java_Kagean Is_SW Sulawesi_Lombok_Komodo_Sumbawa_Flores_Timor,20_1200
NA,Senegalia palawanensis,leg,Nielsen 1992,1.5_2.2,NA,2.5_3,white,4.5_5.5,Palawan,100
NA,Senegalia merrillii,leg,Nielsen 1992,1.8_2.1,NA,2_2.5,white,4.5_5,Philippines_Sulawesi_Mangole_Halmahera,1_330
NA,Senegalia megaladena,leg,Nielsen 1992,2_2.5,NA,2.5_3,white,4.5,India_Nepal_S China_Myanmar_Thailand_Indochina_Java_Kedah_Perlis,1_800
NA,Senegalia kekapur,leg,Nielsen 1992,1.6_2,NA,2_2.5,yellow,2.8_3.5,Singapore_Sumatra_Java,1_1000
NA,Senegalia donnaiensis,leg,Nielsen 1992,1.5_2,NA,2_3,white,4,Cambodia_S Vietnam_Sabah_Kalimantan,120_600
as A. concinna Willd.,Senegalia rugata,leg,Nielsen 1992,2_3.2,NA,2.3_4,white_cream,3.5_5.5,Peninsular Malaysia_Singapore_Sumatra_Java_Philippines_Sulawesi_Sumba_Flores_Banda_Ambon_Kai_PNG,50_1050
NA,Senegalia borneensis,leg,Nielsen 1992,1.5_2.1,NA,1.9_2.7,NA,4.5_5.5,Sabah_Kalimantan,1_50
NA,Senegalia kostermansii,leg,Nielsen 1992,2,NA,2.8_2.9,yellow,NA,Sumbawa_Flores_Alor_Wetar,1_200
NA,Senegalia verheijenii,leg,Nielsen 1992,2_2.3,NA,2.5_3,NA,6.5,Flores,NA
NA,Sympetalandra schmutzii,leg,van Steenis 1975_Hou 1996,2,NA,3_5,NA,5_8,Flores,400_500
NA,Sympetalandra borneensis,leg,Hou 1996,1.5,NA,2.5_3.5,cream_white,3_4,Borneo,NA
NA,Sympetalandra unijuga,leg,van Steenis 1975; Hou 1996,NA,NA,NA,NA,2_6,Sumatra_Borneo_Luzon,NA
NA,Sympetalandra hildebrandtii,leg,van Steenis 1975; Hou 1996,2,NA,2.5_3,NA,NA,Malay Peninsula,NA
NA,Sympetalandra densiflora,leg,van Steenis 1975,2.5,NA,3_5,creamy white,3.5_6,Luzon_Samar_Mindanao,1_500
NA,Tephrosia rigida,leg,Bosman & Haas 1983,3_5,NA,6_8,NA,5.6_7.3,Timor_Roti,NA
NA,Tephrosia astragaloides,leg,Bosman & Haas 1983,3_8.5,NA,7_12,white_pale cream_creamish yellow,2.2_7,New Guinea_Australia,9_60
NA,Tephrosia barbatala,leg,Bosman & Haas 1983,3.5_4.5,NA,5_6,blue-violet,3.5_4.3,New Guinea_Australia,15_200
NA,Tephrosia candida,leg,Bosman & Haas 1983,4.5_6.5,NA,1.3_2.6,white,8_20,India_Malesia,1_1650
NA,Tephrosia elliptica,leg,Bosman & Haas 1983,2_4.5,NA,3.5_5.5,pink,4_4.5,Lesser Sunda Isles_Australia,20
NA,Tephrosia filipes,leg,Bosman & Haas 1983,2_3.5,NA,2_5,mauve_crimson_pink_purple_mauve-blue,2.3_5.4,New Guinea_Australia,1_950
NA,Tephrosia leptoclada,leg,Bosman & Haas 1983,2_4.5,NA,5_7,red_pink_maroon,3_4.8,New Guinea_Australia,400_450
