"binomial_name","Family","Genus","Species","history","species_origin","logging_status"
"Baccaurea edulis","Phyllanthaceae","Baccaurea","edulis","NA","50ha","unlogged"
"Baccaurea lanceolata","Phyllanthaceae","Baccaurea","lanceolata","NA","50ha, CP","both"
"Baccaurea macrocarpa","Phyllanthaceae","Baccaurea","macrocarpa","NA","50ha, CP","both"
"Baccaurea parviflora","Phyllanthaceae","Baccaurea","parviflora","NA","50ha","unlogged"
"Baccaurea species 1","Phyllanthaceae","Baccaurea","species 1","NA","50ha","unlogged"
"Baccaurea stipulata","Phyllanthaceae","Baccaurea","stipulata","NA","CP","logged"
"Baccaurea tetrandra","Phyllanthaceae","Baccaurea","tetrandra","NA","50ha, CP","both"
"Baccaurea unknown mixed","Phyllanthaceae","Baccaurea","unknown mixed","NA","50ha, CP","both"
"Barringtonia lanceolata","Barringtoniaceae","Barringtonia","lanceolata","NA","50ha, CP","both"
"Barringtonia macrostachya","Barringtoniaceae","Barringtonia","macrostachya","NA","50ha, CP","both"
"Barringtonia unknown mixed","Lecythidaceae","Barringtonia","unknown mixed","NA","50ha","unlogged"
"Beilschmiedia Unknown species 1","Lauraceae","Beilschmiedia","Unknown species 1","NA","50ha","unlogged"
"Beilschmiedia assamica","Lauraceae","Beilschmiedia","assamica","NA","50ha","unlogged"
"Beilschmiedia cuadrae","Lauraceae","Beilschmiedia","cuadrae","NA","50ha, CP","both"
"Beilschmiedia micrantha","Lauraceae","Beilschmiedia","micrantha","NA","50ha, CP","both"
"Beilschmiedia tawaensis","Lauraceae","Beilschmiedia","tawaensis","NA","50ha, CP","both"
"Beilschmiedia unknown mixed","Lauraceae","Beilschmiedia","unknown mixed","NA","CP","logged"
"Bhesa paniculata","Celastraceae","Bhesa","paniculata","NA","50ha","unlogged"
"Blumeodendron kurzii","Euphorbiaceae","Blumeodendron","kurzii","NA","50ha, CP","both"
"Blumeodendron tokbrai","Euphorbiaceae","Blumeodendron","tokbrai","NA","50ha, CP","both"
"Bridelia ","Phyllanthaceae","Bridelia","","NA","50ha","unlogged"
"Bridelia griffithii","Phyllanthaceae","Bridelia","griffithii","NA","50ha","unlogged"
"Bridelia penangensis","Phyllanthaceae","Bridelia","penangensis","NA","50ha, CP","both"
"Brownlowia peltata","Malvaceae","Brownlowia","peltata","NA, Unlogged","50ha, CP, IF","both"
"Brownlowia stipulata","Malvaceae","Brownlowia","stipulata","NA","50ha, CP","both"
"Buchanania arborescens","Anacardiaceae","Buchanania","arborescens","NA","50ha","unlogged"
"Buchanania sessilifolia","Anacardiaceae","Buchanania","sessilifolia","NA, Unlogged","50ha, CP, IF","both"
"Buchanania unknown mixed","Anacardiaceae","Buchanania","unknown mixed","NA","50ha","unlogged"
"Callicarpa longifolia","Lamiaceae","Callicarpa","longifolia","NA","50ha","unlogged"
"Callicarpa pentandra","Lamiaceae","Callicarpa","pentandra","NA","50ha, CP","both"
"Callicarpa unknown mixed","Lamiaceae","Callicarpa","unknown mixed","NA","CP","logged"
"Calophyllum blancoi","Calophyllaceae","Calophyllum","blancoi","NA","50ha, CP","both"
"Calophyllum gracilipes","Calophyllaceae","Calophyllum","gracilipes","NA","50ha, CP","both"
"Calophyllum pulcherrimum","Clusiaceae","Calophyllum","pulcherrimum","NA","50ha","unlogged"
"Calophyllum soulattri","Calophyllaceae","Calophyllum","soulattri","NA","50ha, CP","both"
"Calophyllum species 1","Clusiaceae","Calophyllum","species 1","NA","50ha","unlogged"
"Calophyllum species 2","Clusiaceae","Calophyllum","species 2","NA","50ha","unlogged"
"Calophyllum venulosum","Clusiaceae","Calophyllum","venulosum","NA","50ha","unlogged"
"Cananga odorata","Annonaceae","Cananga","odorata","NA","50ha","unlogged"
"Canarium decumanum","Burseraceae","Canarium","decumanum","NA","CP","logged"
"Canarium denticulatum","Burseraceae","Canarium","denticulatum","NA, ActiveRestoration","CP, IF","logged"
"Canarium odontophyllum","Burseraceae","Canarium","odontophyllum","NA","CP","logged"
