unique_plot,station,plot,coupe,location,climate_recorded,logged,history,logging_method,logging_intensity,logging_year,latco,longco,census
20_3,20,3,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
21_1,21,1,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
21_2,21,2,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
21_3,21,3,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
22_1,22,1,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
22_2,22,2,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
22_3,22,3,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
23_1,23,1,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
23_2,23,2,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
23_3,23,3,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
24_1,24,1,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
24_2,24,2,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
24_3,24,3,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
25_1,25,1,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
25_2,25,2,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
25_3,25,3,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
26_1,26,1,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
26_2,26,2,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
26_3,26,3,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
27_1,27,1,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
27_2,27,2,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
27_3,27,3,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
28_1,28,1,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
28_2,28,2,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
28_3,28,3,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
29_1,29,1,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
29_2,29,2,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
29_3,29,3,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
30_1,30,1,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
30_2,30,2,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
30_3,30,3,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
31_1,31,1,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
31_2,31,2,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
31_3,31,3,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
32_1,32,1,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
32_2,32,2,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
32_3,32,3,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
33_1,33,1,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
33_2,33,2,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
33_3,33,3,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
34_1,34,1,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
34_2,34,2,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
34_3,34,3,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
35_1,35,1,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
35_2,35,2,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
35_3,35,3,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
36_1,36,1,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
36_2,36,2,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
36_3,36,3,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
37_1,37,1,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
37_2,37,2,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
37_3,37,3,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
38_1,38,1,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
38_2,38,2,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
38_3,38,3,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
39_1,39,1,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
39_2,39,2,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
39_3,39,3,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
40_1,40,1,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
40_2,40,2,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
40_3,40,3,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
41_1,41,1,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
41_2,41,2,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
41_3,41,3,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
42_1,42,1,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
42_2,42,2,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
42_3,42,3,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
43_1,43,1,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
43_2,43,2,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
43_3,43,3,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
44_1,44,1,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
44_2,44,2,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
44_3,44,3,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
45_1,45,1,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
45_2,45,2,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
45_3,45,3,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
46_1,46,1,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
46_2,46,2,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
46_3,46,3,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
