family ,genus,species,history_at_INDFORSUS_site,species_origin,logging_status,
Putranjivaceae,Drypetes,subcrenata,NA,50ha,unlogged,
Putranjivaceae,Drypetes,unknown mixed,NA,"50ha, CP",both,
Lythraceae,Duabanga,moluccana,NA,"50ha, CP",both,
Malvaceae,Durio,graveolens,NA,"50ha, CP",both,
Malvaceae,Durio,unknown mixed,NA,"50ha, CP",both,
Meliaceae,Prasoxylon,alliaceum,NA,50ha,unlogged,
Meliaceae,Goniocheton,arborescens,NA,50ha,unlogged,
Meliaceae,Epicharis,cumingiana,NA,50ha,unlogged,
Meliaceae,Dysoxylum,cyrtobotryum,NA,"50ha, CP",both,
Meliaceae,Prasoxylon,excelsum,NA,50ha,unlogged,
Meliaceae,Didymocheton,gaudichaudianus,NA,50ha,unlogged,
Meliaceae,Dysoxylum,grande,NA,50ha,unlogged,
Meliaceae,Dysoxylum,oppositifolium,NA,50ha,unlogged,
Meliaceae,Epicharis,parasitica,NA,50ha,unlogged,
Meliaceae,Prasoxylon,rigidum,NA,"50ha, CP",both,
Meliaceae,Dysoxylum,unknown mixed,NA,"50ha, CP",both,
Elaeocarpaceae,Elaeocarpus,brunnescens,NA,50ha,unlogged,
Elaeocarpaceae,Elaeocarpus,stipularis,NA,"50ha, CP",both,
Elaeocarpaceae,Elaeocarpus,unknown mixed,NA,"50ha, CP",both,
Euphorbiaceae,Endospermum,diadenum,NA,"50ha, CP",both,
Juglandaceae,Engelhardia,danumensis,NA,50ha,unlogged,
Convolvulaceae,Erycibe,borneensis,NA,"50ha, CP",both,
Erythroxylaceae,Erythroxylum,cuneatum,NA,50ha,unlogged,
Simaroubaceae,Eurycoma,longifolia,NA,50ha,unlogged,
Lauraceae,Eusideroxylon,zwageri,NA,"50ha, CP",both,
Gentianaceae,Utania,cuspidata,NA,"50ha, CP",both,
Gentianaceae,Fagraea,unknown mixed,NA,50ha,unlogged,
Moraceae,Ficus,beccarii,NA,50ha,unlogged,
Moraceae,Ficus,lepicarpa,NA,50ha,unlogged,
Moraceae,Ficus,mixed,NA,50ha,unlogged,
Moraceae,Ficus,obscura,NA,50ha,unlogged,
Moraceae,Ficus,sinuata,NA,50ha,unlogged,
Moraceae,Ficus,species 1,NA,50ha,unlogged,
Moraceae,Ficus,species 2,NA,50ha,unlogged,
Moraceae,Ficus,species 3,NA,50ha,unlogged,
Moraceae,Ficus,species 4,NA,50ha,unlogged,
Moraceae,Ficus,species 5,NA,50ha,unlogged,
Moraceae,Ficus,species 6,NA,50ha,unlogged,
Moraceae,Ficus,species 7,NA,50ha,unlogged,
Moraceae,Ficus,species 8,NA,50ha,unlogged,
Moraceae,Ficus,stolonifera,NA,50ha,unlogged,
Moraceae,Ficus,unknown mixed,NA,CP,logged,
Moraceae,Ficus,variegata,NA,"50ha, CP",both,
Salicaceae,Flacourtia,rukam,NA,50ha,unlogged,
Fabaceae,Fordia,brachybotrys,NA,"50ha, CP",both,
Fabaceae,Fordia,splendidissima,NA,50ha,unlogged,
Fabaceae,Fordia,species 1,NA,50ha,unlogged,
Fabaceae,Fordia,species 3,NA,50ha,unlogged,
Fabaceae,Fordia,splendidissima,NA,"50ha, CP",both,
Fabaceae,Fordia,unknown mixed,NA,CP,logged,
Pandaceae,Galearia,fulva,NA,"50ha, CP",both,
Clusiaceae,Garcinia,nervosa,NA,"50ha, CP",both,
Clusiaceae,Garcinia,forbesii,NA,"50ha, CP",both,
Clusiaceae,Garcinia,gaudichaudii,NA,50ha,unlogged,
Clusiaceae,Garcinia,parvifolia,NA,50ha,unlogged,
Clusiaceae,Garcinia,unknown mixed,NA,CP,logged,
Rubiaceae,Gardenia,carinata,NA,50ha,unlogged,
Cannabaceae,Gironniera,nervosa,NA,"50ha, CP",both,
Cannabaceae,Gironniera,species 1,NA,50ha,unlogged,
Phyllanthaceae,Phyllanthus ,borneensis,NA,50ha,unlogged,
Phyllanthaceae,Glochidion,elmeri,NA,"50ha, CP",both,
Phyllanthaceae,Phyyanthus ,lancisepalus,NA,"50ha, CP",both,
Phyllanthaceae,Glochidion,pubicapsa,NA,"50ha, CP",both,
Phyllanthaceae,Phyllanthus ,subscandens,NA,"50ha, CP",both,
Phyllanthaceae,Glochidion,species 1,NA,50ha,unlogged,
Phyllanthaceae,Glochidion,species 2,NA,50ha,unlogged,
Phyllanthaceae,Glochidion,species 3,NA,50ha,unlogged,
Phyllanthaceae,Glochidion,species 4,NA,50ha,unlogged,
Phyllanthaceae,Glochidion,species 5,NA,50ha,unlogged,
Phyllanthaceae,Glochidion,unknown mixed,NA,"50ha, CP",both,
Rutaceae,Glycosmis,chlorosperma,NA,50ha,unlogged,
Rutaceae,Glycosmis,macrantha,NA,"50ha, CP",both,
Rutaceae,Glycosmis,unknown mixed,NA,50ha,unlogged,
Stemonuraceae,Gomphandra,quadrifida,NA,50ha,unlogged,
Annonaceae,Goniothalamus,gigantifolius,NA,50ha,unlogged,
Annonaceae,Goniothalamus,species 1,NA,50ha,unlogged,
Annonaceae,Goniothalamus,species 2,NA,50ha,unlogged,
Annonaceae,Goniothalamus,species 3,NA,50ha,unlogged,
Annonaceae,Goniothalamus,uvarioides,NA,"50ha, CP",both,
Annonaceae,Goniothalamus,woodii,NA,50ha,unlogged,
Cardiopteridaceae,Gonocaryum,calleryanum,NA,50ha,unlogged,
Cardiopteridaceae,Gonocaryum,macrophyllum,NA,50ha,unlogged,
Thymelaeaceae,Gonystylus,keithii,NA,50ha,unlogged,
Sapindaceae,Guioa,pleuropteris,NA,"50ha, CP",both,
Euphorbiaceae,Hancea,penangensis,NA,50ha,unlogged,
Sapindaceae,Harpullia,arborea,NA,50ha,unlogged,
Sapindaceae,Harpullia,species 1,NA,50ha,unlogged,
Proteaceae,Helicia,excelsa,NA,"50ha, CP",both,
Proteaceae,Helicia,robusta,NA,"50ha, CP",both,
Proteaceae,Heliciopsis,artocarpoides,NA,50ha,unlogged,
Malvaceae,Heritiera,elata,NA,50ha,unlogged,
Salicaceae,Homalium,foetidum,NA,50ha,unlogged,
Dipterocarpaceae,Hopea,ferruginea,NA,"50ha, CP",both,
Dipterocarpaceae,Hopea,nervosa,NA,"50ha, CP",both,
Dipterocarpaceae,Hopea,pentanervia,NA,50ha,unlogged,
Dipterocarpaceae,Hopea,plagata,NA,50ha,unlogged,
Dipterocarpaceae,Hopea,sangal,NA,"50ha, CP",both,
Dipterocarpaceae,Hopea,unknown mixed,NA,"50ha, CP",both,
Myristicaceae,Horsfieldia,irya,NA,50ha,unlogged,X2 NO BC
Myristicaceae,Horsfieldia,polyspherula,NA,"50ha, CP",both,
Myristicaceae,Horsfieldia,unknown mixed,NA,50ha,unlogged,
Annonaceae,Huberantha,rumphii,NA,CP,logged,
Achariaceae,Hydnocarpus,anomalus,NA,CP,logged,
Achariaceae,Hydnocarpus,borneensis,NA,"50ha, CP",both,
Achariaceae,Hydnocarpus,polypetalus,NA,50ha,unlogged,
Achariaceae,Hydnocarpus,unknown mixed,NA,"50ha, CP",both,
Fabaceae,Intsia,palembanica,NA,"50ha, CP",both,
Fabaceae,Intsia,unknown mixed,NA,50ha,unlogged,
Irvingiaceae,Irvingia,malayana,NA,50ha,unlogged,
Rubiaceae,Ixora,blumei,NA,"50ha, CP",both,
Rubiaceae,Ixora,brevicaudata,NA,50ha,unlogged,
Rubiaceae,Ixora,grandifolia,NA,"50ha, CP",both,
Rubiaceae,Ixora,unknown mixed,NA,50ha,unlogged,
Calophyllaceae,Kayea,oblongifolia,NA,50ha,unlogged,
Calophyllaceae,Kayea,unknown mixed,NA,CP,logged,
Monimiaceae,Kibara,obtusa,NA,"50ha, CP",both,
Myristicaceae,Knema,cinerea,NA,50ha,unlogged,
Myristicaceae,Knema,elmeri,NA,"50ha, CP",both,
Myristicaceae,Knema,furfuracea,NA,50ha,unlogged,
Myristicaceae,Knema,glomerata,NA,50ha,unlogged,
Myristicaceae,Knema,kostermansiana,NA,50ha,unlogged,
Myristicaceae,Knema,latericia,NA,"50ha, CP",both,
Myristicaceae,Knema,laurina,NA,"50ha, CP",both,
Myristicaceae,Knema,oblongata,NA,50ha,unlogged,
Myristicaceae,Knema,pectinata,NA,CP,logged,
Myristicaceae,Knema,pulchra,NA,50ha,unlogged,
Myristicaceae,Knema,unknown mixed,NA,"50ha, CP",both,
Euphorbiaceae,Koilodepas,laevigatum,NA,50ha,unlogged,
Euphorbiaceae,Koilodepas,longifolium,NA,"50ha, CP",both,
Celastraceae,Kokoona,ochracea,NA,50ha,unlogged,
Fabaceae,Koompassia,excelsa,NA,"50ha, CP",both,
Apocynaceae,Kopsia,pauciflora,NA,50ha,unlogged,
Meliaceae,Lansium,domesticum,NA,"50ha, CP",both,
Rubiaceae,Lasianthus,borneensis,NA,50ha,unlogged,
Rubiaceae,Lasianthus,reticulatus,NA,50ha,unlogged,
Rubiaceae,Lasianthus,species 1,NA,50ha,unlogged,
Rubiaceae,Lasianthus,species 2,NA,50ha,unlogged,
Rubiaceae,Lasianthus,species 3,NA,50ha,unlogged,
Rubiaceae,Lasianthus,unknown mixed,NA,50ha,unlogged,
Vitaceae,Leea,aculeata,NA,"50ha, CP",both,
Vitaceae,Leea,indica,NA,50ha,unlogged,
Sapindaceae,Lepisanthes,fruticosa,NA,50ha,unlogged,
Sapindaceae,Lepisanthes,senegalensis,NA,"50ha, CP",both,
Sapindaceae,Lepisanthes,tetraphylla,NA,50ha,unlogged,
Sapindaceae,Lepisanthes,unknown mixed,NA,"50ha, CP",both,
Chrysobalanaceae,Angelesia,splendens,NA,50ha,unlogged,
Fagaceae,Lithocarpus,ewyckii,NA,"50ha, CP",both,
Fagaceae,Lithocarpus,gracilis,NA,"50ha, CP",both,
Fagaceae,Lithocarpus,leptogyne,NA,"50ha, CP",both,
Fagaceae,Lithocarpus,nieuwenhuisii,NA,"50ha, CP",both,
Fagaceae,Lithocarpus,species 1,NA,50ha,unlogged,
Fagaceae,Lithocarpus,species 2,NA,50ha,unlogged,
Fagaceae,Lithocarpus,species 3,NA,50ha,unlogged,
Fagaceae,Lithocarpus,species 4,NA,50ha,unlogged,
Fagaceae,Lithocarpus,species 5,NA,50ha,unlogged,
Fagaceae,Lithocarpus,species 6,NA,50ha,unlogged,
Fagaceae,Lithocarpus,species 7,NA,50ha,unlogged,
Fagaceae,Lithocarpus,species 8,NA,50ha,unlogged,
Fagaceae,Lithocarpus,species 9,NA,50ha,unlogged,
Fagaceae,Lithocarpus,unknown mixed,NA,CP,logged,
Lauraceae,Litsea,accedens,NA,"50ha, CP",both,
Lauraceae,Litsea,angulata,NA,"50ha, CP",both,
Lauraceae,Litsea,caulocarpa,NA,"50ha, CP",both,
Lauraceae,Litsea,cordata,NA,"50ha, CP",both,
Lauraceae,Litsea,cuprea,NA,50ha,unlogged,
Lauraceae,Litsea,curtisii,NA,50ha,unlogged,
Lauraceae,Litsea,elliptica,NA,50ha,unlogged,
Lauraceae,Litsea,ferruginea,NA,50ha,unlogged,
Lauraceae,Litsea,ficoidea,NA,50ha,unlogged,
Lauraceae,Litsea,fulva,NA,"50ha, CP",both,
Lauraceae,Litsea,garciae,NA,"50ha, CP",both,
Lauraceae,Litsea,grandis,NA,"50ha, CP",both,
Lauraceae,Litsea,ligustrina,NA,50ha,unlogged,
Lauraceae,Litsea,machilifolia,NA,50ha,unlogged,
Lauraceae,Litsea,oppositifolia,NA,"50ha, CP",both,
Lauraceae,Litsea,robusta,NA,50ha,unlogged,
Lauraceae,Litsea,unknown mixed,NA,"50ha, CP",both,
Celastraceae,Lophopetalum,beccarianum,NA,"50ha, CP",both,
Celastraceae,Lophopetalum,javanicum,NA,"50ha, CP",both,
Celastraceae,Lophopetalum,unknown mixed,NA,50ha,unlogged,
Rubiaceae,Ludekia,borneensis,NA,"50ha, CP",both,
Rubiaceae,Ludekia,unknown mixed,NA,CP,logged,
Annonaceae,Maasia,sumatrana,NA,CP,logged,
Euphorbiaceae,Macaranga,conifera,NA,CP,logged,
Euphorbiaceae,Macaranga,gigantea,NA,CP,logged,
Euphorbiaceae,Macaranga,hypoleuca,NA,"50ha, CP",both,
Euphorbiaceae,Macaranga,pearsonii,NA,"50ha, CP",both,
Euphorbiaceae,Macaranga,winkleri,NA,50ha,unlogged,
Sapotaceae,Madhuca,elmeri,NA,"50ha, CP",both,
Sapotaceae,Madhuca,kingiana,NA,"50ha, CP",both,
Sapotaceae,Madhuca,korthalsii,NA,"50ha, CP",both,
Sapotaceae,Madhuca,kunstleri,NA,50ha,unlogged,
Sapotaceae,Madhuca,mindanaensis,NA,50ha,unlogged,
Sapotaceae,Madhuca,unknown mixed,NA,50ha,unlogged,
Magnoliaceae,Magnolia,beccarii,NA,50ha,unlogged,
Magnoliaceae,Magnolia,acuminata,NA,"50ha, CP",both,
Magnoliaceae,Magnolia,gigantifolia,NA,"50ha, CP",both,
Euphorbiaceae,Mallotus,korthalsii,NA,"50ha, CP",both,
Euphorbiaceae,Mallotus,lackeyi,NA,"50ha, CP",both,
Euphorbiaceae,Mallotus,miquelianus,NA,50ha,unlogged,
Euphorbiaceae,Hancea,penangensis,NA,CP,logged,
Euphorbiaceae,Mallotus,species 1,NA,"50ha, CP",both,
Euphorbiaceae,Hancea,stipularis,NA,CP,logged,
Euphorbiaceae,Mallotus,unknown mixed,NA,"50ha, CP",both,
Euphorbiaceae,Mallotus,wrayi,NA,"50ha, CP",both,
Anacardiaceae,Mangifera,caesia,NA,"50ha, CP",both,
Anacardiaceae,Mangifera,indica,NA,50ha,unlogged,
