"species","mean_dry_seed_mass_BIEN","trait","unit","level_used","sample_size","ids"
"Adinandra unknown<a0>mixed","NA","seed mass","mg","NA","0","NA"
"Aglaia angustifolia","924.6375","seed mass","mg","Genus","4","3902568,3944597,3126478,3139239"
"Aglaia argentea","924.6375","seed mass","mg","Genus","4","3902568,3944597,3126478,3139239"
"Aglaia crassinervia","924.6375","seed mass","mg","Genus","4","3902568,3944597,3126478,3139239"
"Aglaia edulis","924.6375","seed mass","mg","Genus","4","3902568,3944597,3126478,3139239"
"Aglaia elliptica","924.6375","seed mass","mg","Genus","4","3902568,3944597,3126478,3139239"
"Aglaia grandis","924.6375","seed mass","mg","Genus","4","3902568,3944597,3126478,3139239"
"Aglaia luzoniensis","924.6375","seed mass","mg","Genus","4","3902568,3944597,3126478,3139239"
"Aglaia macrocarpa","924.6375","seed mass","mg","Genus","4","3902568,3944597,3126478,3139239"
"Aglaia odoratissima","924.6375","seed mass","mg","Genus","4","3902568,3944597,3126478,3139239"
"Aglaia oligophylla","924.6375","seed mass","mg","Genus","4","3902568,3944597,3126478,3139239"
"Aglaia silvestris","924.6375","seed mass","mg","Genus","4","3902568,3944597,3126478,3139239"
"Aglaia spectabilis","924.6375","seed mass","mg","Genus","4","3902568,3944597,3126478,3139239"
"Aglaia tomentosa","298","seed mass","mg","Species","1","3126478"
"Aglaia unknown<a0>mixed","924.6375","seed mass","mg","Genus","4","3902568,3944597,3126478,3139239"
"Alangium javanicum","75","seed mass","mg","Genus","1","3944741"
"Allophylus cobbe","814.590059666667","seed mass","mg","Genus","18","4406701,3945347,3944707,3944643,3945296,3945312,3945334,3945340,3241020,3250917,3250915,3704496,3117960,3137567,3139203,3139204,3139206,3139367"
