species,reference,fruit_size_mm,fruit_size_min_mm,tdwg_l3
Dicliptera canescens,Fl. of Java 2,4,3.5,Java
Dicliptera clarkei,Leafl. Philipp. Bot. v. 1689 (1913),7.5,7.5,Philippines
Dicliptera javanica,Fl. of Java 2,4,4,Java
Dicliptera leonotis,Fl. of Java 2,4.5,4,Java
Rostellularia ardjunensis,Fl. of Java 2,7,7,Java
Rostellularia backeri,Fl. of Java 2,7,6,Java
Rostellularia lanceolata,"Verh. Kon. Ned. Akad. Wetensch., Afd. Natuurk., Sect. 2, 45(2): 63 (1948)",6.5,1.9,Lesser Sundas
Rostellularia obtusa,Fl. of Java 2,5,4,Java
Rostellularia ovata,Fl. of Java 2,5.75,5.5,Java
Rostellularia ovata,Fl. of Java 2,5.75,5.5,Lesser Sundas
Rostellularia procumbens,Fl. of Java 2,5,4,Java
Rostellularia procumbens,Fl. of Java 2,5,4,Philippines
Rostellularia procumbens,Fl. of Java 2,5,4,Sulawesi
Rostellularia procumbens,Fl. of Java 2,5,4,Sumatra
Rostellularia smeruensis,Fl. of Java 2,10,9,Java
Rostellularia smeruensis,Fl. of Java 2,10,9,Lesser Sundas
Strobilanthes afriastiniae,Bennett & Scotland 2003,5,3.5,Java
Strobilanthes alata,Bennett & Scotland 2003,6,3,Java
Strobilanthes apoensis,Wood & Scotland 2009; Bennett & Scotland 2003,20,4,Java
Strobilanthes apoensis,Wood & Scotland 2009; Bennett & Scotland 2003,20,4,Lesser Sundas
Strobilanthes apoensis,Wood & Scotland 2009; Bennett & Scotland 2003,20,4,Philippines
Strobilanthes arborea,Bremekamp 1944,12.5,4,Lesser Sundas
Strobilanthes autapomorpha,Bennett & Scotland 2003,6,3,Java
Strobilanthes backeri,Bennett & Scotland 2003,4,2,Lesser Sundas
Strobilanthes backeri,Bennett & Scotland 2003,4,2,Java
Strobilanthes backeri,Bennett & Scotland 2003,4,2,Sulawesi
Strobilanthes bakeri,Deng 2019; Moylan et al. 2002,10.8,0.7,Philippines
Strobilanthes baracatanense,Deng 2019; Moylan et al. 2002,7.3,1.6,Philippines
Strobilanthes barisanensis,Wood & Scotland 2009; Bremekamp 1944,16,5,Sumatra
Strobilanthes blumeana,Deng 2019; Moylan et al. 2002,9.2,1,Philippines
Strobilanthes blumeana,Deng 2019; Moylan et al. 2002,9.2,1,Borneo
Strobilanthes blumeana,Deng 2019; Moylan et al. 2002,9.2,1,Java
Strobilanthes blumeana,Deng 2019; Moylan et al. 2002,9.2,1,Sumatra
Strobilanthes bunnemeyeri,Wood & Scotland 2003 [panicled]; Bremekamp 1944,15,4.5,Sumatra
Strobilanthes calcicola,Wood et al. 2003,4,1.25,Sulawesi
Strobilanthes capillipes,Wood & Scotland 2003 [panicled]; Bremekamp 1944,15,3.5,Sumatra
Strobilanthes celebica,Wood & Scotland 2009; Bremekamp 1944,10,3,Sulawesi
Strobilanthes cernua,Bennett & Scotland 2003,5,3,Java
Strobilanthes cernua,Bennett & Scotland 2003,5,3,Sumatra
Strobilanthes coertii,Bennett & Scotland 2003,6,3,Java
Strobilanthes cumingiana,Moylan et al. 2002,9.3,1,Philippines
Strobilanthes cumingiana,Moylan et al. 2002,9.3,1,Java
Strobilanthes cumingiana,Moylan et al. 2002,9.3,1,Borneo
Strobilanthes diversifolia,Deng 2019,9,0.6,Philippines
Strobilanthes echinata,Bennett et al. 2008,18,12,Sumatra
Strobilanthes echinata,Bennett et al. 2008,18,12,Borneo
Strobilanthes elmeri,Deng 2019; Moylan et al. 2002,10,0.8,Philippines
Strobilanthes filiformis,Bennett & Scotland 2003,15,4,Java
Strobilanthes filiformis,Bennett & Scotland 2003,15,4,Lesser Sundas
Strobilanthes filiformis,Bennett & Scotland 2003,15,4,Sulawesi
Strobilanthes fruticulosa,Deng 2019; Moylan et al. 2002,8.9,0.7,Philippines
Strobilanthes fusca,Wood & Scotland 2009,11,1.75,Philippines
Strobilanthes glandulosa,Bennett & Scotland 2003,8,1.5,Java
Strobilanthes glandulosa,Bennett & Scotland 2003,8,1.5,Sumatra
Strobilanthes involucrata,Bennett & Scotland 2003,16,5,Java
Strobilanthes kjellbergii,Wood & Scotland 2009,12,2.5,Sulawesi
Strobilanthes klossii,Deng 2019; Moylan et al. 2002,8.7,0.7,Philippines
Strobilanthes klossii,Deng 2019; Moylan et al. 2002,8.7,0.7,New Guinea
Strobilanthes klossii,Deng 2019; Moylan et al. 2002,8.7,0.7,Maluku
Strobilanthes koordersii,Bennett & Scotland 2003,7,3,Java
Strobilanthes korthalsii,Wood & Scotland 2003 [2-lipped]; Bremekamp 1944,10,3.5,Sumatra
Strobilanthes linearifolia,Deng 2019; Moylan et al. 2002,9.6,1.1,Philippines
Strobilanthes linearifolia,Deng 2019; Moylan et al. 2002,9.6,1.1,Sulawesi
Strobilanthes linearifolia,Deng 2019; Moylan et al. 2002,9.6,1.1,New Guinea
Strobilanthes longipetiolata,Deng 2019; Moylan et al. 2002,6.1,0.7,Philippines
Strobilanthes longistaminea,Wood & Scotland 2009,3.5,1.25,Sulawesi
Strobilanthes moschifera,Bennett & Scotland 2003,10,1.5,Java
Strobilanthes murutorum,Wood & Scotland 2006,13,2,Borneo
Strobilanthes ovatifolia,Wood & Scotland 2003 [panicled],21,5,Sumatra
Strobilanthes pachyphylla,Moylan et al. 2002,11.5,1.5,Philippines
Strobilanthes paniculata,Bennett & Scotland 2003,9,3,Lesser Sundas
Strobilanthes paniculata,Bennett & Scotland 2003,9,3,Java
Strobilanthes paniculata,Bennett & Scotland 2003,9,3,Sumatra
Strobilanthes parabolica,Bennett & Scotland 2003,6,1.5,Java
Strobilanthes parabolica,Bennett & Scotland 2003,6,1.5,Sumatra
Strobilanthes pauciflora,Deng 2019; Moylan et al. 2002,7,0.9,Philippines
Strobilanthes pedunculosa,Wood & Scotland 2003 [panicled]; Bennett & Scotland 2003,21,21,Java
Strobilanthes pedunculosa,Wood & Scotland 2003 [panicled]; Bennett & Scotland 2003,21,21,Sumatra
Strobilanthes perplexa,Wood & Scotland 2003 [2-lipped],12,12,Sumatra
Strobilanthes polybotra,Wood & Scotland 2003 [panicled]; Bremekamp 1944,17,7,Sumatra
Strobilanthes ramosissima,Wood & Scotland 2003 [panicled],13,11.5,Sumatra
Strobilanthes repanda,Bennett & Scotland 2003,8,1.5,Java
Strobilanthes reptans,Moylan et al. 2002,8.5,1,Philippines
Strobilanthes reptans,Moylan et al. 2002,8.5,1,Maluku
Strobilanthes reptans,Moylan et al. 2002,8.5,1,Sulawesi
Strobilanthes reptans,Moylan et al. 2002,8.5,1,Java
Strobilanthes reptans,Moylan et al. 2002,8.5,1,New Guinea
Strobilanthes rhityphylla,Deng 2019; Moylan et al. 2002,7.5,0.8,Philippines
Strobilanthes speciosa,Bennett & Scotland 2003,15,4,Java
Strobilanthes speciosa,Bennett & Scotland 2003,15,4,Sumatra
Strobilanthes speciosa,Bennett & Scotland 2003,15,4,Borneo
Strobilanthes sumatrana,Wood & Scotland 2006,15,4,Sumatra
Strobilanthes viridis,Deng 2019; Moylan et al. 2002,10,2.2,Philippines
Strobilanthes warburgii,Bennett & Scotland 2003,22,8,Java
Strobilanthes zwickeyae,Deng 2019; Moylan et al. 2002,7.6,0.8,Philippines
Saurauia acuminata,Wong (2017),4,3,Borneo
Saurauia agamae,Wong (2017),3,2,Borneo
Saurauia amoena,Wong (2017),6,3,Borneo
Saurauia ashtonii,Wong (2017),3,3,Borneo
Saurauia bakaraya,Wong (2017),2,2,Borneo
Saurauia barbata,Wong (2017),3.5,2.5,Borneo
Saurauia beluranensis,Wong (2017),3.5,3.5,Borneo
Saurauia borneensis,Wong (2017),4.5,3.5,Borneo
Saurauia bosuangii,Wong (2017),6,4,Borneo
Saurauia brevicymula,Wong (2017),3,2,Borneo
Saurauia bruneiensis var bruneiensis,Wong (2017),3,3,Borneo
Saurauia bruneiensis var petiolata,Wong (2017),5,3,Borneo
Saurauia capitellata,Wong (2017),5,5,Borneo
Saurauia chaiana,Wong (2017),2.5,2.5,Borneo
Saurauia chewlunii,Wong (2017),4,3,Borneo
Saurauia conniechaniae,Wong (2017),3.5,3.5,Borneo
Saurauia corneri,Wong (2017),3,2.5,Borneo
Saurauia crockerensis,Wong (2017),5,5,Borneo
Saurauia darikalteng,Wong (2017),1,1,Borneo
Saurauia diwolii,Wong (2017),3,3,Borneo
Saurauia excavata,Wong (2017),5,3,Borneo
Saurauia ferox,Wong (2017),5,4,Borneo
Saurauia geensinkii,Wong (2017),2.5,2.5,Borneo
Saurauia glabra,Wong (2017),14,3,Borneo
Saurauia graciliflora,Wong (2017),2,1.5,Borneo
Saurauia hispidicalyx,Wong (2017),7,5,Borneo
Saurauia horrida,Wong (2017),4,2,Borneo
Saurauia hosei,Wong (2017),3,1.5,Borneo
Mitrephora amdjahii,Weerasooriya & Saunders 2010,26,10,Borneo
Mitrephora cagayanensis,Weerasooriya & Saunders 2010,43,20,Philippines
Mitrephora clemensorium,Weerasooriya & Saunders 2010,34,11,Borneo
Mitrephora diversifolia,Weerasooriya & Saunders 2010,27,9,Sulawesi
Mitrephora diversifolia,Weerasooriya & Saunders 2010,27,9,Lesser Sundas
Mitrephora diversifolia,Weerasooriya & Saunders 2010,27,9,Maluku
Mitrephora diversifolia,Weerasooriya & Saunders 2010,27,9,New Guinea
Mitrephora endertii,Weerasooriya & Saunders 2010,22,2.5,Borneo
Mitrephora ferruginea,Weerasooriya & Saunders 2010,21,16,Sulawesi
Mitrephora fragrans,Weerasooriya & Saunders 2010,44,27,Philippines
Mitrephora fragrans,Weerasooriya & Saunders 2010,44,27,Borneo
Mitrephora glabra,Weerasooriya & Saunders 2010,34,11,Borneo
Mitrephora korthalsii,Weerasooriya & Saunders 2010,41,21,Borneo
Mitrephora kostermansii,Weerasooriya & Saunders 2010,20,8.5,Borneo
Mitrephora lanotan,Weerasooriya & Saunders 2010,25,8,Philippines
Mitrephora longipetala,Weerasooriya & Saunders 2010,31,8,Borneo
Mitrephora macrocarpa,Weerasooriya & Saunders 2010,48,11,Sulawesi
Mitrephora obtusa,Weerasooriya & Saunders 2020,25,8,Java
Mitrephora pictiflora,Weerasooriya & Saunders 2010,22,10,Philippines
Mitrephora polypyrena,Weerasooriya & Saunders 2010,31,8,Java
Mitrephora polypyrena,Weerasooriya & Saunders 2010,31,8,Lesser Sundas
Mitrephora reflexa,Weerasooriya & Saunders 2010,27,9,Philippines
Mitrephora rutescens,Weerasooriya & Saunders 2010,42,25,Sumatra
Mitrephora samarensis,Weerasooriya & Saunders 2010,24,8.5,Philippines
Mitrephora sorsogonensis,Weerasooriya & Saunders 2010,27,14,Philippines
Mitrephora teysmannii,Weerasooriya & Saunders 2010,32,10,Sumatra
Mitrephora teysmannii,Weerasooriya & Saunders 2010,32,10,Borneo
Mitrephora uniflora,Weerasooriya & Saunders 2010,22,11,Borneo
Mitrephora weberi,Weerasooriya & Saunders 2010,41,13,Philippines
Mitrephora williamsii,Weerasooriya & Saunders 2010,30,3.5,Philippines
Mitrephora woodii,Weerasooriya & Saunders 2010,10.5,8,Borneo
Cynanchum dimidiatum,Liede 1999,70,20,Java
Cynanchum dimidiatum,Liede 1999,70,20,Lesser Sundas
Cynanchum dimidiatum,Liede 1999,70,20,Sulawesi
Cynanchum hoedimeerium,Liede 1999,65,8,Java
Cynanchum hoedimeerium,Liede 1999,65,8,Sulawesi
Cynanchum hoedimeerium,Liede 1999,65,8,Lesser Sundas
Cynanchum loheri,Liede 1999,65,0.7,Borneo
Cynanchum loheri,Liede 1999,65,0.7,Philippines
Cynanchum muricatum,Liede 1999,100,12,Sumatra
Cynanchum muricatum,Liede 1999,100,12,Java
Cynanchum ovalifolium,Liede 1999,85,30,Borneo
Cynanchum ovalifolium,Liede 1999,85,30,Philippines
Cynanchum ovalifolium,Liede 1999,85,30,Maluku
Cynanchum ovalifolium,Liede 1999,85,30,Sumatra
Cynanchum ovalifolium,Liede 1999,85,30,Java
Cynanchum ovalifolium,Liede 1999,85,30,Sulawesi
Cynanchum ovalifolium,Liede 1999,85,30,New Guinea
Cynanchum physocarpum,Liede 1999,80,35,Philippines
Cynanchum tuberculatum,Liede 1999,80,5,Java
Dischidia acutifolia,Rintz 1980,60,2,Sumatra
Dischidia acutifolia,Rintz 1980,60,2,Java
Dischidia acutifolia,Rintz 1980,60,2,Philippines
Dischidia acutifolia,Rintz 1980,60,2,Sulawesi
Dischidia albida,Rintz 1980,60,3,Sumatra
Dischidia albida,Rintz 1980,60,3,Sulawesi
Dischidia albida,Rintz 1980,60,3,Borneo
Dischidia albiflora,Rintz 1980,60,5,Borneo
Dischidia astephana,Rintz 1980,30,5,Borneo
Dischidia bengalensis,Rintz 1980; Forster & Liddle 1993,70,3,Sumatra
Dischidia bengalensis,Rintz 1980; Forster & Liddle 1993,70,3,Borneo
Dischidia bengalensis,Rintz 1980; Forster & Liddle 1993,70,3,Java
Dischidia cleistantha,Livshultz 2003,54,3,Philippines
Dischidia cochleata,Rintz 1980,25,4,Sumatra
Dischidia cochleata,Rintz 1980,25,4,Java
Dischidia cochleata,Rintz 1980,25,4,Borneo
Dischidia complex,Rintz 1980,60,3,Borneo
Dischidia dolicantha,Rintz 1980,50,3,Sumatra
Dischidia dolicantha,Rintz 1980,50,3,Borneo
Dischidia hirsuta,Rintz 1980,60,5,Borneo
Dischidia hirsuta,Rintz 1980,60,5,Sumatra
Dischidia hirsuta,Rintz 1980,60,5,Java
Dischidia hirsuta,Rintz 1980,60,5,Philippines
Dischidia hirsuta,Rintz 1980,60,5,Sulawesi
Dischidia hirsuta,Rintz 1980,60,5,New Guinea
Dischidia littoralis,Forster & Liddle 1993,60,5,New Guinea
Dischidia major,Rintz 1980,50,5,Borneo
Dischidia major,Rintz 1980,50,5,Sumatra
Dischidia major,Rintz 1980,50,5,Java
Dischidia major,Rintz 1980,50,5,Sulawesi
Dischidia major,Rintz 1980,50,5,Philippines
Dischidia major,Rintz 1980,50,5,New Guinea
Dischidia nummularia,Rintz 1980,25,4,Sumatra
Dischidia nummularia,Rintz 1980,25,4,Java
Dischidia nummularia,Rintz 1980,25,4,Borneo
Dischidia nummularia,Rintz 1980,25,4,Philippines
Dischidia nummularia,Rintz 1980,25,4,Sulawesi
Dischidia nummularia,Rintz 1980,25,4,Maluku
Dischidia nummularia,Rintz 1980,25,4,New Guinea
Dischidia punctata,Rintz 1980,70,4,Sumatra
Dischidia punctata,Rintz 1980,70,4,Java
Dischidia punctata,Rintz 1980,70,4,Borneo
Dischidia punctata,Rintz 1980,70,4,Philippines
Dischidia subulata,Rintz 1980,100,30,Sumatra
Dischidia torricelensis,Forster 2000,120,2,New Guinea
Marsdenia archboldiana,Forster 1995 [Papuasia],70,4,New Guinea
Marsdenia belensis,Forster 1995 [Papuasia],100,15,New Guinea
Marsdenia carrii,Forster 1995 [Papuasia],110,6,New Guinea
Marsdenia geminata,Forster 1995 [Papuasia],50,4,New Guinea
Marsdenia glabrata,Forster 1995 [Papuasia],75,30,New Guinea
Marsdenia gonoloboides,Forster 1995 [Papuasia],90,60,New Guinea
Marsdenia hamata,Forster 1995 [Papuasia],98,8,New Guinea
Marsdenia lorea,Forster 1995 [Papuasia],240,2.5,New Guinea
Marsdenia tinctoria,Forster 1995,70,20,Sumatra
Marsdenia tinctoria,Forster 1995,70,20,Borneo
Marsdenia tinctoria,Forster 1995,70,20,Sulawesi
Marsdenia tinctoria,Forster 1995,70,20,Java
Marsdenia tinctoria,Forster 1995,70,20,Philippines
Marsdenia tingens,Forster 1995,170,26,Borneo
Marsdenia tingens,Forster 1995,170,26,Java
Marsdenia tingens,Forster 1995,170,26,Sulawesi
Marsdenia tingens,Forster 1995,170,26,Maluku
Marsdenia tingens,Forster 1995,170,26,Lesser Sundas
Marsdenia tingens,Forster 1995,170,26,Philippines
Marsdenia torsiva,Forster 1995 [Papuasia],70,4,New Guinea
Marsdenia tricholepsis,Forster 1995 [Papuasia],60,4,New Guinea
Marsdenia velutina,Forster 1995 [Papuasia],70,14,Philippines
Marsdenia velutina,Forster 1995 [Papuasia],70,14,Maluku
Marsdenia velutina,Forster 1995 [Papuasia],70,14,Lesser Sundas
Marsdenia velutina,Forster 1995 [Papuasia],70,14,New Guinea
Marsdenia viridiflora,Forster 1995 [Papuasia],95,25,New Guinea
Ochrosia ackeringae,Hendrian 2004,44,6,Borneo
Ochrosia ackeringae,Hendrian 2004,44,6,Philippines
Ochrosia ackeringae,Hendrian 2004,44,6,Sumatra
Ochrosia ackeringae,Hendrian 2004,44,6,Java
Ochrosia ackeringae,Hendrian 2004,44,6,Sulawesi
Ochrosia ackeringae,Hendrian 2004,44,6,Maluku
Ochrosia ackeringae,Hendrian 2004,44,6,New Guinea
Ochrosia acuminata,Hendrian 2004,47,15,Sulawesi
Ochrosia apoensis,Hendrian 2004,36,14,Philippines
Ochrosia citrodora,Hendrian 2004,96,18,New Guinea
Ochrosia coccinea,Hendrian 2004,46,20,Maluku
Ochrosia coccinea,Hendrian 2004,46,20,New Guinea
Ochrosia ficifolia,Hendrian 2004,110,26,New Guinea
Ochrosia glomerata,Hendrian 2004,79,18,Borneo
Ochrosia glomerata,Hendrian 2004,79,18,Philippines
Ochrosia glomerata,Hendrian 2004,79,18,Sulawesi
Ochrosia glomerata,Hendrian 2004,79,18,Maluku
Ochrosia glomerata,Hendrian 2004,79,18,New Guinea
Ochrosia minima,Hendrian 2004,14,6,New Guinea
Ochrosia oppositifolia,Hendrian 2004,85,30,Borneo
Ochrosia oppositifolia,Hendrian 2004,85,30,Philippines
Ochrosia oppositifolia,Hendrian 2004,85,30,Sumatra
Ochrosia oppositifolia,Hendrian 2004,85,30,Java
Ochrosia oppositifolia,Hendrian 2004,85,30,Sulawesi
Ochrosia oppositifolia,Hendrian 2004,85,30,Maluku
Ochrosia oppositifolia,Hendrian 2004,85,30,New Guinea
Ochrosia sciadophylla,Hendrian 2004,65,25,New Guinea
Ochrosia syncarpa,Hendrian 2004,30,10,Lesser Sundas
Ochrosia tenimberensis,Hendrian 2004,47,17,Lesser Sundas
Parsonsia alboflavescens,Middleton 1997,210,7,Borneo
Parsonsia alboflavescens,Middleton 1997,210,7,Sumatra
Parsonsia alboflavescens,Middleton 1997,210,7,Java
Parsonsia alboflavescens,Middleton 1997,210,7,Philippines
Parsonsia alboflavescens,Middleton 1997,210,7,Sulawesi
Parsonsia alboflavescens,Middleton 1997,210,7,Maluku
Parsonsia alboflavescens,Middleton 1997,210,7,Lesser Sundas
Parsonsia buruensis,Middleton 1997,265,10,Maluku
Parsonsia buruensis,Middleton 1997,265,10,Lesser Sundas
Parsonsia buruensis,Middleton 1997,265,10,New Guinea
Parsonsia celebica,Middleton 1997,135,30,Borneo
Parsonsia celebica,Middleton 1997,135,30,Sulawesi
Parsonsia curvisepala,Middleton 1997,390,3.2,Sulawesi
Parsonsia curvisepala,Middleton 1997,390,3.2,Philippines
Parsonsia curvisepala,Middleton 1997,390,3.2,New Guinea
Parsonsia hebetica,Middleton 1997,129,2.8,New Guinea
Parsonsia lata,Middleton 1997,120,15,Maluku
Parsonsia lata,Middleton 1997,120,15,New Guinea
Parsonsia oligantha,Middleton 1997,110,18,New Guinea
Parsonsia philippinensis,Middleton 1997,133,10,Java
Parsonsia philippinensis,Middleton 1997,133,10,Borneo
Parsonsia philippinensis,Middleton 1997,133,10,Philippines
Parsonsia rubra,Middleton 1997,142,8,New Guinea
Parsonsia rubra,Middleton 1997,142,8,Maluku
Parsonsia schoddei,Middleton 1997,162,6.5,New Guinea
Parsonsia sundensis,Middleton 1997,120,12,Lesser Sundas
Parsonsia vaccinioides,Middleton 1997,108,70,New Guinea
Parsonsia velutina,Middleton 1997,150,5,Lesser Sundas
Parsonsia velutina,Middleton 1997,150,5,New Guinea
Parsonsia warenensis,Middleton 1997,137,13,New Guinea
Strophanthus caudatus,Beentje 1982,300,20,Borneo
Strophanthus caudatus,Beentje 1982,300,20,Philippines
Strophanthus caudatus,Beentje 1982,300,20,Sulawesi
Strophanthus caudatus,Beentje 1982,300,20,Sumatra
Strophanthus caudatus,Beentje 1982,300,20,Java
Strophanthus caudatus,Beentje 1982,300,20,Lesser Sundas
Strophanthus puberulus,Beentje 1982,15,11,Lesser Sundas
Strophanthus singaporianus,Beentje 1982,210,15,Borneo
Vincetoxicum adnatum,Liede-Schumann & Meve 2018; Backer et al. 1950,70,70,Java
Vincetoxicum adnatum,Liede-Schumann & Meve 2018; Backer et al. 1950,70,70,Sulawesi
Vincetoxicum brassii,Liede-Schumann & Meve 2018; Forster 1994,60,12,New Guinea
Vincetoxicum carnosum,Liede 1999,75,1.5,Philippines
Vincetoxicum carnosum,Liede 1999,75,1.5,Lesser Sundas
Vincetoxicum carnosum,Liede 1999,75,1.5,New Guinea
Vincetoxicum flexuosum,Liede-Schumann & Meve 2018; Forster 1994; Forster 1992 Aus,80,6,New Guinea
Vincetoxicum flexuosum,Liede-Schumann & Meve 2018; Forster 1994; Forster 1992 Aus,80,6,Sulawesi
Vincetoxicum flexuosum,Liede-Schumann & Meve 2018; Forster 1994; Forster 1992 Aus,80,6,Java
Vincetoxicum flexuosum,Liede-Schumann & Meve 2018; Forster 1994; Forster 1992 Aus,80,6,Lesser Sundas
Vincetoxicum flexuosum,Liede-Schumann & Meve 2018; Forster 1994; Forster 1992 Aus,80,6,Sumatra
Vincetoxicum flexuosum,Liede-Schumann & Meve 2018; Forster 1994; Forster 1992 Aus,80,6,Maluku
Vincetoxicum flexuosum,Liede-Schumann & Meve 2018; Forster 1994; Forster 1992 Aus,80,6,Philippines
Vincetoxicum glabriflorum,Liede-Schumann & Meve 2018; Forster 1994,130,16,New Guinea
Rhaphidophora todayensis,Boyce 2000_Philippines,140,15,Philippines
Rhaphidophora perkinsiae,Boyce 2000_Philippines,150,15,Philippines
Rhaphidophora monticola,Boyce 2000_Philippines,280,30,Philippines
Rhaphidophora elmeri,Boyce 2000_Philippines,160,25,Philippines
Rhaphidophora banosensis,Boyce 2000_Philippines,130,20,Philippines
Rhaphidophora acuminata,Boyce 2000_Philippines,170,20,Philippines
Rhaphidophora angustata,Boyce 1999_Pen Mal Sing,200,25,Sumatra
Rhaphidophora australasica,Boyce 2001_NG,90,15,New Guinea
Rhaphidophora beccarii,Boyce 2001_Borneo,90,10,Sumatra
Rhaphidophora beccarii,Boyce 2001_Borneo,90,10,Borneo
Rhaphidophora conica,Boyce 2001_NG,40,5,New Guinea
Rhaphidophora conocephala,Boyce 2001_Borneo; Boyce 2000_Philippines,75,18,Sumatra
Rhaphidophora conocephala,Boyce 2001_Borneo; Boyce 2000_Philippines,75,18,Borneo
Rhaphidophora conocephala,Boyce 2001_Borneo; Boyce 2000_Philippines,75,18,Philippines
Rhaphidophora cylindrosperma,Boyce 2001_Borneo,100,10,Borneo
Rhaphidophora discolor,Boyce 2001_NG,170,20,New Guinea
Rhaphidophora elliptica,Boyce 2001_Borneo,150,20,Borneo
Rhaphidophora elliptifolia,Boyce 2001_Borneo,70,70,Borneo
Rhaphidophora floresensis,Boyce 2000_Indonesia,90,15,Lesser Sundas
Rhaphidophora foraminifera,Boyce 2001_Borneo,150,20,Sumatra
Rhaphidophora foraminifera,Boyce 2001_Borneo,150,20,Borneo
Rhaphidophora fortis,Boyce 2001_NG,50,6,New Guinea
Rhaphidophora geniculata,Boyce 2001_NG,40,20,New Guinea
Rhaphidophora intonsa,Boyce 2001_NG,170,20,New Guinea
Rhaphidophora intrusa,Boyce 2001_NG,50,15,New Guinea
Rhaphidophora kokodensis,Boyce 2001_NG,110,13,New Guinea
Rhaphidophora koordersii,Boyce 2000_Indonesia,90,15,Sulawesi
Rhaphidophora korthalsii,Boyce 2001_Borneo,270,30,Sumatra
Rhaphidophora korthalsii,Boyce 2001_Borneo,270,30,Borneo
Rhaphidophora korthalsii,Boyce 2001_Borneo,270,30,Philippines
Rhaphidophora latevaginata,Boyce 2001_Borneo,150,20,Borneo
Rhaphidophora lobbii,Boyce 2001_Borneo,40,10,Sumatra
Rhaphidophora lobbii,Boyce 2001_Borneo,40,10,Borneo
Rhaphidophora lobbii,Boyce 2001_Borneo,40,10,Sulawesi
Rhaphidophora megasperma,Boyce 2001_Borneo,50,12,Borneo
Rhaphidophora microspadix,Boyce 2001_NG,25,10,New Guinea
Rhaphidophora minor,Boyce 2001_Borneo,70,10,Sumatra
Rhaphidophora minor,Boyce 2001_Borneo,70,10,Sulawesi
Rhaphidophora minor,Boyce 2001_Borneo,70,10,Philippines
Rhaphidophora montana,Boyce 1999_Pen Mal Sing,170,15,Sumatra
Rhaphidophora montana,Boyce 1999_Pen Mal Sing,170,15,Java
Rhaphidophora montana,Boyce 1999_Pen Mal Sing,170,15,Lesser Sundas
Rhaphidophora montana,Boyce 1999_Pen Mal Sing,170,15,Borneo
Rhaphidophora montana,Boyce 1999_Pen Mal Sing,170,15,Sulawesi
Rhaphidophora oligosperma,Boyce 2000_Indonesia,95,7.5,Maluku
Rhaphidophora parvifolia,Boyce 2000_Indonesia,45,12,Maluku
Rhaphidophora pilosa,Boyce 2001_NG,80,18,New Guinea
Rhaphidophora puberula,Boyce 2001_Borneo,140,15,Sumatra
Rhaphidophora puberula,Boyce 2001_Borneo,140,15,Borneo
Rhaphidophora puberula,Boyce 2001_Borneo,140,15,Lesser Sundas
Rhaphidophora schlechteri,Boyce 2001_NG,80,30,New Guinea
Rhaphidophora spathacea,Boyce 2001_NG,90,14,New Guinea
Rhaphidophora spuria,Boyce 2001_NG,120,11,New Guinea
Rhaphidophora sylvestris,Boyce 2001_Borneo,80,20,Sumatra
Rhaphidophora sylvestris,Boyce 2001_Borneo,80,20,Borneo
Rhaphidophora sylvestris,Boyce 2001_Borneo,80,20,Java
Rhaphidophora sylvestris,Boyce 2001_Borneo,80,20,Lesser Sundas
Rhaphidophora talamauana,Boyce 2000_Indonesia,100,25,Sumatra
Rhaphidophora versteegii,Boyce 2001_NG,90,14,New Guinea
Calamus ruvidus,Henderson 2020,10.4,7.6,Borneo
Calamus acamptostachys,Henderson 2020,20.2,15.5,Borneo
Calamus acanthoclamys,Henderson 2020,12.6,6.6,Borneo
Calamus adsperus,Henderson 2020,15,8.5,Java
Calamus adsperus,Henderson 2020,15,8.5,Lesser Sundas
Calamus aidae,Henderson 2020,8.5,4.9,Philippines
Calamus anomalus,Henderson 2020,14.8,10.4,New Guinea
Calamus aruensis,Henderson 2020,15.3,7.8,Maluku
Calamus aruensis,Henderson 2020,15.3,7.8,New Guinea
Calamus arugda,Henderson 2020,31.2,18.1,Philippines
Calamus ashtonii,Henderson 2020,11.3,9,Borneo
Calamus asperrimus,Henderson 2020,20.1,9.7,Sumatra
Calamus asperrimus,Henderson 2020,20.1,9.7,Java
Calamus asteracanthus,Henderson 2020,12.9,6.8,Borneo
Calamus ater,Henderson 2020,24.8,13.5,Borneo
Calamus axillaris,Henderson 2020,15.1,9.3,Sumatra
Calamus axillaris,Henderson 2020,15.1,9.3,Borneo
Calamus bacularis,Henderson 2020,12.7,7.4,Borneo
Calamus balerensis,Henderson 2020,12.4,9.1,Philippines
Calamus barbatus,Henderson 2020,17.3,10.5,New Guinea
Calamus barisanensis,Henderson 2020,15,10,Sumatra
Calamus batanensis,Henderson 2020,12.2,5,Philippines
Calamus bulubabi,Henderson 2020,13.4,9.5,New Guinea
Calamus burckianus,Henderson 2020,11.7,8,Java
Calamus caesius,Henderson 2020,20.9,9.2,Sumatra
Calamus caesius,Henderson 2020,20.9,9.2,Borneo
Calamus caesius,Henderson 2020,20.9,9.2,Philippines
Calamus calapparius,Henderson 2020,32.2,17,Maluku
Calamus calapparius,Henderson 2020,32.2,17,New Guinea
Calamus calicarpus,Henderson 2020,22.5,13.4,Sumatra
Calamus castaneus,Henderson 2020,26.6,12,Sumatra
