"binomial_name","family","genus","species","species_origin","logging_status","history_at_IF_site","history_at_CP_site","fruit_size_mm","fruit_size_min_mm","fruit_size_reference"
"Ardisia  unknown mixed","Primulaceae","Ardisia ","unknown mixed","CP","logged",NA,"AR",NA,NA,NA
"Artocarpus anisophyllus","Moraceae","Artocarpus","anisophyllus","CP, 50ha","both",NA,"NR",NA,NA,NA
"Artocarpus elasticus","Moraceae","Artocarpus","elasticus","CP","logged",NA,"NR",NA,NA,NA
"Artocarpus heterophyllus","Moraceae","Artocarpus","heterophyllus","CP","logged",NA,"AR",NA,NA,NA
"Artocarpus unknown mixed","Moraceae","Artocarpus","unknown mixed","CP","logged",NA,"AR",NA,NA,NA
"Atuna excelsa","Chrysobalanaceae","Atuna","excelsa","CP","logged",NA,"NR",NA,NA,NA
"Azadirachta excelsa","Meliaceae","Azadirachta","excelsa","CP, 50ha","both",NA,"AR",NA,NA,NA
"Baccaurea edulis","Phyllanthaceae","Baccaurea","edulis","50ha","unlogged",NA,NA,NA,NA,NA
"Baccaurea lanceolata","Phyllanthaceae","Baccaurea","lanceolata","CP, 50ha","both",NA,"AR, NR",NA,NA,NA
"Baccaurea macrocarpa","Phyllanthaceae","Baccaurea","macrocarpa","CP, 50ha","both",NA,"no seedling data",NA,NA,NA
"Baccaurea parviflora","Phyllanthaceae","Baccaurea","parviflora","50ha","unlogged",NA,NA,NA,NA,NA
"Baccaurea species 1","Phyllanthaceae","Baccaurea","species 1","50ha","unlogged",NA,NA,NA,NA,NA
"Baccaurea tetrandra","Phyllanthaceae","Baccaurea","tetrandra","CP, 50ha","both",NA,"AR, NR",NA,NA,NA
"Baccaurea unknown mixed","Phyllanthaceae","Baccaurea","unknown mixed","CP, 50ha","both",NA,"AR, NR",NA,NA,NA
"Barringtonia lanceolata","Lecythidaceae ","Barringtonia","lanceolata","CP, 50ha","both",NA,"AR, NR",NA,NA,NA
"Barringtonia macrostachya","Lecythidaceae ","Barringtonia","macrostachya","CP, 50ha","both",NA,"AR, NR",NA,NA,NA
"Barringtonia unknown mixed","Lecythidaceae","Barringtonia","unknown mixed","50ha","unlogged",NA,NA,NA,NA,NA
"Beilschmiedia Unknown species 1","Lauraceae","Beilschmiedia","Unknown species 1","50ha","unlogged",NA,NA,NA,NA,NA
"Beilschmiedia assamica","Lauraceae","Beilschmiedia","assamica","50ha","unlogged",NA,NA,NA,NA,NA
"Beilschmiedia","Lauraceae","Beilschmiedia","","CP, 50ha","both",NA,"NR",NA,NA,NA
