"binomial_name","family.x","genus","species","history_at_INDFORSUS_site","species_origin","logging_status","flowering_at_size_class","reference"
"Discospermum malaccense","Rubiaceae","Discospermum","malaccense",NA,"50ha, CP","both",NA,"Lambir dataset"
"Diplospora unknown mixed","Rubiaceae","Diplospora","unknown mixed",NA,"50ha","unlogged",NA,"Lambir dataset"
"Dipterocarpus applanatus","Dipterocarpaceae","Dipterocarpus","applanatus",NA,"CP","logged",NA,"Lambir dataset"
"Dipterocarpus caudifer","Dipterocarpaceae","Dipterocarpus","caudifer","NaturalRegeneration, ActiveRestoration","CP, IF","logged",NA,"Lambir dataset"
"Dipterocarpus unknown mixed","Dipterocarpaceae","Dipterocarpus","unknown mixed",NA,"CP","logged",NA,"Lambir dataset"
"Dracontomelon costatum","Anacardiaceae","Dracontomelon","costatum",NA,"50ha","unlogged",NA,"Lambir dataset"
"Dracontomelon dao","Anacardiaceae","Dracontomelon","dao",NA,"50ha, CP","both",NA,"Lambir dataset"
"Dracontomelon unknown mixed","Anacardiaceae","Dracontomelon","unknown mixed",NA,"50ha","unlogged",NA,"Lambir dataset"
"Drepananthus havilandii","Annonaceae","Drepananthus","havilandii",NA,"CP","logged",NA,"Lambir dataset"
"Dryobalanops lanceolata","Dipterocarpaceae","Dryobalanops","lanceolata","ActiveRestoration, Unlogged","50ha, CP, IF","both","III","Lambir dataset"
"Drypetes castilloi","Putranjivaceae","Drypetes","castilloi",NA,"50ha, CP","both",NA,"Lambir dataset"
"Drypetes eriocarpa","Putranjivaceae","Drypetes","eriocarpa",NA,"50ha, CP","both",NA,"Lambir dataset"
"Drypetes longifolia","Putranjivaceae","Drypetes","longifolia",NA,"50ha, CP","both",NA,"Lambir dataset"
"Drypetes subcrenata","Putranjivaceae","Drypetes","subcrenata",NA,"50ha","unlogged",NA,"Lambir dataset"
"Drypetes unknown mixed","Putranjivaceae","Drypetes","unknown mixed",NA,"50ha, CP","both",NA,"Lambir dataset"
"Duabanga moluccana","Lythraceae","Duabanga","moluccana",NA,"50ha, CP","both",NA,"Lambir dataset"
"Durio graveolens","Malvaceae","Durio","graveolens",NA,"50ha, CP","both",NA,"Lambir dataset"
"Durio unknown mixed","Malvaceae","Durio","unknown mixed",NA,"50ha, CP","both",NA,"Lambir dataset"
"Prasoxylon alliaceum","Meliaceae","Prasoxylon","alliaceum",NA,"50ha","unlogged",NA,"Lambir dataset"
"Goniocheton arborescens","Meliaceae","Goniocheton","arborescens",NA,"50ha","unlogged",NA,"Lambir dataset"
"Epicharis cumingiana","Meliaceae","Epicharis","cumingiana",NA,"50ha","unlogged",NA,"Lambir dataset"
"Dysoxylum cyrtobotryum","Meliaceae","Dysoxylum","cyrtobotryum",NA,"50ha, CP","both",NA,"Lambir dataset"
"Prasoxylon excelsum","Meliaceae","Prasoxylon","excelsum",NA,"50ha","unlogged",NA,"Lambir dataset"
"Didymocheton gaudichaudianus","Meliaceae","Didymocheton","gaudichaudianus",NA,"50ha","unlogged",NA,"Lambir dataset"
"Dysoxylum grande","Meliaceae","Dysoxylum","grande",NA,"50ha","unlogged",NA,"Lambir dataset"
"Dysoxylum oppositifolium","Meliaceae","Dysoxylum","oppositifolium",NA,"50ha","unlogged",NA,"Lambir dataset"
"Epicharis parasitica","Meliaceae","Epicharis","parasitica",NA,"50ha","unlogged",NA,"Lambir dataset"
"Prasoxylon rigidum","Meliaceae","Prasoxylon","rigidum",NA,"50ha, CP","both",NA,"Lambir dataset"
"Dysoxylum unknown mixed","Meliaceae","Dysoxylum","unknown mixed",NA,"50ha, CP","both",NA,"Lambir dataset"
"Elaeocarpus brunnescens","Elaeocarpaceae","Elaeocarpus","brunnescens",NA,"50ha","unlogged",NA,"Lambir dataset"
"Elaeocarpus stipularis","Elaeocarpaceae","Elaeocarpus","stipularis",NA,"50ha, CP","both",NA,"Lambir dataset"
"Elaeocarpus unknown mixed","Elaeocarpaceae","Elaeocarpus","unknown mixed",NA,"50ha, CP","both",NA,"Lambir dataset"
"Endospermum diadenum","Euphorbiaceae","Endospermum","diadenum",NA,"50ha, CP","both",NA,"Lambir dataset"
"Engelhardia danumensis","Juglandaceae","Engelhardia","danumensis",NA,"50ha","unlogged",NA,"Lambir dataset"
"Erycibe borneensis","Convolvulaceae","Erycibe","borneensis",NA,"50ha, CP","both",NA,"Lambir dataset"
