"binomial_name","family","genus","species","mean_wood_density_g_cm_3","species_origin","logging_status","history_at_IF_site","history_at_CP_site","reference_wood_density"
"Erythroxylum cuneatum","Erythroxylaceae","Erythroxylum","cuneatum",0.7,"50ha","unlogged",NA,NA,"WDD, TRY"
"Eurycoma longifolia","Simaroubaceae","Eurycoma","longifolia",0.5,"50ha","unlogged",NA,NA,"WDD, TRY"
"Eusideroxylon zwageri","Lauraceae","Eusideroxylon","zwageri",0.79,"CP, 50ha","both",NA,"NR","WDD, TRY"
"Fagraea unknown mixed","Gentianaceae","Fagraea","unknown mixed",NA,"50ha","unlogged",NA,NA,""
"Ficus beccarii","Moraceae","Ficus","beccarii",NA,"50ha","unlogged",NA,NA,""
"Ficus lepicarpa","Moraceae","Ficus","lepicarpa",NA,"50ha","unlogged",NA,NA,""
"Ficus mixed","Moraceae","Ficus","mixed",NA,"50ha","unlogged",NA,NA,""
"Ficus obscura","Moraceae","Ficus","obscura",NA,"50ha","unlogged",NA,NA,""
"Ficus sinuata","Moraceae","Ficus","sinuata",NA,"50ha","unlogged",NA,NA,""
"Ficus species 1","Moraceae","Ficus","species 1",NA,"50ha","unlogged",NA,NA,""
"Ficus species 2","Moraceae","Ficus","species 2",NA,"50ha","unlogged",NA,NA,""
"Ficus species 3","Moraceae","Ficus","species 3",NA,"50ha","unlogged",NA,NA,""
"Ficus species 4","Moraceae","Ficus","species 4",NA,"50ha","unlogged",NA,NA,""
"Ficus species 5","Moraceae","Ficus","species 5",NA,"50ha","unlogged",NA,NA,""
"Ficus species 6","Moraceae","Ficus","species 6",NA,"50ha","unlogged",NA,NA,""
"Ficus species 7","Moraceae","Ficus","species 7",NA,"50ha","unlogged",NA,NA,""
"Ficus species 8","Moraceae","Ficus","species 8",NA,"50ha","unlogged",NA,NA,""
"Ficus stolonifera","Moraceae","Ficus","stolonifera",0.39,"50ha","unlogged",NA,NA,"TRY"
"Ficus unknown mixed","Moraceae","Ficus","unknown mixed",NA,"CP","logged",NA,"AR, NR",""
"Ficus variegata","Moraceae","Ficus","variegata",0.34,"CP, 50ha","both",NA,"NR","WDD, TRY"
"Flacourtia rukam","Salicaceae","Flacourtia","rukam",0.75,"50ha","unlogged",NA,NA,"WDD, TRY"
"Fordia brachybotrys","Fabaceae","Fordia","brachybotrys",NA,"CP, 50ha","both",NA,"AR, NR",""
"Fordia species 1","Fabaceae","Fordia","species 1",NA,"50ha","unlogged",NA,NA,""
"Fordia species 3","Fabaceae","Fordia","species 3",NA,"50ha","unlogged",NA,NA,""
"Fordia splendidissima","Fabaceae","Fordia","splendidissima",0.64,"CP, 50ha","both",NA,"AR, NR","WDD, TRY"
"Fordia unknown mixed","Fabaceae","Fordia","unknown mixed",NA,"CP","logged",NA,"NR",""
"Galearia fulva","Pandaceae","Galearia","fulva",NA,"CP, 50ha","both",NA,"AR",""
"Garcinia forbesii","Clusiaceae","Garcinia","forbesii",NA,"CP, 50ha","both",NA,"AR, NR",""
"Garcinia gaudichaudii","Clusiaceae","Garcinia","gaudichaudii",0.72,"50ha","unlogged",NA,NA,"WDD, TRY"
"Garcinia nervosa","Clusiaceae","Garcinia","nervosa",0.78,"CP, 50ha","both",NA,"AR","WDD, TRY"
"Garcinia parvifolia","Clusiaceae","Garcinia","parvifolia",0.47,"50ha","unlogged",NA,NA,"WDD, TRY"
"Garcinia unknown mixed","Clusiaceae","Garcinia","unknown mixed",NA,"CP","logged",NA,"AR",""
"Gardenia carinata","Rubiaceae","Gardenia","carinata",NA,"50ha","unlogged",NA,NA,""
"Gironniera nervosa","Cannabaceae","Gironniera","nervosa",0.45,"CP, 50ha","both",NA,"AR, NR","WDD, TRY"
"Gironniera species 1","Cannabaceae","Gironniera","species 1",NA,"50ha","unlogged",NA,NA,""
"Glochidion elmeri","Phyllanthaceae","Glochidion","elmeri",NA,"CP, 50ha","both",NA,"AR, NR",""
"Glochidion pubicapsa","Phyllanthaceae","Glochidion","pubicapsa",NA,"CP, 50ha","both",NA,"AR",""
"Glochidion species 1","Phyllanthaceae","Glochidion","species 1",NA,"50ha","unlogged",NA,NA,""
"Glochidion species 2","Phyllanthaceae","Glochidion","species 2",NA,"50ha","unlogged",NA,NA,""
"Glochidion species 3","Phyllanthaceae","Glochidion","species 3",NA,"50ha","unlogged",NA,NA,""
"Glochidion species 4","Phyllanthaceae","Glochidion","species 4",NA,"50ha","unlogged",NA,NA,""
"Glochidion species 5","Phyllanthaceae","Glochidion","species 5",NA,"50ha","unlogged",NA,NA,""
"Glochidion unknown mixed","Phyllanthaceae","Glochidion","unknown mixed",NA,"CP, 50ha","both",NA,"AR, NR",""
"Glycosmis chlorosperma","Rutaceae","Glycosmis","chlorosperma",NA,"50ha","unlogged",NA,NA,""
"Glycosmis macrantha","Rutaceae","Glycosmis","macrantha",NA,"CP, 50ha","both",NA,"AR",""
"Glycosmis unknown mixed","Rutaceae","Glycosmis","unknown mixed",NA,"50ha","unlogged",NA,NA,""
"Gomphandra quadrifida","Stemonuraceae","Gomphandra","quadrifida",NA,"50ha","unlogged",NA,NA,""
"Goniocheton arborescens","Meliaceae","Goniocheton","arborescens",NA,"50ha","unlogged",NA,NA,""
"Goniothalamus gigantifolius","Annonaceae","Goniothalamus","gigantifolius",NA,"50ha","unlogged",NA,NA,""
"Goniothalamus species 1","Annonaceae","Goniothalamus","species 1",NA,"50ha","unlogged",NA,NA,""
"Goniothalamus species 2","Annonaceae","Goniothalamus","species 2",NA,"50ha","unlogged",NA,NA,""
"Goniothalamus species 3","Annonaceae","Goniothalamus","species 3",NA,"50ha","unlogged",NA,NA,""
"Goniothalamus uvarioides","Annonaceae","Goniothalamus","uvarioides",NA,"CP, 50ha","both",NA,"NR",""
"Goniothalamus woodii","Annonaceae","Goniothalamus","woodii",NA,"50ha","unlogged",NA,NA,""
"Gonocaryum calleryanum","Cardiopteridaceae","Gonocaryum","calleryanum",0.67,"50ha","unlogged",NA,NA,"WDD, TRY"
"Gonocaryum macrophyllum","Cardiopteridaceae","Gonocaryum","macrophyllum",NA,"50ha","unlogged",NA,NA,""
"Gonystylus keithii","Thymelaeaceae","Gonystylus","keithii",0.52,"50ha","unlogged",NA,NA,"WDD, TRY"
"Guioa pleuropteris","Sapindaceae","Guioa","pleuropteris",NA,"CP, 50ha","both",NA,"NR, AR",""
"Hancea penangensis","Euphorbiaceae","Hancea","penangensis",0.54,"50ha, CP","both",NA,"AR, NR","TRY"
"Hancea stipularis","Euphorbiaceae","Hancea","stipularis",0.58,"CP","logged",NA,"AR, NR","TRY"
"Harpullia arborea","Sapindaceae","Harpullia","arborea",0.54,"50ha","unlogged",NA,NA,"WDD, TRY"
"Harpullia species 1","Sapindaceae","Harpullia","species 1",NA,"50ha","unlogged",NA,NA,""
"Helicia excelsa","Proteaceae","Helicia","excelsa",0.56,"CP, 50ha","both",NA,"AR, NR","WDD, TRY"
"Helicia robusta","Proteaceae","Helicia","robusta",NA,"CP, 50ha","both",NA,"AR",""
"Heliciopsis artocarpoides","Proteaceae","Heliciopsis","artocarpoides",0.55,"50ha","unlogged",NA,NA,"WDD, TRY"
"Heritiera elata","Malvaceae","Heritiera","elata",0.7,"50ha","unlogged",NA,NA,"WDD, TRY"
"Homalium foetidum","Salicaceae","Homalium","foetidum",0.73,"50ha","unlogged",NA,NA,"WDD, TRY"
"Hopea ferruginea","Dipterocarpaceae","Hopea","ferruginea",0.6,"CP, 50ha","both",NA,"AR","WDD, TRY"
"Hopea nervosa","Dipterocarpaceae","Hopea","nervosa",0.61,"CP, 50ha","both",NA,"AR, NR","WDD, TRY"
"Hopea pentanervia","Dipterocarpaceae","Hopea","pentanervia",0.93,"50ha","unlogged",NA,NA,"WDD, TRY"
"Hopea plagata","Dipterocarpaceae","Hopea","plagata",0.71,"50ha","unlogged",NA,NA,"WDD, TRY"
"Hopea sangal","Dipterocarpaceae","Hopea","sangal",0.6,"CP, 50ha","both",NA,"AR, NR","TRY"
"Hopea unknown mixed","Dipterocarpaceae","Hopea","unknown mixed",NA,"CP, 50ha","both",NA,"NR, AR",""
"Horsfieldia irya","Myristicaceae","Horsfieldia","irya",0.41,"50ha","unlogged",NA,NA,"WDD, TRY"
"Horsfieldia polyspherula","Myristicaceae","Horsfieldia","polyspherula",NA,"CP, 50ha","both",NA,"NR",""
"Horsfieldia unknown mixed","Myristicaceae","Horsfieldia","unknown mixed",NA,"50ha","unlogged",NA,NA,""
"Huberantha rumphii","Annonaceae","Huberantha","rumphii",0.62,"CP","logged",NA,"AR, NR","TRY"
"Hydnocarpus anomalus","Achariaceae","Hydnocarpus","anomalus",NA,"CP","logged",NA,"AR, NR",""
"Hydnocarpus borneensis","Achariaceae","Hydnocarpus","borneensis",NA,"CP, 50ha","both",NA,"AR, NR",""
"Hydnocarpus polypetalus","Achariaceae","Hydnocarpus","polypetalus",0.55,"50ha","unlogged",NA,NA,"WDD, TRY"
"Hydnocarpus unknown mixed","Achariaceae","Hydnocarpus","unknown mixed",NA,"CP, 50ha","both",NA,"NR",""
"Intsia palembanica","Fabaceae","Intsia","palembanica",0.66,"CP, 50ha","both",NA,"NR, AR","WDD, TRY"
"Intsia unknown mixed","Fabaceae","Intsia","unknown mixed",NA,"50ha","unlogged",NA,NA,""
"Irvingia malayana","Irvingiaceae","Irvingia","malayana",0.88,"50ha","unlogged",NA,NA,"WDD, TRY"
"Ixora blumei","Rubiaceae","Ixora","blumei",0.72,"CP, 50ha","both",NA,"NR, AR","WDD, TRY"
"Ixora brevicaudata","Rubiaceae","Ixora","brevicaudata",NA,"50ha","unlogged",NA,NA,""
"Ixora grandifolia","Rubiaceae","Ixora","grandifolia",0.69,"CP, 50ha","both",NA,"AR","WDD, TRY"
"Ixora unknown mixed","Rubiaceae","Ixora","unknown mixed",NA,"50ha","unlogged",NA,NA,""
"Kayea borneensis","Calophyllaceae","Kayea","borneensis",NA,"50ha","unlogged",NA,NA,""
"Kayea macrantha","Calophyllaceae","Kayea","macrantha",NA,"50ha","unlogged",NA,NA,""
"Kayea oblongifolia","Calophyllaceae","Kayea","oblongifolia",NA,"50ha","unlogged",NA,NA,""
"Kayea unknown mixed","Calophyllaceae","Kayea","unknown mixed",NA,"CP","logged",NA,"NR",""
"Kibara obtusa","Monimiaceae","Kibara","obtusa",NA,"CP, 50ha","both",NA,"AR",""
"Knema cinerea","Myristicaceae","Knema","cinerea",NA,"50ha","unlogged",NA,NA,""
"Knema elmeri","Myristicaceae","Knema","elmeri",NA,"CP, 50ha","both",NA,"AR, NR",""
"Knema furfuracea","Myristicaceae","Knema","furfuracea",0.55,"50ha","unlogged",NA,NA,"WDD, TRY"
"Knema glomerata","Myristicaceae","Knema","glomerata",0.52,"50ha","unlogged",NA,NA,"WDD"
"Knema kostermansiana","Myristicaceae","Knema","kostermansiana",NA,"50ha","unlogged",NA,NA,""
"Knema latericia","Myristicaceae","Knema","latericia",NA,"CP, 50ha","both",NA,"AR, NR",""
"Knema laurina","Myristicaceae","Knema","laurina",0.47,"CP, 50ha","both",NA,"AR, NR","WDD, TRY"
"Knema oblongata","Myristicaceae","Knema","oblongata",0.57,"50ha","unlogged",NA,NA,"WDD, TRY"
"Knema pectinata","Myristicaceae","Knema","pectinata",NA,"CP","logged",NA,"NR",""
"Knema pulchra","Myristicaceae","Knema","pulchra",NA,"50ha","unlogged",NA,NA,""
"Knema unknown mixed","Myristicaceae","Knema","unknown mixed",NA,"CP, 50ha","both",NA,"AR",""
"Koilodepas laevigatum","Euphorbiaceae","Koilodepas","laevigatum",NA,"50ha","unlogged",NA,NA,""
"Koilodepas longifolium","Euphorbiaceae","Koilodepas","longifolium",NA,"CP, 50ha","both",NA,"AR, NR",""
"Kokoona ochracea","Celastraceae","Kokoona","ochracea",NA,"50ha","unlogged",NA,NA,""
"Koompassia excelsa","Fabaceae","Koompassia","excelsa",0.69,"CP, 50ha","both",NA,"AR, NR","WDD, TRY"
"Kopsia pauciflora","Apocynaceae","Kopsia","pauciflora",NA,"50ha","unlogged",NA,NA,""
"Lansium domesticum","Meliaceae","Lansium","domesticum",0.77,"CP, 50ha","both",NA,"NR, no seedling data, AR","WDD, TRY"
"Lasianthus borneensis","Rubiaceae","Lasianthus","borneensis",NA,"50ha","unlogged",NA,NA,""
"Lasianthus reticulatus","Rubiaceae","Lasianthus","reticulatus",NA,"50ha","unlogged",NA,NA,""
"Lasianthus species 1","Rubiaceae","Lasianthus","species 1",NA,"50ha","unlogged",NA,NA,""
"Lasianthus species 2","Rubiaceae","Lasianthus","species 2",NA,"50ha","unlogged",NA,NA,""
"Lasianthus species 3","Rubiaceae","Lasianthus","species 3",NA,"50ha","unlogged",NA,NA,""
"Lasianthus unknown mixed","Rubiaceae","Lasianthus","unknown mixed",NA,"50ha","unlogged",NA,NA,""
"Leea aculeata","Vitaceae","Leea","aculeata",NA,"CP, 50ha","both",NA,"NR, AR",""
"Leea indica","Vitaceae","Leea","indica",0.48,"50ha","unlogged",NA,NA,"WDD, TRY"
"Lepisanthes fruticosa","Sapindaceae","Lepisanthes","fruticosa",NA,"50ha","unlogged",NA,NA,""
"Lepisanthes senegalensis","Sapindaceae","Lepisanthes","senegalensis",0.63,"CP, 50ha","both",NA,"AR, NR","WDD, TRY"
"Lepisanthes tetraphylla","Sapindaceae","Lepisanthes","tetraphylla",0.81,"50ha","unlogged",NA,NA,"WDD, TRY"
"Lepisanthes unknown mixed","Sapindaceae","Lepisanthes","unknown mixed",NA,"CP, 50ha","both",NA,"NR",""
"Lithocarpus ewyckii","Fagaceae","Lithocarpus","ewyckii",NA,"CP, 50ha","both",NA,"AR, NR",""
"Lithocarpus gracilis","Fagaceae","Lithocarpus","gracilis",0.49,"CP, 50ha","both",NA,"AR, NR","WDD, TRY"
"Lithocarpus leptogyne","Fagaceae","Lithocarpus","leptogyne",NA,"CP, 50ha","both",NA,"AR, NR",""
"Lithocarpus nieuwenhuisii","Fagaceae","Lithocarpus","nieuwenhuisii",NA,"CP, 50ha","both",NA,"AR, NR",""
"Lithocarpus species 1","Fagaceae","Lithocarpus","species 1",NA,"50ha","unlogged",NA,NA,""
"Lithocarpus species 2","Fagaceae","Lithocarpus","species 2",NA,"50ha","unlogged",NA,NA,""
"Lithocarpus species 3","Fagaceae","Lithocarpus","species 3",NA,"50ha","unlogged",NA,NA,""
"Lithocarpus species 4","Fagaceae","Lithocarpus","species 4",NA,"50ha","unlogged",NA,NA,""
"Lithocarpus species 5","Fagaceae","Lithocarpus","species 5",NA,"50ha","unlogged",NA,NA,""
"Lithocarpus species 6","Fagaceae","Lithocarpus","species 6",NA,"50ha","unlogged",NA,NA,""
"Lithocarpus species 7","Fagaceae","Lithocarpus","species 7",NA,"50ha","unlogged",NA,NA,""
"Lithocarpus species 8","Fagaceae","Lithocarpus","species 8",NA,"50ha","unlogged",NA,NA,""
"Lithocarpus species 9","Fagaceae","Lithocarpus","species 9",NA,"50ha","unlogged",NA,NA,""
"Lithocarpus unknown mixed","Fagaceae","Lithocarpus","unknown mixed",NA,"CP","logged",NA,"AR, NR, no seedling data",""
"Litsea accedens","Lauraceae","Litsea","accedens",0.42,"CP, 50ha","both",NA,"AR, NR","WDD, TRY"
"Litsea angulata","Lauraceae","Litsea","angulata",0.36,"CP, 50ha","both",NA,"AR, NR","WDD, TRY"
"Litsea caulocarpa","Lauraceae","Litsea","caulocarpa",NA,"CP, 50ha","both",NA,"AR, NR",""
"Litsea cordata","Lauraceae","Litsea","cordata",0.36,"CP, 50ha","both",NA,"NR","WDD, TRY"
"Litsea cuprea","Lauraceae","Litsea","cuprea",NA,"50ha","unlogged",NA,NA,""
"Litsea curtisii","Lauraceae","Litsea","curtisii",0.32,"50ha","unlogged",NA,NA,"WDD, TRY"
"Litsea elliptica","Lauraceae","Litsea","elliptica",0.45,"50ha","unlogged",NA,NA,"WDD"
"Litsea ferruginea","Lauraceae","Litsea","ferruginea",0.45,"50ha","unlogged",NA,NA,"WDD, TRY"
"Litsea ficoidea","Lauraceae","Litsea","ficoidea",NA,"50ha","unlogged",NA,NA,""
"Litsea fulva","Lauraceae","Litsea","fulva",0.51,"CP, 50ha","both",NA,"AR","WDD, TRY"
"Litsea garciae","Lauraceae","Litsea","garciae",0.36,"CP, 50ha","both",NA,"NR, AR","WDD, TRY"
"Litsea grandis","Lauraceae","Litsea","grandis",0.43,"CP, 50ha","both",NA,"NR, AR","WDD, TRY"
"Litsea ligustrina","Lauraceae","Litsea","ligustrina",0.55,"50ha","unlogged",NA,NA,"TRY"
"Litsea machilifolia","Lauraceae","Litsea","machilifolia",0.33,"50ha","unlogged",NA,NA,"WDD, TRY"
"Litsea oppositifolia","Lauraceae","Litsea","oppositifolia",0.51,"CP, 50ha","both",NA,"AR, no seedling data","WDD, TRY"
"Litsea robusta","Lauraceae","Litsea","robusta",0.37,"50ha","unlogged",NA,NA,"WDD, TRY"
"Litsea unknown mixed","Lauraceae","Litsea","unknown mixed",NA,"CP, 50ha","both",NA,"AR, NR",""
"Lophopetalum beccarianum","Celastraceae","Lophopetalum","beccarianum",0.51,"CP, 50ha","both",NA,"NR","WDD, TRY"
"Lophopetalum javanicum","Celastraceae","Lophopetalum","javanicum",0.48,"CP, 50ha","both",NA,"AR, NR","TRY"
"Lophopetalum unknown mixed","Celastraceae","Lophopetalum","unknown mixed",NA,"50ha","unlogged",NA,NA,""
"Ludekia borneensis","Rubiaceae","Ludekia","borneensis",NA,"CP, 50ha","both",NA,"AR, NR",""
"Ludekia unknown mixed","Rubiaceae","Ludekia","unknown mixed",NA,"CP","logged",NA,"NR",""
"Maasia sumatrana","Annonaceae","Maasia","sumatrana",0.52,"CP","logged",NA,"AR, NR","TRY"
"Macaranga conifera","Euphorbiaceae","Macaranga","conifera",0.33,"CP","logged",NA,"AR","WDD, TRY"
"Macaranga gigantea","Euphorbiaceae","Macaranga","gigantea",0.3,"CP","logged",NA,"AR, NR","WDD, TRY"
"Macaranga hypoleuca","Euphorbiaceae","Macaranga","hypoleuca",0.27,"CP, 50ha","both",NA,"AR, NR","WDD, TRY"
"Macaranga pearsonii","Euphorbiaceae","Macaranga","pearsonii",NA,"CP, 50ha","both",NA,"AR, NR",""
"Macaranga winkleri","Euphorbiaceae","Macaranga","winkleri",0.39,"50ha","unlogged",NA,NA,"TRY"
"Madhuca elmeri","Sapotaceae","Madhuca","elmeri",NA,"CP, 50ha","both",NA,"NR",""
"Madhuca kingiana","Sapotaceae","Madhuca","kingiana",0.61,"CP, 50ha","both",NA,"AR, NR","WDD, TRY"
"Madhuca korthalsii","Sapotaceae","Madhuca","korthalsii",0.54,"CP, 50ha","both",NA,"AR, NR","WDD, TRY"
"Madhuca kunstleri","Sapotaceae","Madhuca","kunstleri",NA,"50ha","unlogged",NA,NA,""
"Madhuca mindanaensis","Sapotaceae","Madhuca","mindanaensis",NA,"50ha","unlogged",NA,NA,""
"Madhuca unknown mixed","Sapotaceae","Madhuca","unknown mixed",NA,"50ha","unlogged",NA,NA,""
"Magnolia acuminata","Magnoliaceae","Magnolia","acuminata",0.48,"CP, 50ha","both",NA,"AR, NR","WDD, TRY"
"Magnolia beccarii","Magnoliaceae","Magnolia","beccarii",NA,"50ha","unlogged",NA,NA,""
"Magnolia gigantifolia","Magnoliaceae","Magnolia","gigantifolia",0.56,"CP, 50ha","both",NA,"NR, AR","WDD, TRY"
"Mallotus korthalsii","Euphorbiaceae","Mallotus","korthalsii",NA,"CP, 50ha","both",NA,"AR, NR",""
"Mallotus lackeyi","Euphorbiaceae","Mallotus","lackeyi",NA,"CP, 50ha","both",NA,"AR",""
"Mallotus miquelianus","Euphorbiaceae","Mallotus","miquelianus",NA,"50ha","unlogged",NA,NA,""
"Mallotus species 1","Euphorbiaceae","Mallotus","species 1",NA,"CP, 50ha","both",NA,"AR, NR, no seedling data",""
"Mallotus unknown mixed","Euphorbiaceae","Mallotus","unknown mixed",NA,"CP, 50ha","both",NA,"AR",""
"Mallotus wrayi","Euphorbiaceae","Mallotus","wrayi",NA,"CP, 50ha","both",NA,"AR, NR",""
"Mangifera caesia","Anacardiaceae","Mangifera","caesia",0.41,"CP, 50ha","both",NA,"AR, NR","WDD, TRY"
"Mangifera indica","Anacardiaceae","Mangifera","indica",0.54,"50ha","unlogged",NA,NA,"WDD, TRY"
"Mangifera odorata","Anacardiaceae","Mangifera","odorata",0.48,"50ha","unlogged",NA,NA,"WDD, TRY"
"Mangifera pajang","Anacardiaceae","Mangifera","pajang",0.49,"CP, 50ha","both",NA,"AR","WDD, TRY"
"Mangifera rufocostata","Anacardiaceae","Mangifera","rufocostata",NA,"50ha","unlogged",NA,NA,""
"Mangifera species 1","Anacardiaceae","Mangifera","species 1",NA,"50ha","unlogged",NA,NA,""
"Mangifera swintonioides","Anacardiaceae","Mangifera","swintonioides",NA,"50ha","unlogged",NA,NA,""
"Mangifera unknown mixed","Anacardiaceae","Mangifera","unknown mixed",NA,"CP, 50ha","both",NA,"AR, NR",""
"Maranthes corymbosa","Chrysobalanaceae","Maranthes","corymbosa",0.8,"50ha","unlogged",NA,NA,"WDD, TRY"
"Marsypopetalum pallidum","Annonaceae","Marsypopetalum","pallidum",NA,"50ha","unlogged",NA,NA,""
"Mastixia trichotoma","Nyssaceae","Mastixia","trichotoma",0.39,"CP, 50ha","both",NA,"AR, NR","WDD, TRY"
"Meiogyne virgata","Annonaceae","Meiogyne","virgata",NA,"CP, 50ha","both",NA,"NR, no seedling data, AR",""
"Melanochyla auriculata","Anacardiaceae","Melanochyla","auriculata",0.58,"50ha","unlogged",NA,NA,"WDD, TRY"
"Melanochyla beccariana","Anacardiaceae","Melanochyla","beccariana",NA,"CP, 50ha","both",NA,"NR",""
"Melanochyla unknown mixed","Anacardiaceae","Melanochyla","unknown mixed",NA,"50ha","unlogged",NA,NA,""
"Melastoma malabathricum","Melastomataceae","Melastoma","malabathricum",0.45,"50ha","unlogged",NA,NA,"WDD, TRY"
"Melicope  lunu-ankenda","Rutaceae","Melicope ","lunu-ankenda",NA,NA,NA,NA,NA,""
"Melicope  unknown mixed","Rutaceae","Melicope ","unknown mixed",NA,NA,NA,NA,NA,""
"Meliosma pinnata","Sabiaceae","Meliosma","pinnata",0.32,"CP, 50ha","both",NA,"AR","WDD, TRY"
"Meliosma sumatrana","Sabiaceae","Meliosma","sumatrana",0.4,"CP, 50ha","both",NA,"NR","WDD, TRY"
"Memecylon  species 1","Melastomataceae","Memecylon"," species 1",NA,"50ha","unlogged",NA,NA,""
"Memecylon lilacinum","Melastomataceae","Memecylon","lilacinum",0.87,"50ha","unlogged",NA,NA,"WDD, TRY"
"Memecylon oleifolium","Melastomataceae","Memecylon","oleifolium",NA,"50ha","unlogged",NA,NA,""
"Memecylon paniculatum","Melastomataceae","Memecylon","paniculatum",0.72,"CP, 50ha","both",NA,"NR","WDD, TRY"
"Memecylon species 2","Melastomataceae","Memecylon","species 2",NA,"50ha","unlogged",NA,NA,""
"Memecylon species 3","Melastomataceae","Memecylon","species 3",NA,"50ha","unlogged",NA,NA,""
"Merope angulata","Rutaceae","Merope","angulata",NA,"50ha","unlogged",NA,NA,""
"Mesua unknown mixed","Clusiaceae","Mesua","unknown mixed",NA,"50ha","unlogged",NA,NA,""
"Microcos antidesmifolia","Malvaceae","Microcos","antidesmifolia",0.47,"50ha","unlogged",NA,NA,"WDD, TRY"
"Microcos crassifolia","Malvaceae","Microcos","crassifolia",NA,"CP, 50ha","both",NA,"AR, NR",""
"Microcos fibrocarpa","Malvaceae","Microcos","fibrocarpa",NA,"CP, 50ha","both",NA,"AR, NR",""
"Microcos latistipulata","Malvaceae","Microcos","latistipulata",NA,"CP, 50ha","both",NA,"NR, AR",""
"Microcos ossea","Malvaceae","Microcos","ossea",NA,"CP, 50ha","both",NA,"AR, NR",""
"Microcos unknown mixed","Malvaceae","Microcos","unknown mixed",NA,"CP, 50ha","both",NA,"AR",""
"Mischocarpus pentapetalus","Sapindaceae","Mischocarpus","pentapetalus",0.79,"50ha","unlogged",NA,NA,"TRY"
"Monanthocitrus oblanceolata","Rutaceae","Monanthocitrus","oblanceolata",NA,"50ha","unlogged",NA,NA,""
"Monocarpia borneensis","Annonaceae","Monocarpia","borneensis",NA,"50ha","unlogged",NA,NA,""
"Monoon erianthoides","Annonaceae","Monoon","erianthoides",NA,"CP, 50ha","both",NA,"NR",""
"Monoon grandiflorum","Annonaceae","Monoon","grandiflorum",NA,"CP, 50ha","both",NA,"NR, AR",""
"Monoon hookerianum","Annonaceae","Monoon","hookerianum",NA,"CP, 50ha","both",NA,"NR, AR",""
"Monoon species 1","Annonaceae","Monoon","species 1",NA,"50ha","unlogged",NA,NA,""
"Monoon species 2","Annonaceae","Monoon","species 2",NA,"50ha","unlogged",NA,NA,""
"Monoon xanthopetalum","Annonaceae","Monoon","xanthopetalum",NA,"50ha","unlogged",NA,NA,""
"Myristica cinnamomea","Myristicaceae","Myristica","cinnamomea",0.57,"50ha","unlogged",NA,NA,"WDD, TRY"
"Myrmeconauclea strigosa","Rubiaceae","Myrmeconauclea","strigosa",NA,"50ha","unlogged",NA,NA,""
"Nauclea sp1","Rubiaceae","Nauclea","sp1",NA,"CP","logged",NA,"AR, NR",""
"Nauclea subdita","Rubiaceae","Nauclea","subdita",0.48,"CP","logged",NA,"NR","WDD, TRY"
"Nauclea unknown mixed","Rubiaceae","Nauclea","unknown mixed",NA,"CP, 50ha","both",NA,"AR, no seedling data",""
"Neesia synandra","Malvaceae","Neesia","synandra",NA,"CP, 50ha","both",NA,"AR, NR",""
"Neesia unknown mixed","Malvaceae","Neesia","unknown mixed",NA,"CP","logged",NA,"AR, NR",""
"Neo-Uvaria acuminatissima","Annonaceae","Neo-Uvaria","acuminatissima",NA,"50ha, CP","both",NA,"AR, NR",""
"Neo-Uvaria unknown mixed","Annonaceae","Neo-Uvaria","unknown mixed",NA,"50ha","unlogged",NA,NA,""
"Neolamarckia cadamba","Rubiaceae","Neolamarckia","cadamba",NA,"CP, 50ha","both",NA,"AR",""
"Neonauclea  gigantea","Rubiaceae","Neonauclea ","gigantea",NA,"CP","logged",NA,"NR",""
"Neonauclea sp","Rubiaceae","Neonauclea","sp",0.73,"CP","logged",NA,"AR","TRY"
"Neonauclea sp1","Rubiaceae","Neonauclea","sp1",NA,"CP","logged",NA,"AR",""
"Neoscortechinia kingii","Euphorbiaceae","Neoscortechinia","kingii",0.58,"CP, 50ha","both",NA,"AR, NR","WDD, TRY"
"Nephelium cuspidatum","Sapindaceae","Nephelium","cuspidatum",0.77,"CP, 50ha","both",NA,"NR","WDD, TRY"
"Nephelium maingayi","Sapindaceae","Nephelium","maingayi",NA,"CP, 50ha","both",NA,"AR, NR",""
"Nephelium ramboutan-ake","Sapindaceae","Nephelium","ramboutan-ake",0.7,"CP, 50ha","both",NA,"AR, NR","WDD, TRY"
"Nothaphoebe canescens","Lauraceae","Nothaphoebe","canescens",NA,"CP, 50ha","both",NA,"AR",""
"Nothaphoebe heterophylla","Lauraceae","Nothaphoebe","heterophylla",NA,"50ha","unlogged",NA,NA,""
"Nothaphoebe umbelliflora","Lauraceae","Nothaphoebe","umbelliflora",0.41,"CP, 50ha","both",NA,"NR, AR","TRY"
"Nothaphoebe unknown","Lauraceae","Nothaphoebe","unknown",NA,"50ha","unlogged",NA,NA,""
"Nothaphoebe unknown mixed","Lauraceae","Nothaphoebe","unknown mixed",NA,"CP","logged",NA,"AR",""
"Nyssa javanica","Nyssaceae","Nyssa","javanica",0.48,"50ha","unlogged",NA,NA,"WDD, TRY"
"Ochanostachys amentacea","Olacaceae","Ochanostachys","amentacea",0.77,"CP, 50ha","both",NA,"AR, NR","WDD, TRY"
"Octomeles sumatrana","Tetramelaceae","Octomeles","sumatrana",0.3,"CP, 50ha","both",NA,"NR, AR","TRY"
