"binomial_name","family","genus","species","mean_wood_density_g_cm_3","species_origin","logging_status","history_at_IF_site","history_at_CP_site","reference_wood_density"
"Archidendron unknown mixed","Fabaceae","Archidendron","unknown mixed",NA,"50ha","unlogged",NA,NA,""
"Ardisia  colorata","Primulaceae","Ardisia ","colorata",NA,NA,NA,NA,NA,""
"Ardisia  macrophylla","Primulaceae","Ardisia ","macrophylla",NA,NA,NA,NA,NA,""
"Ardisia  unknown mixed","Primulaceae","Ardisia ","unknown mixed",NA,"CP","logged",NA,"AR",""
"Artocarpus anisophyllus","Moraceae","Artocarpus","anisophyllus",0.6,"CP, 50ha","both",NA,"NR","WDD, TRY"
"Artocarpus elasticus","Moraceae","Artocarpus","elasticus",0.38,"CP","logged",NA,"NR","WDD, TRY"
"Artocarpus heterophyllus","Moraceae","Artocarpus","heterophyllus",0.5,"CP","logged",NA,"AR","WDD, TRY"
"Artocarpus unknown mixed","Moraceae","Artocarpus","unknown mixed",NA,"CP","logged",NA,"AR",""
"Atuna excelsa","Chrysobalanaceae","Atuna","excelsa",NA,"CP","logged",NA,"NR",""
"Azadirachta excelsa","Meliaceae","Azadirachta","excelsa",0.52,"CP, 50ha","both",NA,"AR","WDD, TRY"
"Baccaurea edulis","Phyllanthaceae","Baccaurea","edulis",NA,"50ha","unlogged",NA,NA,""
"Baccaurea lanceolata","Phyllanthaceae","Baccaurea","lanceolata",NA,"CP, 50ha","both",NA,"AR, NR",""
"Baccaurea macrocarpa","Phyllanthaceae","Baccaurea","macrocarpa",0.54,"CP, 50ha","both",NA,"no seedling data","WDD, TRY"
"Baccaurea parviflora","Phyllanthaceae","Baccaurea","parviflora",0.72,"50ha","unlogged",NA,NA,"WDD, TRY"
"Baccaurea species 1","Phyllanthaceae","Baccaurea","species 1",NA,"50ha","unlogged",NA,NA,""
"Baccaurea tetrandra","Phyllanthaceae","Baccaurea","tetrandra",NA,"CP, 50ha","both",NA,"AR, NR",""
"Baccaurea unknown mixed","Phyllanthaceae","Baccaurea","unknown mixed",NA,"CP, 50ha","both",NA,"AR, NR",""
"Barringtonia lanceolata","Lecythidaceae ","Barringtonia","lanceolata",NA,"CP, 50ha","both",NA,"AR, NR",""
"Barringtonia macrostachya","Lecythidaceae ","Barringtonia","macrostachya",0.6,"CP, 50ha","both",NA,"AR, NR","WDD, TRY"
"Barringtonia unknown mixed","Lecythidaceae","Barringtonia","unknown mixed",NA,"50ha","unlogged",NA,NA,""
"Beilschmiedia","Lauraceae","Beilschmiedia","",NA,"CP, 50ha","both",NA,"NR",""
"Beilschmiedia Unknown species 1","Lauraceae","Beilschmiedia","Unknown species 1",NA,"50ha","unlogged",NA,NA,""
"Beilschmiedia assamica","Lauraceae","Beilschmiedia","assamica",0.54,"50ha","unlogged",NA,NA,"WDD, TRY"
"Beilschmiedia micrantha","Lauraceae","Beilschmiedia","micrantha",0.38,"CP, 50ha","both",NA,"AR, NR","WDD, TRY"
"Beilschmiedia tawaensis","Lauraceae","Beilschmiedia","tawaensis",NA,"CP, 50ha","both",NA,"AR, NR",""
"Beilschmiedia unknown mixed","Lauraceae","Beilschmiedia","unknown mixed",NA,"CP","logged",NA,"AR, NR",""
"Bhesa paniculata","Centroplacaceae","Bhesa","paniculata",0.66,"50ha","unlogged",NA,NA,"WDD, TRY"
"Blumeodendron kurzii","Euphorbiaceae","Blumeodendron","kurzii",0.54,"CP, 50ha","both",NA,"AR, NR","WDD, TRY"
"Blumeodendron tokbrai","Euphorbiaceae","Blumeodendron","tokbrai",0.58,"CP, 50ha","both",NA,"AR, NR","WDD, TRY"
"Bridelia","Phyllanthaceae","Bridelia","",NA,"50ha","unlogged",NA,NA,""
"Bridelia cinnamomea","Phyllanthaceae","Bridelia","cinnamomea",NA,"50ha","unlogged",NA,NA,""
"Bridelia insulana","Phyllanthaceae","Bridelia","insulana",0.54,"CP, 50ha","both",NA,"no seedling data, AR","WDD, TRY"
"Brownlowia peltata","Malvaceae","Brownlowia","peltata",0.47,"CP, 50ha","both",NA,"NR, AR","WDD, TRY"
"Brownlowia stipulata","Malvaceae","Brownlowia","stipulata",NA,"CP, 50ha","both",NA,"NR",""
"Buchanania arborescens","Anacardiaceae","Buchanania","arborescens",0.46,"50ha","unlogged",NA,NA,"WDD, TRY"
"Buchanania sessilifolia","Anacardiaceae","Buchanania","sessilifolia",0.42,"CP, 50ha","both",NA,"NR","WDD, TRY"
"Buchanania unknown mixed","Anacardiaceae","Buchanania","unknown mixed",NA,"50ha","unlogged",NA,NA,""
"Callicarpa longifolia","Lamiaceae","Callicarpa","longifolia",0.46,"50ha","unlogged",NA,NA,"TRY"
"Callicarpa pentandra","Lamiaceae","Callicarpa","pentandra",0.34,"CP, 50ha","both",NA,"AR, NR","WDD, TRY"
"Callicarpa unknown mixed","Lamiaceae","Callicarpa","unknown mixed",NA,"CP","logged",NA,"AR",""
"Calophyllaceae venulosum","Calophyllaceae","Calophyllaceae","venulosum",NA,"50ha","unlogged",NA,NA,""
"Calophyllum blancoi","Calophyllaceae","Calophyllum","blancoi",0.58,"CP, 50ha","both",NA,"NR, AR","WDD, TRY"
"Calophyllum gracilipes","Calophyllaceae","Calophyllum","gracilipes",NA,"CP, 50ha","both",NA,"AR",""
