"binomial_name","family","genus","species","species_origin","logging_status","history_at_IF_site","history_at_CP_site","level_used","mean_dry_seed_mass_mg","reference_seed_mass"
"Anthoshorea agamae","Dipterocarpaceae","Anthoshorea","agamae","CP, 50ha","both",NA,"NR, AR","NA",NA,"BIEN"
"Anthoshorea symingtonii","Dipterocarpaceae","Anthoshorea","symingtonii","50ha","unlogged",NA,NA,"NA",NA,"BIEN"
"Antiaris toxicaria","Moraceae","Antiaris","toxicaria","50ha","unlogged",NA,NA,"Species",1019.3,"Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008)., Royal Botanical Gardens KEW. Seed Information Database (SID), http://data.kew.org/sid/ accessed May 2014, Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2011)., Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Antidesma leucopodum","Phyllanthaceae","Antidesma","leucopodum","50ha","unlogged",NA,NA,"Genus",18.0333333333333,"BIEN"
"Antidesma neurocarpum","Phyllanthaceae","Antidesma","neurocarpum","50ha","unlogged",NA,NA,"Genus",18.0333333333333,"BIEN"
"Antidesma roxburghii","Phyllanthaceae","Antidesma","roxburghii","50ha","unlogged",NA,NA,"Genus",18.0333333333333,"BIEN"
"Antidesma unknown mixed","Phyllanthaceae","Antidesma","unknown mixed","CP, 50ha","both",NA,"AR",NA,NA,NA
"Aphanamixis borneensis","Meliaceae","Aphanamixis","borneensis","50ha","unlogged",NA,NA,"Family",704.921018041667,"BIEN"
"Aphanamixis unknown mixed","Meliaceae","Aphanamixis","unknown mixed","50ha","unlogged",NA,NA,NA,NA,NA
"Aporosa elmeri","Phyllanthaceae","Aporosa","elmeri","CP","logged",NA,"AR, NR","Family",39.4013353648649,"BIEN"
"Aporosa falcifera","Phyllanthaceae","Aporosa","falcifera","CP","logged",NA,"AR, NR","Family",39.4013353648649,"BIEN"
"Aporosa frutescens","Phyllanthaceae","Aporosa","frutescens","CP","logged",NA,"AR, NR","Species",53,"Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008)., Royal Botanical Gardens KEW. Seed Information Database (SID), http://data.kew.org/sid/ accessed May 2014, Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Aporosa grandistipula","Phyllanthaceae","Aporosa","grandistipula","CP","logged",NA,"AR, NR","Family",39.4013353648649,"BIEN"
"Aporosa illustris","Phyllanthaceae","Aporosa","illustris","CP","logged",NA,"NR, AR","Family",39.4013353648649,"BIEN"
"Aporusa unknown mixed","Phyllanthaceae","Aporusa","unknown mixed","CP","logged",NA,"NR, AR",NA,NA,NA
"Aquilaria beccariana","Thymelaeaceae","Aquilaria","beccariana","50ha","unlogged",NA,NA,"Family",112.981647058824,"BIEN"
"Archidendron microcarpum","Fabaceae","Archidendron","microcarpum","50ha","unlogged",NA,NA,"Genus",170,"BIEN"
"Archidendron unknown mixed","Fabaceae","Archidendron","unknown mixed","50ha","unlogged",NA,NA,NA,NA,NA
"Ardisia  colorata","Primulaceae","Ardisia ","colorata",NA,NA,NA,NA,NA,NA,NA
"Ardisia  macrophylla","Primulaceae","Ardisia ","macrophylla",NA,NA,NA,NA,NA,NA,NA
"Ardisia  unknown mixed","Primulaceae","Ardisia ","unknown mixed","CP","logged",NA,"AR",NA,NA,NA
"Artocarpus anisophyllus","Moraceae","Artocarpus","anisophyllus","CP, 50ha","both",NA,"NR","Genus",2682.45407407407,"BIEN"
"Artocarpus elasticus","Moraceae","Artocarpus","elasticus","CP","logged",NA,"NR","Species",150,"Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008)., Royal Botanical Gardens KEW. Seed Information Database (SID), http://data.kew.org/sid/ accessed May 2014, Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2011)., Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Artocarpus heterophyllus","Moraceae","Artocarpus","heterophyllus","CP","logged",NA,"AR","Species",9338.93,"Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008)., Royal Botanical Gardens KEW. Seed Information Database (SID), http://data.kew.org/sid/ accessed May 2014, Moles, A. T., D. S. Falster, M. R. Leishman, and M. Westoby. 2004. Small-seeded species produce more seeds per square metre of canopy per year, but not per individual per lifetime. Journal of Ecology 92:384-396., Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2011)., Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Artocarpus unknown mixed","Moraceae","Artocarpus","unknown mixed","CP","logged",NA,"AR",NA,NA,NA
"Atuna excelsa","Chrysobalanaceae","Atuna","excelsa","CP","logged",NA,"NR","Family",2536.14322477778,"BIEN"
