original_binomial_name,original_family,original_genus,original_species,family ,genus,species,comments,history_at_INDFORSUS_site,species_origin,logging_status
Aporusa grandistipula,Phyllanthaceae,Aporusa,grandistipula,Phyllanthaceae,Aporosa,grandistipula,Aporusa corrected to Aporosa,NA,CP,logged
Aporusa illustris,Phyllanthaceae,Aporusa,illustris,Phyllanthaceae,Aporosa,illustris,Aporusa corrected to Aporosa,NA,CP,logged
Aporusa unknown mixed,Phyllanthaceae,Aporusa,unknown mixed,Phyllanthaceae,Aporusa,unknown mixed,not identified to species level,NA,CP,logged
Aquilaria beccariana,Thymelaeaceae,Aquilaria,beccariana,Thymelaeaceae,Aquilaria,beccariana,,NA,50ha,unlogged
Archidendron microcarpum,Fabaceae-mimosoideae,Archidendron,microcarpum,Fabaceae,Archidendron,microcarpum,corrected family,NA,50ha,unlogged
Archidendron unknown mixed,Fabaceae-mimosoideae,Archidendron,unknown mixed,Fabaceae,Archidendron,unknown mixed,corrected family + not sure what to do about 'unknown mixed',NA,50ha,unlogged
Ardisia colorata,Primulaceae,Ardisia ,colorata,Primulaceae,Ardisia ,colorata,"not recorded as occuring in Borneo, only in Assam and N.Bangladesh.",NA,CP,logged
Ardisia macrophylla,Primulaceae,Ardisia ,macrophylla,Primulaceae,Ardisia ,macrophylla,,NA,CP,logged
Ardisia  unknown mixed,Primulaceae,Ardisia ,unknown mixed,Primulaceae,Ardisia ,unknown mixed,not identified to species level,NA,CP,logged
Artocarpus anisophyllus,Moraceae,Artocarpus,anisophyllus,Moraceae,Artocarpus,anisophyllus,,NA,"50ha, CP",both
Artocarpus elasticus,Moraceae,Artocarpus,elasticus,Moraceae,Artocarpus,elasticus,,NA,CP,logged
Artocarpus heterophyllus,Moraceae,Artocarpus,heterophyllus,Moraceae,Artocarpus,heterophyllus,"native to SW India, introduced in Borneo",NA,CP,logged
Artocarpus unknown mixed,Moraceae,Artocarpus,unknown mixed,Moraceae,Artocarpus,unknown mixed,not identified to species level,NA,CP,logged
Atuna racemosa,Chrysobalanaceae,Atuna,racemosa,Chrysobalanaceae,Atuna,excelsa,Atuna racemosa is a subspecies of Atuna excelsa,NA,CP,logged
Azadirachta excelsa,Meliaceae,Azadirachta,excelsa,Meliaceae,Azadirachta,excelsa,,NA,"50ha, CP",both
Baccaurea edulis,Phyllanthaceae,Baccaurea,edulis,Phyllanthaceae,Baccaurea,edulis,,NA,50ha,unlogged
Baccaurea lanceolata,Phyllanthaceae,Baccaurea,lanceolata,Phyllanthaceae,Baccaurea,lanceolata,,NA,"50ha, CP",both
Baccaurea macrocarpa,Phyllanthaceae,Baccaurea,macrocarpa,Phyllanthaceae,Baccaurea,macrocarpa,,NA,"50ha, CP",both
Baccaurea parviflora,Phyllanthaceae,Baccaurea,parviflora,Phyllanthaceae,Baccaurea,parviflora,,NA,50ha,unlogged
Baccaurea species 1,Phyllanthaceae,Baccaurea,species 1,Phyllanthaceae,Baccaurea,species 1,not identified to species level,NA,50ha,unlogged
Baccaurea tetrandra,Phyllanthaceae,Baccaurea,tetrandra,Phyllanthaceae,Baccaurea,tetrandra,,NA,"50ha, CP",both
Baccaurea unknown mixed,Phyllanthaceae,Baccaurea,unknown mixed,Phyllanthaceae,Baccaurea,unknown mixed,not identified to species level,NA,"50ha, CP",both
Barringtonia lanceolata,Barringtoniaceae,Barringtonia,lanceolata,Lecythidaceae ,Barringtonia,lanceolata,corrected family,NA,"50ha, CP",both
Barringtonia macrostachya,Barringtoniaceae,Barringtonia,macrostachya,Lecythidaceae ,Barringtonia,macrostachya,corrected family,NA,"50ha, CP",both
Barringtonia unknown mixed,Lecythidaceae,Barringtonia,unknown mixed,Lecythidaceae,Barringtonia,unknown mixed,not identified to species level,NA,50ha,unlogged
Beilschmiedia Unknown species 1,Lauraceae,Beilschmiedia,Unknown species 1,Lauraceae,Beilschmiedia,Unknown species 1,not identified to species level,NA,50ha,unlogged
Beilschmiedia assamica,Lauraceae,Beilschmiedia,assamica,Lauraceae,Beilschmiedia,assamica,,NA,50ha,unlogged
Beilschmiedia cuadrae,Lauraceae,Beilschmiedia,cuadrae,Lauraceae,Beilschmiedia,,does not appear in POWO database at all,NA,"50ha, CP",both
Beilschmiedia micrantha,Lauraceae,Beilschmiedia,micrantha,Lauraceae,Beilschmiedia,micrantha,,NA,"50ha, CP",both
Beilschmiedia tawaensis,Lauraceae,Beilschmiedia,tawaensis,Lauraceae,Beilschmiedia,tawaensis,,NA,"50ha, CP",both
Beilschmiedia unknown mixed,Lauraceae,Beilschmiedia,unknown mixed,Lauraceae,Beilschmiedia,unknown mixed,not identified to species level,NA,CP,logged
Bhesa paniculata,Celastraceae,Bhesa,paniculata,Centroplacaceae,Bhesa,paniculata,corrected family,NA,50ha,unlogged
Blumeodendron kurzii,Euphorbiaceae,Blumeodendron,kurzii,Euphorbiaceae,Blumeodendron,kurzii,,NA,"50ha, CP",both
Blumeodendron tokbrai,Euphorbiaceae,Blumeodendron,tokbrai,Euphorbiaceae,Blumeodendron,tokbrai,,NA,"50ha, CP",both
Bridelia ,Phyllanthaceae,Bridelia,,Phyllanthaceae,Bridelia,,species missing,NA,50ha,unlogged
Bridelia griffithii,Phyllanthaceae,Bridelia,griffithii,Phyllanthaceae,Bridelia,cinnamomea,Bridlea griffithii is a synonym of Bridlea cinnamomea,NA,50ha,unlogged
Bridelia penangensis,Phyllanthaceae,Bridelia,penangensis,Phyllanthaceae,Bridelia,insulana,Bridlea penangensis is a synonym of Bridlea insulana,NA,"50ha, CP",both
Brownlowia peltata,Malvaceae,Brownlowia,peltata,Malvaceae,Brownlowia,peltata,,Unlogged,"50ha, CP, IF",both
Brownlowia stipulata,Malvaceae,Brownlowia,stipulata,Malvaceae,Brownlowia,stipulata,,NA,"50ha, CP",both
Buchanania arborescens,Anacardiaceae,Buchanania,arborescens,Anacardiaceae,Buchanania,arborescens,,NA,50ha,unlogged
Buchanania sessilifolia,Anacardiaceae,Buchanania,sessilifolia,Anacardiaceae,Buchanania,sessilifolia,,Unlogged,"50ha, CP, IF",both
Buchanania unknown mixed,Anacardiaceae,Buchanania,unknown mixed,Anacardiaceae,Buchanania,unknown mixed,not identified to species level,NA,50ha,unlogged
Callicarpa longifolia,Lamiaceae,Callicarpa,longifolia,Lamiaceae,Callicarpa,longifolia,,NA,50ha,unlogged
Callicarpa pentandra,Lamiaceae,Callicarpa,pentandra,Lamiaceae,Callicarpa,pentandra,,NA,"50ha, CP",both
Callicarpa unknown mixed,Lamiaceae,Callicarpa,unknown mixed,Lamiaceae,Callicarpa,unknown mixed,not identified to species level,NA,CP,logged
Calophyllum blancoi,Calophyllaceae,Calophyllum,blancoi,Calophyllaceae,Calophyllum,blancoi,,NA,"50ha, CP",both
Calophyllum gracilipes,Calophyllaceae,Calophyllum,gracilipes,Calophyllaceae,Calophyllum,gracilipes,,NA,"50ha, CP",both
Calophyllum pulcherrimum,Clusiaceae,Calophyllum,pulcherrimum,Calophyllaceae,Calophyllum,pulcherrimum,corrected family,NA,50ha,unlogged
Calophyllum soulattri,Calophyllaceae,Calophyllum,soulattri,Calophyllaceae,Calophyllum,soulattri,,NA,"50ha, CP",both
Calophyllum species 1,Clusiaceae,Calophyllum,species 1,Clusiaceae,Calophyllum,species 1,family likely incorrect - should probably be Calophyllaceae. Cannot check because not identified to species level,NA,50ha,unlogged
Calophyllum species 2,Clusiaceae,Calophyllum,species 2,Clusiaceae,Calophyllum,species 2,family likely incorrect - should probably be Calophyllaceae. Cannot check because not identified to species level,NA,50ha,unlogged
Calophyllum venulosum,Clusiaceae,Calophyllum,venulosum,Calophyllaceae,Calophyllaceae,venulosum,corrected family,NA,50ha,unlogged
Cananga odorata,Annonaceae,Cananga,odorata,Annonaceae,Cananga,odorata,,NA,50ha,unlogged
Canarium decumanum,Burseraceae,Canarium,decumanum,Burseraceae,Canarium,decumanum,,NA,CP,logged
Canarium denticulatum,Burseraceae,Canarium,denticulatum,Burseraceae,Canarium,denticulatum,,ActiveRestoration,"CP, IF",logged
Canarium odontophyllum,Burseraceae,Canarium,odontophyllum,Burseraceae,Canarium,odontophyllum,,NA,CP,logged
Canarium unknown mixed,Burseraceae,Canarium,unknown mixed,Burseraceae,Canarium,unknown mixed,not identified to species level,NA,CP,logged
Carallia borneensis,Rhizophoraceae,Carallia,borneensis,Rhizophoraceae,Carallia,borneensis,,NA,50ha,unlogged
Carallia species 1,Rhizophoraceae,Carallia,species 1,Rhizophoraceae,Carallia,species 1,not identified to species level,NA,50ha,unlogged
Caryodaphnopsis tonkinensis,Lauraceae,Caryodaphnopsis,tonkinensis,Lauraceae,Caryodaphnopsis,tonkinensis,,NA,"50ha, CP",both
Casearia grewiifolia,Sapindaceae,Casearia,grewiifolia,Salicaceae,Casearia,grewiifolia,family corrected,NA,"50ha, CP",both
