"PlotNo","restoration","binomial_name","Family","Genus","Species","DBH.mm","Height_m","species_origin"
"6D","AR","Dipterocarpus unknown mixed","DIPTEROCARPACEAE","Dipterocarpus","unknown mixed",441,30.7,"CP"
"6D","AR","Castanopsis hypophoenicea","FAGACEAE","Castanopsis","hypophoenicea",183,19.6,"CP"
"6D","AR","Lophopetalum javanicum","CELASTRACEAE","Lophopetalum","javanicum",273,20,"CP"
"6D","AR","Aglaia angustifolia","MELIACEAE","Aglaia","angustifolia",260,18.7,"CP"
"6D","AR","Garcinia forbesii","CLUSIACEAE","Garcinia","forbesii",147,11,"CP"
"6D","AR","Microcos ossea","MALVACEAE","Microcos","ossea",135,11.3,"CP"
"6D","AR","Pternandra coerulescens","MELASTOMATACEAE","Pternandra","coerulescens",142,12.5,"CP"
"6D","AR","Pternandra coerulescens","MELASTOMATACEAE","Pternandra","coerulescens",130,15.3,"CP"
"6D","AR","Pleiocarpidia sandakanica","RUBIACEAE","Pleiocarpidia","sandakanica",151,10.1,"CP"
"6D","AR","Macaranga gigantea","EUPHORBIACEAE","Macaranga","gigantea",NA,NA,"CP"
"6D","AR","Mallotus penangensis","EUPHORBIACEAE","Mallotus","penangensis",200,12.2,"CP"
"6D","AR","Shorea fallax","DIPTEROCARPACEAE","Shorea","fallax",398,7.2,"CP"
"6D","AR","Lophopetalum javanicum","CELASTRACEAE","Lophopetalum","javanicum",145,14.2,"CP"
"6D","AR","Syzygium unknown mixed","MYRTACEAE","Syzygium","unknown mixed",163,9.9,"CP"
"6D","AR","Mallotus penangensis","EUPHORBIACEAE","Mallotus","penangensis",111,9.3,"CP"
"6D","AR","Callicarpa pentandra","LAMIACEAE","Callicarpa","pentandra",NA,NA,"CP"
"6D","AR","Pleiocarpidia sandakanica","RUBIACEAE","Pleiocarpidia","sandakanica",175,9,"CP"
"6D","AR","Neolamarckia cadamba","RUBIACEAE","Neolamarckia","cadamba",438,28.8,"CP"
"6D","AR","Macaranga pearsonii","EUPHORBIACEAE","Macaranga","pearsonii",NA,NA,"CP"
"6D","AR","Dryobalanops lanceolata","DIPTEROCARPACEAE","Dryobalanops","lanceolata",150,18,"CP"
"6D","AR","Glochidion rubrum","PHYLLANTHACEAE","Glochidion","rubrum",224,18.5,"CP"
"6D","AR","Symplocos fasciculata","SYMPLOCACEAE","Symplocos","fasciculata",149,10.1,"CP"
"6D","AR","Pleiocarpidia sandakanica","RUBIACEAE","Pleiocarpidia","sandakanica",155,14.6,"CP"
"6D","AR","Pleiocarpidia sandakanica","RUBIACEAE","Pleiocarpidia","sandakanica",167,16.4,"CP"
"6D","AR","Pleiocarpidia sandakanica","RUBIACEAE","Pleiocarpidia","sandakanica",158,13.2,"CP"
"6D","AR","Pleiocarpidia sandakanica","RUBIACEAE","Pleiocarpidia","sandakanica",109,8.2,"CP"
"6D","AR","Neolamarckia cadamba","RUBIACEAE","Neolamarckia","cadamba",593,49.9,"CP"
"6D","AR","Symplocos fasciculata","SYMPLOCACEAE","Symplocos","fasciculata",142,12.3,"CP"
"6D","AR","Duabanga moluccana","SONNERATIACEAE","Duabanga","moluccana",574,32.8,"CP"
"6D","AR","Cratoxylum unknown mixed","HYPERICACEAE","Cratoxylum","unknown mixed",135,10.3,"CP"
"6D","AR","Aglaia silvestris","MELIACEAE","Aglaia","silvestris",225,17.8,"CP"
"6D","AR","Knema latericia","MYRISTICACEAE","Knema","latericia",139,13,"CP"
"6D","AR","Macaranga gigantea","EUPHORBIACEAE","Macaranga","gigantea",189,11.7,"CP"
"6D","AR","Macaranga gigantea","EUPHORBIACEAE","Macaranga","gigantea",435,13.6,"CP"
"6D","AR","Dimocarpus longan","SAPINDACEAE","Dimocarpus","longan",185,16.8,"CP"
"6D","AR","Cryptocarya strictifolia","LAURACEAE","Cryptocarya","strictifolia",219,19.5,"CP"
"6D","AR","Cryptocarya strictifolia","LAURACEAE","Cryptocarya","strictifolia",225,18.8,"CP"
"6D","AR","Dryobalanops lanceolata","DIPTEROCARPACEAE","Dryobalanops","lanceolata",123,18.5,"CP"
"6D","AR","Neolamarckia cadamba","RUBIACEAE","Neolamarckia","cadamba",433,38.5,"CP"
"6D","AR","Litsea angulata","LAURACEAE","Litsea","angulata",188,13.2,"CP"
"6D","AR","Neolamarckia cadamba","RUBIACEAE","Neolamarckia","cadamba",461,44.8,"CP"
"6D","AR","Sindora irpicina","FABACEAE","Sindora","irpicina",210,17.6,"CP"
"6D","AR","Shorea leprosula","DIPTEROCARPACEAE","Shorea","leprosula",285,33.3,"CP"
"6D","AR","Macaranga hypoleuca","EUPHORBIACEAE","Macaranga","hypoleuca",555,23.3,"CP"
"6D","AR","Shorea fallax","DIPTEROCARPACEAE","Shorea","fallax",165,15.2,"CP"
"6D","AR","Mallotus wrayi","EUPHORBIACEAE","Mallotus","wrayi",NA,NA,"CP"
"6D","AR","Microcos crassifolia","MALVACEAE","Microcos","crassifolia",180,20.1,"CP"
"6D","AR","Shorea beccariana","Dipterocarpaceae","Shorea","beccariana",203,5.8,"CP"
"6D","AR","Shorea beccariana","Dipterocarpaceae","Shorea","beccariana",157,9.6,"CP"
"6D","AR","Shorea fallax","DIPTEROCARPACEAE","Shorea","fallax",132,13,"CP"
"6D","AR","Glochidion rubrum","PHYLLANTHACEAE","Glochidion","rubrum",150,19.6,"CP"
"6D","AR","Cratoxylum unknown mixed","HYPERICACEAE","Cratoxylum","unknown mixed",260,21.5,"CP"
"6D","AR","Dipterocarpus unknown mixed","DIPTEROCARPACEAE","Dipterocarpus","unknown mixed",189,20.2,"CP"
"6D","AR","Shorea fallax","DIPTEROCARPACEAE","Shorea","fallax",175,17,"CP"
"6D","AR","Pentace laxiflora","MALVACEAE","Pentace","laxiflora",127,20.8,"CP"
"6D","AR","Scaphium macropodum","MALVACEAE","Scaphium","macropodum",305,25.4,"CP"
"6D","AR","Macaranga pearsonii","EUPHORBIACEAE","Macaranga","pearsonii",668,36.1,"CP"
"6D","AR","Hopea nervosa","DIPTEROCARPACEAE","Hopea","nervosa",123,12.7,"CP"
"6D","AR","Endospermum diadenum","EUPHORBIACEAE","Endospermum","diadenum",432,15.8,"CP"
"6D","AR","Pleiocarpidia sandakanica","RUBIACEAE","Pleiocarpidia","sandakanica",127,12.9,"CP"
"6D","AR","Hopea nervosa","DIPTEROCARPACEAE","Hopea","nervosa",145,12.2,"CP"
"7D","NR","Dysoxylum unknown mixed","MELIACEAE","Dysoxylum","unknown mixed",446,37.4,"CP"
"7D","NR","Sindora irpicina","FABACEAE","Sindora","irpicina",155,11.7,"CP"
"7D","NR","Shorea johorensis","DIPTEROCARPACEAE","Shorea","johorensis",422,36.5,"CP"
"7D","NR","Maasia sumatrana","ANNONACEAE","Maasia","sumatrana",162,17.1,"CP"
"7D","NR","Parashorea tomentella","DIPTEROCARPACEAE","Parashorea","tomentella",400,29.6,"CP"
"7D","NR","Chionanthus pluriflorus","OLEACEAE","Chionanthus","pluriflorus",134,14.1,"CP"
"7D","NR","Alangium javanicum","ALANGIACEAE","Alangium","javanicum",395,28.4,"CP"
"7D","NR","Shorea leprosula","DIPTEROCARPACEAE","Shorea","leprosula",193,22.5,"CP"
"7D","NR","Aglaia unknown mixed","MELIACEAE","Aglaia","unknown mixed",165,12.8,"CP"
"7D","NR","Barringtonia lanceolata","BARRINGTONIACEAE","Barringtonia","lanceolata",168,13.5,"CP"
"7D","NR","Parashorea malaanonan","DIPTEROCARPACEAE","Parashorea","malaanonan",1013,48,"CP"
"7D","NR","Beilschmiedia cuadrae","LAURACEAE","Beilschmiedia","cuadrae",283,22.2,"CP"
"7D","NR","Buchanania sessilifolia","ANACARDIACEAE","Buchanania","sessilifolia",135,17.2,"CP"
"7D","NR","Shorea leprosula","DIPTEROCARPACEAE","Shorea","leprosula",344,28.5,"CP"
"7D","NR","Canarium denticulatum","BURSERACEAE","Canarium","denticulatum",106,9.7,"CP"
"7D","NR","Chionanthus unknown mixed","OLEACEAE","Chionanthus","unknown mixed",172,22.5,"CP"
"7D","NR","Barringtonia macrostachya","BARRINGTONIACEAE","Barringtonia","macrostachya",213,17.7,"CP"
"7D","NR","Macaranga hypoleuca","EUPHORBIACEAE","Macaranga","hypoleuca",395,23.7,"CP"
"7D","NR","Diospyros macrophylla","EBENACEAE","Diospyros","macrophylla",139,12.7,"CP"
"7D","NR","Canarium denticulatum","BURSERACEAE","Canarium","denticulatum",121,13.9,"CP"
"7D","NR","Dysoxylum cyrtobotryum","MELIACEAE","Dysoxylum","cyrtobotryum",124,14,"CP"
"7D","NR","Shorea johorensis","DIPTEROCARPACEAE","Shorea","johorensis",333,14.5,"CP"
"7D","NR","Chisocheton macranthus","MELIACEAE","Chisocheton","macranthus",120,8.7,"CP"
"7D","NR","Barringtonia lanceolata","BARRINGTONIACEAE","Barringtonia","lanceolata",150,14.8,"CP"
"7D","NR","Alangium javanicum","ALANGIACEAE","Alangium","javanicum",392,34.8,"CP"
"7D","NR","Parashorea malaanonan","DIPTEROCARPACEAE","Parashorea","malaanonan",700,39,"CP"
"7D","NR","Litsea angulata","LAURACEAE","Litsea","angulata",165,8.2,"CP"
"7D","NR","Aglaia unknown mixed","MELIACEAE","Aglaia","unknown mixed",128,9.9,"CP"
"7D","NR","Aglaia unknown mixed","MELIACEAE","Aglaia","unknown mixed",153,7.8,"CP"
"7D","NR","Chisocheton macranthus","MELIACEAE","Chisocheton","macranthus",180,24,"CP"
"7D","NR","Shorea johorensis","DIPTEROCARPACEAE","Shorea","johorensis",709,41.5,"CP"
"7D","NR","Baccaurea stipulata","PHYLLANTHACEAE","Baccaurea","stipulata",118,10.2,"CP"
"7D","NR","Elaeocarpus stipularis","ELAEOCARPACEAE","Elaeocarpus","stipularis",388,22,"CP"
"7D","NR","Parashorea malaanonan","DIPTEROCARPACEAE","Parashorea","malaanonan",925,32.7,"CP"
"7D","NR","Dysoxylum unknown mixed","MELIACEAE","Dysoxylum","unknown mixed",298,15.8,"CP"
"7D","NR","Shorea parvifolia","DIPTEROCARPACEAE","Shorea","parvifolia",225,20.1,"CP"
"7D","NR","Parashorea malaanonan","DIPTEROCARPACEAE","Parashorea","malaanonan",199,20,"CP"
"7D","NR","Shorea leprosula","DIPTEROCARPACEAE","Shorea","leprosula",122,7.8,"CP"
"7D","NR","Mallotus wrayi","EUPHORBIACEAE","Mallotus","wrayi",111,11,"CP"
"7D","NR","Litsea garciae","LAURACEAE","Litsea","garciae",226,14.7,"CP"
"7D","NR","Callicarpa pentandra","LAMIACEAE","Callicarpa","pentandra",116,9.4,"CP"
"7D","NR","Aglaia unknown mixed","MELIACEAE","Aglaia","unknown mixed",217,17.5,"CP"
"7D","NR","Aglaia unknown mixed","MELIACEAE","Aglaia","unknown mixed",158,8.2,"CP"
"7D","NR","Parashorea malaanonan","DIPTEROCARPACEAE","Parashorea","malaanonan",1076,76.8,"CP"
"7D","NR","Canarium denticulatum","BURSERACEAE","Canarium","denticulatum",187,14.2,"CP"
"7D","NR","Parashorea malaanonan","DIPTEROCARPACEAE","Parashorea","malaanonan",854,41.8,"CP"
"7D","NR","Diospyros macrophylla","EBENACEAE","Diospyros","macrophylla",175,17.5,"CP"
"7D","NR","Ixora blumei","RUBIACEAE","Ixora","blumei",121,11,"CP"
"7D","NR","Callicarpa pentandra","LAMIACEAE","Callicarpa","pentandra",143,12.8,"CP"
"7D","NR","Canarium denticulatum","BURSERACEAE","Canarium","denticulatum",178,14.5,"CP"
"7D","NR","Ardisia  macrophylla","PRIMULACEAE","Ardisia ","macrophylla",175,14.3,"CP"
"7D","NR","Monoon grandiflorum","ANNONACEAE","Monoon","grandiflorum",103,10.7,"CP"
"7D","NR","Barringtonia macrostachya","BARRINGTONIACEAE","Barringtonia","macrostachya",184,12.6,"CP"
"7D","NR","Elaeocarpus stipularis","ELAEOCARPACEAE","Elaeocarpus","stipularis",222,14.6,"CP"
"8D","NR","Shorea faguetiana","DIPTEROCARPACEAE","Shorea","faguetiana",880,39.6,"CP"
"8D","NR","Macaranga pearsonii","EUPHORBIACEAE","Macaranga","pearsonii",365,30.8,"CP"
"8D","NR","Macaranga pearsonii","EUPHORBIACEAE","Macaranga","pearsonii",179,29.9,"CP"
"8D","NR","Melicope  lunu-ankenda","RUTACEAE","Melicope ","lunu-ankenda",124,16.5,"CP"
"8D","NR","Macaranga pearsonii","EUPHORBIACEAE","Macaranga","pearsonii",486,32.8,"CP"
"8D","NR","Macaranga pearsonii","EUPHORBIACEAE","Macaranga","pearsonii",610,35.9,"CP"
"8D","NR","Canarium denticulatum","BURSERACEAE","Canarium","denticulatum",114,10.4,"CP"
"8D","NR","Shorea parvifolia","DIPTEROCARPACEAE","Shorea","parvifolia",107,8.4,"CP"
"8D","NR","Shorea johorensis","DIPTEROCARPACEAE","Shorea","johorensis",208,15.5,"CP"
"8D","NR","Shorea faguetiana","DIPTEROCARPACEAE","Shorea","faguetiana",413,32.9,"CP"
"8D","NR","Shorea fallax","DIPTEROCARPACEAE","Shorea","fallax",170,20.3,"CP"
"8D","NR","Shorea fallax","DIPTEROCARPACEAE","Shorea","fallax",180,19.8,"CP"
"8D","NR","Shorea fallax","DIPTEROCARPACEAE","Shorea","fallax",182,22.3,"CP"
"8D","NR","Macaranga hypoleuca","EUPHORBIACEAE","Macaranga","hypoleuca",300,26.9,"CP"
"8D","NR","Macaranga hypoleuca","EUPHORBIACEAE","Macaranga","hypoleuca",200,27.2,"CP"
"8D","NR","Xanthophyllum unknown mixed","POLYGALACEAE","Xanthophyllum","unknown mixed",128,17.9,"CP"
"8D","NR","Shorea faguetiana","DIPTEROCARPACEAE","Shorea","faguetiana",139,24,"CP"
"8D","NR","Lithocarpus leptogyne","FAGACEAE","Lithocarpus","leptogyne",367,31.1,"CP"
"8D","NR","Aporusa illustris","PHYLLANTHACEAE","Aporusa","illustris",121,15,"CP"
"8D","NR","Dipterocarpus unknown mixed","DIPTEROCARPACEAE","Dipterocarpus","unknown mixed",178,22.4,"CP"
"8D","NR","Koilodepas longifolium","EUPHORBIACEAE","Koilodepas","longifolium",103,6.1,"CP"
"8D","NR","Chisocheton sarawakensis","MELIACEAE","Chisocheton","sarawakensis",190,15.7,"CP"
"8D","NR","Hopea nervosa","DIPTEROCARPACEAE","Hopea","nervosa",130,18,"CP"
"8D","NR","Shorea fallax","DIPTEROCARPACEAE","Shorea","fallax",165,21.5,"CP"
"8D","NR","Diospyros pilosanthera","EBENACEAE","Diospyros","pilosanthera",224,19.5,"CP"
"8D","NR","Lithocarpus nieuwenhuisii","FAGACEAE","Lithocarpus","nieuwenhuisii",227,33.8,"CP"
"8D","NR","Lithocarpus nieuwenhuisii","FAGACEAE","Lithocarpus","nieuwenhuisii",195,30.3,"CP"
"8D","NR","Shorea fallax","DIPTEROCARPACEAE","Shorea","fallax",119,14.1,"CP"
"8D","NR","Shorea fallax","DIPTEROCARPACEAE","Shorea","fallax",150,20.7,"CP"
"8D","NR","Shorea parvifolia","DIPTEROCARPACEAE","Shorea","parvifolia",1294,58.3,"CP"
"8D","NR","Maasia sumatrana","ANNONACEAE","Maasia","sumatrana",215,25,"CP"
"8D","NR","Scaphium longifolium","MALVACEAE","Scaphium","longifolium",454,35.7,"CP"
"8D","NR","Dryobalanops lanceolata","DIPTEROCARPACEAE","Dryobalanops","lanceolata",592,33,"CP"
"8D","NR","Buchanania sessilifolia","ANACARDIACEAE","Buchanania","sessilifolia",155,18.8,"CP"
"8D","NR","Buchanania sessilifolia","ANACARDIACEAE","Buchanania","sessilifolia",109,16.9,"CP"
"8D","NR","Macaranga hypoleuca","EUPHORBIACEAE","Macaranga","hypoleuca",222,29.3,"CP"
"8D","NR","Macaranga gigantea","EUPHORBIACEAE","Macaranga","gigantea",257,21.5,"CP"
"8D","NR","Shorea parvifolia","DIPTEROCARPACEAE","Shorea","parvifolia",152,15.9,"CP"
"8D","NR","Hopea nervosa","DIPTEROCARPACEAE","Hopea","nervosa",132,16.4,"CP"
"8D","NR","Lithocarpus leptogyne","FAGACEAE","Lithocarpus","leptogyne",170,21.1,"CP"
"8D","NR","Lithocarpus nieuwenhuisii","FAGACEAE","Lithocarpus","nieuwenhuisii",246,30.2,"CP"
"8D","NR","Glochidion lanceisepalum","PHYLLANTHACEAE","Glochidion","lanceisepalum",163,21.4,"CP"
"8D","NR","Macaranga pearsonii","EUPHORBIACEAE","Macaranga","pearsonii",390,29.5,"CP"
"8D","NR","Glochidion elmari","PHYLLANTHACEAE","Glochidion","elmari",116,14.4,"CP"
"8D","NR","Intsia palembanica","FABACEAE","Intsia","palembanica",145,12.4,"CP"
"8D","NR","Macaranga pearsonii","EUPHORBIACEAE","Macaranga","pearsonii",515,30.7,"CP"
"8D","NR","Macaranga hypoleuca","EUPHORBIACEAE","Macaranga","hypoleuca",NA,NA,"CP"
"8D","NR","Macaranga hypoleuca","EUPHORBIACEAE","Macaranga","hypoleuca",213,36.1,"CP"
"8D","NR","Macaranga pearsonii","EUPHORBIACEAE","Macaranga","pearsonii",563,33.9,"CP"
"8D","NR","Shorea ovata","DIPTEROCARPACEAE","Shorea","ovata",142,16.9,"CP"
"8D","NR","Shorea johorensis","DIPTEROCARPACEAE","Shorea","johorensis",118,16.4,"CP"
"8D","NR","Litsea cordifolia","LAURACEAE","Litsea","cordifolia",194,14.6,"CP"
"8D","NR","Alangium javanicum","ALANGIACEAE","Alangium","javanicum",146,14.1,"CP"
"8D","NR","Lithocarpus nieuwenhuisii","FAGACEAE","Lithocarpus","nieuwenhuisii",188,24.3,"CP"
"8D","NR","Shorea parvifolia","DIPTEROCARPACEAE","Shorea","parvifolia",233,37,"CP"
"8D","NR","Castanopsis hypophoenicea","FAGACEAE","Castanopsis","hypophoenicea",375,34.5,"CP"
"8D","NR","Macaranga pearsonii","EUPHORBIACEAE","Macaranga","pearsonii",537,41.9,"CP"
"8D","NR","Shorea parvifolia","DIPTEROCARPACEAE","Shorea","parvifolia",157,20.8,"CP"
"8D","NR","Shorea parvifolia","DIPTEROCARPACEAE","Shorea","parvifolia",121,14.9,"CP"
"8D","NR","Glochidion elmari","PHYLLANTHACEAE","Glochidion","elmari",108,8.2,"CP"
"8D","NR","Syzygium unknown mixed","MYRTACEAE","Syzygium","unknown mixed",340,28.1,"CP"
"8D","NR","Lithocarpus nieuwenhuisii","FAGACEAE","Lithocarpus","nieuwenhuisii",247,25.6,"CP"
"8D","NR","Lithocarpus nieuwenhuisii","FAGACEAE","Lithocarpus","nieuwenhuisii",191,29,"CP"
"8D","NR","Shorea johorensis","DIPTEROCARPACEAE","Shorea","johorensis",307,20.6,"CP"
"8D","NR","Knema elmeri","MYRISTICACEAE","Knema","elmeri",135,12.6,"CP"
"8D","NR","Shorea parvifolia","DIPTEROCARPACEAE","Shorea","parvifolia",199,24.4,"CP"
"8D","NR","Shorea fallax","DIPTEROCARPACEAE","Shorea","fallax",202,16.5,"CP"
"8D","NR","Syzygium unknown mixed","MYRTACEAE","Syzygium","unknown mixed",198,22.2,"CP"
"8D","NR","Koilodepas longifolium","EUPHORBIACEAE","Koilodepas","longifolium",107,7.5,"CP"
"8D","NR","Koilodepas longifolium","EUPHORBIACEAE","Koilodepas","longifolium",112,5.9,"CP"
"8D","NR","Glochidion elmari","PHYLLANTHACEAE","Glochidion","elmari",115,11.5,"CP"
"8D","NR","Macaranga hypoleuca","EUPHORBIACEAE","Macaranga","hypoleuca",457,35.5,"CP"
"8D","NR","Macaranga hypoleuca","EUPHORBIACEAE","Macaranga","hypoleuca",232,30,"CP"
"8D","NR","Macaranga hypoleuca","EUPHORBIACEAE","Macaranga","hypoleuca",220,28.6,"CP"
"8D","NR","Macaranga hypoleuca","EUPHORBIACEAE","Macaranga","hypoleuca",171,31,"CP"
"8D","NR","Macaranga hypoleuca","EUPHORBIACEAE","Macaranga","hypoleuca",285,28.4,"CP"
"8D","NR","Lithocarpus leptogyne","FAGACEAE","Lithocarpus","leptogyne",168,18.8,"CP"
"8D","NR","Palaquium beccarianum","SAPOTACEAE","Palaquium","beccarianum",122,12.7,"CP"
"8D","NR","Lithocarpus leptogyne","FAGACEAE","Lithocarpus","leptogyne",135,18.6,"CP"
"8D","NR","Macaranga hypoleuca","EUPHORBIACEAE","Macaranga","hypoleuca",442,32.1,"CP"
"8D","NR","Macaranga hypoleuca","EUPHORBIACEAE","Macaranga","hypoleuca",277,33.8,"CP"
"8D","NR","Lithocarpus unknown mixed","FAGACEAE","Lithocarpus","unknown mixed",135,12.9,"CP"
"8D","NR","Glochidion elmari","PHYLLANTHACEAE","Glochidion","elmari",144,15.4,"CP"
"8D","NR","Shorea ovata","DIPTEROCARPACEAE","Shorea","ovata",143,16.4,"CP"
"8D","NR","Knema laurina","MYRISTICACEAE","Knema","laurina",136,17.7,"CP"
"8D","NR","Shorea parvifolia","DIPTEROCARPACEAE","Shorea","parvifolia",263,30.4,"CP"
"8D","NR","Shorea fallax","DIPTEROCARPACEAE","Shorea","fallax",126,17.7,"CP"
"8D","NR","Macaranga hypoleuca","EUPHORBIACEAE","Macaranga","hypoleuca",399,28.4,"CP"
"8D","NR","Glochidion elmari","PHYLLANTHACEAE","Glochidion","elmari",103,13.6,"CP"
"8D","NR","Shorea parvifolia","DIPTEROCARPACEAE","Shorea","parvifolia",221,21.8,"CP"
"8D","NR","Glochidion elmari","PHYLLANTHACEAE","Glochidion","elmari",124,17.8,"CP"
"8D","NR","Shorea superba","DIPTEROCARPACEAE","Shorea","superba",130,16,"CP"
"8D","NR","Shorea faguetiana","DIPTEROCARPACEAE","Shorea","faguetiana",123,12.6,"CP"
"8D","NR","Koilodepas longifolium","EUPHORBIACEAE","Koilodepas","longifolium",114,6.2,"CP"
"8D","NR","Glochidion lanceisepalum","PHYLLANTHACEAE","Glochidion","lanceisepalum",134,17.7,"CP"
"8D","NR","Hopea nervosa","DIPTEROCARPACEAE","Hopea","nervosa",136,16,"CP"
"8D","NR","Shorea fallax","DIPTEROCARPACEAE","Shorea","fallax",178,30.3,"CP"
"8D","NR","Macaranga hypoleuca","EUPHORBIACEAE","Macaranga","hypoleuca",354,32.9,"CP"
"8D","NR","Macaranga hypoleuca","EUPHORBIACEAE","Macaranga","hypoleuca",525,34.6,"CP"
"8D","NR","Diospyros unknown mixed","EBENACEAE","Diospyros","unknown mixed",401,38.3,"CP"
"8D","NR","Macaranga hypoleuca","EUPHORBIACEAE","Macaranga","hypoleuca",258,26.4,"CP"
"8D","NR","Macaranga hypoleuca","EUPHORBIACEAE","Macaranga","hypoleuca",371,31.1,"CP"
"8D","NR","Macaranga hypoleuca","EUPHORBIACEAE","Macaranga","hypoleuca",418,40.8,"CP"
"8D","NR","Macaranga hypoleuca","EUPHORBIACEAE","Macaranga","hypoleuca",461,36.2,"CP"
"8D","NR","Unknown unknown mixed","MELIACEAE","Unknown","unknown mixed",140,13.5,"CP"
"8D","NR","Macaranga hypoleuca","EUPHORBIACEAE","Macaranga","hypoleuca",383,28.7,"CP"
"8D","NR","Macaranga hypoleuca","EUPHORBIACEAE","Macaranga","hypoleuca",287,32.7,"CP"
"8D","NR","Gironniera nervosa","ULMACEAE","Gironniera","nervosa",283,24.6,"CP"
"8D","NR","Canarium denticulatum","BURSERACEAE","Canarium","denticulatum",135,14.8,"CP"
"8D","NR","Fordia unknown mixed","FABACEAE","Fordia","unknown mixed",114,5.9,"CP"
"8D","NR","Hopea nervosa","DIPTEROCARPACEAE","Hopea","nervosa",152,6,"CP"
"8D","NR","Shorea fallax","DIPTEROCARPACEAE","Shorea","fallax",110,9.4,"CP"
"8D","NR","Litsea accedens","LAURACEAE","Litsea","accedens",158,8.5,"CP"
"8D","NR","Hopea nervosa","DIPTEROCARPACEAE","Hopea","nervosa",151,7.4,"CP"
"8D","NR","Glochidion elmari","PHYLLANTHACEAE","Glochidion","elmari",123,16.6,"CP"
"8D","NR","Taulama gitingensis","MAGNOLIACEAE","Taulama","gitingensis",288,32.1,"CP"
"8D","NR","Knema latericia","MYRISTICACEAE","Knema","latericia",119,16.5,"CP"
"8D","NR","Glochidion elmari","PHYLLANTHACEAE","Glochidion","elmari",185,20.8,"CP"
"8D","NR","Glochidion elmari","PHYLLANTHACEAE","Glochidion","elmari",215,19.7,"CP"
"8D","NR","Glochidion elmari","PHYLLANTHACEAE","Glochidion","elmari",205,27.7,"CP"
"8D","NR","Glochidion elmari","PHYLLANTHACEAE","Glochidion","elmari",263,28.5,"CP"
"8D","NR","Glochidion elmari","PHYLLANTHACEAE","Glochidion","elmari",124,13.9,"CP"
"8D","NR","Glochidion elmari","PHYLLANTHACEAE","Glochidion","elmari",334,33.2,"CP"
"8D","NR","Glochidion elmari","PHYLLANTHACEAE","Glochidion","elmari",285,36.6,"CP"
"8D","NR","Glochidion elmari","PHYLLANTHACEAE","Glochidion","elmari",326,34.5,"CP"
"8D","NR","Glochidion elmari","PHYLLANTHACEAE","Glochidion","elmari",123,18.8,"CP"
"8D","NR","Glochidion elmari","PHYLLANTHACEAE","Glochidion","elmari",322,35.5,"CP"
"8D","NR","Glochidion elmari","PHYLLANTHACEAE","Glochidion","elmari",NA,NA,"CP"
"8D","NR","Caryodaphnopsis tonkinensis","LAURACEAE","Caryodaphnopsis","tonkinensis",109,7.7,"CP"
"8D","NR","Glochidion elmari","PHYLLANTHACEAE","Glochidion","elmari",140,12.7,"CP"
"8D","NR","Shorea parvifolia","DIPTEROCARPACEAE","Shorea","parvifolia",109,13.8,"CP"
"8D","NR","Dryobalanops lanceolata","DIPTEROCARPACEAE","Dryobalanops","lanceolata",147,17.2,"CP"
"8D","NR","Eusideroxylon zwageri","LAURACEAE","Eusideroxylon","zwageri",128,14.8,"CP"
"8D","NR","Shorea parvifolia","DIPTEROCARPACEAE","Shorea","parvifolia",129,14.9,"CP"
"8D","NR","Lithocarpus gracilis","FAGACEAE","Lithocarpus","gracilis",437,40.5,"CP"
"8D","NR","Shorea parvifolia","DIPTEROCARPACEAE","Shorea","parvifolia",186,34.2,"CP"
"8D","NR","Drypetes longifolia","PUTRANJIVACEAE","Drypetes","longifolia",NA,NA,"CP"
"8D","NR","Maasia sumatrana","ANNONACEAE","Maasia","sumatrana",193,15.1,"CP"
"8D","NR","Santiria laevigata","BURSERACEAE","Santiria","laevigata",107,11.7,"CP"
"8D","NR","Santiria laevigata","BURSERACEAE","Santiria","laevigata",121,14.5,"CP"
"8D","NR","Shorea fallax","DIPTEROCARPACEAE","Shorea","fallax",237,12.4,"CP"
"8D","NR","Shorea parvifolia","DIPTEROCARPACEAE","Shorea","parvifolia",198,26.3,"CP"
"8D","NR","Chisocheton sarawakensis","MELIACEAE","Chisocheton","sarawakensis",305,16.3,"CP"
"8D","NR","Shorea faguetiana","DIPTEROCARPACEAE","Shorea","faguetiana",NA,NA,"CP"
"8D","NR","Madhuca kingiana","SAPOTACEAE","Madhuca","kingiana",126,12.1,"CP"
"8D","NR","Hydnocarpus anomala","ACHARIACEAE","Hydnocarpus","anomala",110,12.7,"CP"
"8D","NR","Glochidion elmari","PHYLLANTHACEAE","Glochidion","elmari",160,15,"CP"
"8D","NR","Unknown unknown mixed","MELIACEAE","Unknown","unknown mixed",124,12.5,"CP"
"8D","NR","Hopea nervosa","DIPTEROCARPACEAE","Hopea","nervosa",123,18.3,"CP"
"8D","NR","Shorea ovata","DIPTEROCARPACEAE","Shorea","ovata",583,43.1,"CP"
"8D","NR","Knema latericia","MYRISTICACEAE","Knema","latericia",138,14.5,"CP"
"8D","NR","Shorea parvifolia","DIPTEROCARPACEAE","Shorea","parvifolia",196,20.5,"CP"
"8D","NR","Macaranga hypoleuca","EUPHORBIACEAE","Macaranga","hypoleuca",260,17,"CP"
"8D","NR","Xanthophyllum unknown mixed","POLYGALACEAE","Xanthophyllum","unknown mixed",118,10.6,"CP"
