"PlotNo","restoration","binomial_name","Family","Genus","Species","DBH.mm","Height_m","species_origin"
"1D","AR","Scorodocarpus borneensis","OLACACEAE","Scorodocarpus","borneensis",180,14,"CP"
"1D","AR","Crudia tenuipes","FABACEAE","Crudia","tenuipes",145,16,"CP"
"1D","AR","Shorea leprosula","DIPTEROCARPACEAE","Shorea","leprosula",128,28.7,"CP"
"1D","AR","Teijsmanniodendron unknown mixed","LAMIACEAE","Teijsmanniodendron","unknown mixed",174,16.2,"CP"
"1D","AR","Shorea parvifolia","DIPTEROCARPACEAE","Shorea","parvifolia",744,54.1,"CP"
"1D","AR","Neolamarckia cadamba","RUBIACEAE","Neolamarckia","cadamba",228,46.4,"CP"
"1D","AR","Shorea pauciflora","DIPTEROCARPACEAE","Shorea","pauciflora",221,31.2,"CP"
"1D","AR","Spathiostemon javensis","EUPHORBIACEAE","Spathiostemon","javensis",118,12.3,"CP"
"1D","AR","Maasia sumatrana","ANNONACEAE","Maasia","sumatrana",283,30.7,"CP"
"1D","AR","Lithocarpus leptogyne","FAGACEAE","Lithocarpus","leptogyne",339,28.9,"CP"
"1D","AR","Dipterocarpus unknown mixed","DIPTEROCARPACEAE","Dipterocarpus","unknown mixed",653,50.3,"CP"
"1D","AR","Unknown unknown mixed","ANNONACEAE","Unknown","unknown mixed",227,35.1,"CP"
"1D","AR","Scaphium longifolium","MALVACEAE","Scaphium","longifolium",391,32.3,"CP"
"1D","AR","Shorea unknown mixed","DIPTEROCARPACEAE","Shorea","unknown mixed",749,43.8,"CP"
"1D","AR","Mallotus stipularis","EUPHORBIACEAE","Mallotus","stipularis",139,13.2,"CP"
"1D","AR","Shorea parvifolia","DIPTEROCARPACEAE","Shorea","parvifolia",1085,48.7,"CP"
"1D","AR","Xanthophyllum unknown mixed","POLYGALACEAE","Xanthophyllum","unknown mixed",145,18.7,"CP"
"1D","AR","Unknown unknown mixed","ANNONACEAE","Unknown","unknown mixed",353,32.8,"CP"
"1D","AR","Parashorea malaanonan","DIPTEROCARPACEAE","Parashorea","malaanonan",156,15.5,"CP"
"1D","AR","Dipterocarpus applanatus","DIPTEROCARPACEAE","Dipterocarpus","applanatus",197,16,"CP"
"1D","AR","Ficus unknown mixed","MORACEAE","Ficus","unknown mixed",142,16.8,"CP"
"1D","AR","Madhuca kingiana","SAPOTACEAE","Madhuca","kingiana",131,15.9,"CP"
"1D","AR","Shorea parvifolia","DIPTEROCARPACEAE","Shorea","parvifolia",642,42.9,"CP"
"1D","AR","Shorea ovalis","DIPTEROCARPACEAE","Shorea","ovalis",216,19.8,"CP"
"1D","AR","Koilodepas longifolium","EUPHORBIACEAE","Koilodepas","longifolium",108,12.8,"CP"
"1D","AR","Mallotus wrayi","EUPHORBIACEAE","Mallotus","wrayi",170,16.9,"CP"
"1D","AR","Madhuca korthalsii","SAPOTACEAE","Madhuca","korthalsii",143,18.1,"CP"
"1D","AR","Litsea caulocarpa","LAURACEAE","Litsea","caulocarpa",147,18.9,"CP"
"1D","AR","Lithocarpus unknown mixed","FAGACEAE","Lithocarpus","unknown mixed",526,36,"CP"
"1D","AR","Aglaia unknown mixed","MELIACEAE","Aglaia","unknown mixed",146,22,"CP"
"1D","AR","Lithocarpus leptogyne","FAGACEAE","Lithocarpus","leptogyne",549,32.8,"CP"
"1D","AR","Shorea parvifolia","DIPTEROCARPACEAE","Shorea","parvifolia",183,21.7,"CP"
"1D","AR","Lophopetalum javanicum","CELASTRACEAE","Lophopetalum","javanicum",266,33.8,"CP"
"1D","AR","Shorea macrophylla","DIPTEROCARPACEAE","Shorea","macrophylla",768,43.9,"CP"
"1D","AR","Ziziphus angustifolius","RHAMNACEAE","Ziziphus","angustifolius",333,33.1,"CP"
"1D","AR","Litsea caulocarpa","LAURACEAE","Litsea","caulocarpa",153,14.3,"CP"
"1D","AR","Scorodocarpus borneensis","OLACACEAE","Scorodocarpus","borneensis",335,33.1,"CP"
"1D","AR","Lithocarpus leptogyne","FAGACEAE","Lithocarpus","leptogyne",466,40.9,"CP"
"1D","AR","Lithocarpus leptogyne","FAGACEAE","Lithocarpus","leptogyne",282,37.7,"CP"
"1D","AR","Lophopetalum javanicum","CELASTRACEAE","Lophopetalum","javanicum",161,15.9,"CP"
"1D","AR","Xanthophyllum unknown mixed","POLYGALACEAE","Xanthophyllum","unknown mixed",162,25.2,"CP"
"1D","AR","Litsea caulocarpa","LAURACEAE","Litsea","caulocarpa",921,33.2,"CP"
"1D","AR","Lophopetalum javanicum","CELASTRACEAE","Lophopetalum","javanicum",307,34.7,"CP"
"1D","AR","Mallotus penangensis","EUPHORBIACEAE","Mallotus","penangensis",206,25.1,"CP"
"1D","AR","Lophopetalum javanicum","CELASTRACEAE","Lophopetalum","javanicum",180,29.2,"CP"
"1D","AR","Neoscortechinia kingii","EUPHORBIACEAE","Neoscortechinia","kingii",217,25.3,"CP"
"1D","AR","Mallotus penangensis","EUPHORBIACEAE","Mallotus","penangensis",125,28.7,"CP"
"1D","AR","Shorea fallax","DIPTEROCARPACEAE","Shorea","fallax",211,28.3,"CP"
"1D","AR","Unknown unknown mixed","ANNONACEAE","Unknown","unknown mixed",223,28.7,"CP"
"1D","AR","Hopea nervosa","DIPTEROCARPACEAE","Hopea","nervosa",405,36.1,"CP"
"1D","AR","Aglaia unknown mixed","MELIACEAE","Aglaia","unknown mixed",147,18.3,"CP"
"1D","AR","Gironniera nervosa","ULMACEAE","Gironniera","nervosa",129,9,"CP"
"1D","AR","Vatica albiramis","DIPTEROCARPACEAE","Vatica","albiramis",462,42.6,"CP"
"1D","AR","Parinari oblongifolia","CHRYSOBALANACEAE","Parinari","oblongifolia",168,25.4,"CP"
"1D","AR","Aglaia unknown mixed","MELIACEAE","Aglaia","unknown mixed",139,20.3,"CP"
"1D","AR","Scorodocarpus borneensis","OLACACEAE","Scorodocarpus","borneensis",124,18.2,"CP"
"1D","AR","Shorea mecistopteryx","DIPTEROCARPACEAE","Shorea","mecistopteryx",231,30.6,"CP"
"1D","AR","Gironniera nervosa","ULMACEAE","Gironniera","nervosa",123,24,"CP"
"1D","AR","Chisocheton sarawakensis","MELIACEAE","Chisocheton","sarawakensis",292,27.7,"CP"
"1D","AR","Unknown unknown mixed","ANNONACEAE","Unknown","unknown mixed",163,19.7,"CP"
"1D","AR","Unknown unknown mixed","ANNONACEAE","Unknown","unknown mixed",113,9,"CP"
"1D","AR","Maasia sumatrana","ANNONACEAE","Maasia","sumatrana",155,20.6,"CP"
"1D","AR","Lithocarpus leptogyne","FAGACEAE","Lithocarpus","leptogyne",241,32.3,"CP"
"2D","AR","Cryptocarya erectinervia","LAURACEAE","Cryptocarya","erectinervia",147,17,"CP"
"2D","AR","Shorea superba","DIPTEROCARPACEAE","Shorea","superba",331,44.7,"CP"
"2D","AR","Shorea fallax","DIPTEROCARPACEAE","Shorea","fallax",191,28.7,"CP"
"2D","AR","Shorea macrophylla","DIPTEROCARPACEAE","Shorea","macrophylla",184,19.5,"CP"
"2D","AR","Macaranga gigantea","EUPHORBIACEAE","Macaranga","gigantea",376,31.3,"CP"
"2D","AR","Macaranga pearsonii","EUPHORBIACEAE","Macaranga","pearsonii",578,32.8,"CP"
"2D","AR","Glochidion elmari","PHYLLANTHACEAE","Glochidion","elmari",110,14.5,"CP"
"2D","AR","Nauclea unknown mixed","RUBIACEAE","Nauclea","unknown mixed",106,13.7,"CP"
"2D","AR","Pternandra coerulescens","MELASTOMATACEAE","Pternandra","coerulescens",118,15.2,"CP"
"2D","AR","Neolamarckia cadamba","RUBIACEAE","Neolamarckia","cadamba",388,40.7,"CP"
"2D","AR","Macaranga hypoleuca","EUPHORBIACEAE","Macaranga","hypoleuca",397,34.2,"CP"
"2D","AR","Neolamarckia cadamba","RUBIACEAE","Neolamarckia","cadamba",339,28.2,"CP"
"2D","AR","Macaranga hypoleuca","EUPHORBIACEAE","Macaranga","hypoleuca",487,35,"CP"
"2D","AR","Macaranga pearsonii","EUPHORBIACEAE","Macaranga","pearsonii",295,37,"CP"
"2D","AR","Glochidion rubrum","PHYLLANTHACEAE","Glochidion","rubrum",156,28.3,"CP"
"2D","AR","Macaranga hypoleuca","EUPHORBIACEAE","Macaranga","hypoleuca",429,32.9,"CP"
"2D","AR","Neesia synandra","MALVACEAE","Neesia","synandra",112,17.1,"CP"
"2D","AR","Neolamarckia cadamba","RUBIACEAE","Neolamarckia","cadamba",285,33.2,"CP"
"2D","AR","Macaranga pearsonii","EUPHORBIACEAE","Macaranga","pearsonii",484,37.7,"CP"
"2D","AR","Litsea unknown mixed","LAURACEAE","Litsea","unknown mixed",152,16.9,"CP"
"2D","AR","Macaranga hypoleuca","EUPHORBIACEAE","Macaranga","hypoleuca",490,34.9,"CP"
"2D","AR","Canarium odontophyllum","BURSERACEAE","Canarium","odontophyllum",153,19.7,"CP"
"2D","AR","Hopea nervosa","DIPTEROCARPACEAE","Hopea","nervosa",196,26.7,"CP"
"2D","AR","Shorea superba","DIPTEROCARPACEAE","Shorea","superba",228,28.2,"CP"
"2D","AR","Dipterocarpus applanatus","DIPTEROCARPACEAE","Dipterocarpus","applanatus",321,31.7,"CP"
"2D","AR","Diospyros macrophylla","EBENACEAE","Diospyros","macrophylla",110,17.9,"CP"
"2D","AR","Ryparosa acuminata","ACHARIACEAE","Ryparosa","acuminata",183,16.7,"CP"
"2D","AR","Lithocarpus ewyckii","FAGACEAE","Lithocarpus","ewyckii",118,18.2,"CP"
"2D","AR","Dipterocarpus applanatus","DIPTEROCARPACEAE","Dipterocarpus","applanatus",123,18.5,"CP"
"2D","AR","Macaranga hypoleuca","EUPHORBIACEAE","Macaranga","hypoleuca",339,40.5,"CP"
"2D","AR","Glochidion lanceisepalum","PHYLLANTHACEAE","Glochidion","lanceisepalum",140,15.2,"CP"
"2D","AR","Macaranga hypoleuca","EUPHORBIACEAE","Macaranga","hypoleuca",238,30.2,"CP"
"2D","AR","Macaranga hypoleuca","EUPHORBIACEAE","Macaranga","hypoleuca",360,19.2,"CP"
"2D","AR","Glochidion rubrum","PHYLLANTHACEAE","Glochidion","rubrum",167,21.4,"CP"
"2D","AR","Glochidion unknown mixed","PHYLLANTHACEAE","Glochidion","unknown mixed",110,11,"CP"
"2D","AR","Shorea parvifolia","DIPTEROCARPACEAE","Shorea","parvifolia",936,52.5,"CP"
"2D","AR","Glochidion unknown mixed","PHYLLANTHACEAE","Glochidion","unknown mixed",126,18.8,"CP"
