"binomial_name","family","genus","species","history_at_IF_site","history_at_CP_site","species_origin","logging_status"
"Baccaurea macrocarpa","Phyllanthaceae","Baccaurea","macrocarpa",NA,"no seedling data","CP, 50ha","both"
"Baccaurea parviflora","Phyllanthaceae","Baccaurea","parviflora",NA,NA,"50ha","unlogged"
"Baccaurea species 1","Phyllanthaceae","Baccaurea","species 1",NA,NA,"50ha","unlogged"
"Baccaurea tetrandra","Phyllanthaceae","Baccaurea","tetrandra",NA,"AR, NR","CP, 50ha","both"
"Baccaurea unknown mixed","Phyllanthaceae","Baccaurea","unknown mixed",NA,"AR, NR","CP, 50ha","both"
"Barringtonia lanceolata","Lecythidaceae ","Barringtonia","lanceolata",NA,"AR, NR","CP, 50ha","both"
"Barringtonia macrostachya","Lecythidaceae ","Barringtonia","macrostachya",NA,"AR, NR","CP, 50ha","both"
"Barringtonia unknown mixed","Lecythidaceae","Barringtonia","unknown mixed",NA,NA,"50ha","unlogged"
"Beilschmiedia Unknown species 1","Lauraceae","Beilschmiedia","Unknown species 1",NA,NA,"50ha","unlogged"
"Beilschmiedia assamica","Lauraceae","Beilschmiedia","assamica",NA,NA,"50ha","unlogged"
"Beilschmiedia ","Lauraceae","Beilschmiedia","",NA,"NR","CP, 50ha","both"
"Beilschmiedia micrantha","Lauraceae","Beilschmiedia","micrantha",NA,"AR, NR","CP, 50ha","both"
"Beilschmiedia tawaensis","Lauraceae","Beilschmiedia","tawaensis",NA,"AR, NR","CP, 50ha","both"
"Beilschmiedia unknown mixed","Lauraceae","Beilschmiedia","unknown mixed",NA,"AR, NR","CP","logged"
"Bhesa paniculata","Centroplacaceae","Bhesa","paniculata",NA,NA,"50ha","unlogged"
"Blumeodendron kurzii","Euphorbiaceae","Blumeodendron","kurzii",NA,"AR, NR","CP, 50ha","both"
"Blumeodendron tokbrai","Euphorbiaceae","Blumeodendron","tokbrai",NA,"AR, NR","CP, 50ha","both"
"Bridelia ","Phyllanthaceae","Bridelia","",NA,NA,"50ha","unlogged"
"Bridelia cinnamomea","Phyllanthaceae","Bridelia","cinnamomea",NA,NA,"50ha","unlogged"
"Bridelia insulana","Phyllanthaceae","Bridelia","insulana",NA,"no seedling data, AR","CP, 50ha","both"
"Brownlowia peltata","Malvaceae","Brownlowia","peltata",NA,"NR, AR","CP, 50ha","both"
"Brownlowia stipulata","Malvaceae","Brownlowia","stipulata",NA,"NR","CP, 50ha","both"
"Buchanania arborescens","Anacardiaceae","Buchanania","arborescens",NA,NA,"50ha","unlogged"
"Buchanania sessilifolia","Anacardiaceae","Buchanania","sessilifolia",NA,"NR","CP, 50ha","both"
"Buchanania unknown mixed","Anacardiaceae","Buchanania","unknown mixed",NA,NA,"50ha","unlogged"
"Callicarpa longifolia","Lamiaceae","Callicarpa","longifolia",NA,NA,"50ha","unlogged"
"Callicarpa pentandra","Lamiaceae","Callicarpa","pentandra",NA,"AR, NR","CP, 50ha","both"
"Callicarpa unknown mixed","Lamiaceae","Callicarpa","unknown mixed",NA,"AR","CP","logged"
"Calophyllum blancoi","Calophyllaceae","Calophyllum","blancoi",NA,"NR, AR","CP, 50ha","both"
"Calophyllum gracilipes","Calophyllaceae","Calophyllum","gracilipes",NA,"AR","CP, 50ha","both"
"Calophyllum pulcherrimum","Calophyllaceae","Calophyllum","pulcherrimum",NA,NA,"50ha","unlogged"
"Calophyllum soulattri","Calophyllaceae","Calophyllum","soulattri",NA,"NR","CP, 50ha","both"
"Calophyllum species 1","Clusiaceae","Calophyllum","species 1",NA,NA,"50ha","unlogged"
"Calophyllum species 2","Clusiaceae","Calophyllum","species 2",NA,NA,"50ha","unlogged"
"Calophyllaceae venulosum","Calophyllaceae","Calophyllaceae","venulosum",NA,NA,"50ha","unlogged"
"Cananga odorata","Annonaceae","Cananga","odorata",NA,NA,"50ha","unlogged"
"Canarium decumanum","Burseraceae","Canarium","decumanum",NA,"AR, NR","CP","logged"
"Canarium denticulatum","Burseraceae","Canarium","denticulatum","ActiveRestoration","AR, NR","CP, IF","logged"
"Canarium odontophyllum","Burseraceae","Canarium","odontophyllum",NA,"AR, NR, no seedling data","CP","logged"
"Canarium unknown mixed","Burseraceae","Canarium","unknown mixed",NA,"AR, NR","CP","logged"
"Carallia borneensis","Rhizophoraceae","Carallia","borneensis",NA,NA,"50ha","unlogged"
"Carallia species 1","Rhizophoraceae","Carallia","species 1",NA,NA,"50ha","unlogged"
"Caryodaphnopsis tonkinensis","Lauraceae","Caryodaphnopsis","tonkinensis",NA,"NR, no seedling data, AR","CP, 50ha","both"
"Casearia grewiifolia","Salicaceae","Casearia","grewiifolia",NA,"AR","CP, 50ha","both"
"Castanopsis hypophoenicea","Fagaceae","Castanopsis","hypophoenicea",NA,"AR, NR","CP, 50ha","both"
"Castanopsis motleyana","Fagaceae","Castanopsis","motleyana",NA,"NR","CP","logged"
"Castanopsis unknown mixed","Fagaceae","Castanopsis","unknown mixed",NA,NA,"50ha","unlogged"
"Chionanthus curvicarpus","Oleaceae","Chionanthus","curvicarpus",NA,NA,"50ha","unlogged"
"Chionanthus macrocarpus","Oleaceae","Chionanthus","macrocarpus",NA,NA,"50ha","unlogged"
"Chionanthus pluriflorus","Oleaceae","Chionanthus","pluriflorus",NA,"AR, NR","CP, 50ha","both"
"Chionanthus unknown mixed","Oleaceae","Chionanthus","unknown mixed",NA,"NR","CP, 50ha","both"
"Chisocheton ceramicus","Meliaceae","Chisocheton","ceramicus",NA,NA,"50ha","unlogged"
"Chisocheton macranthus","Meliaceae","Chisocheton","macranthus",NA,"AR, NR","CP, 50ha","both"
"Chisocheton patens","Meliaceae","Chisocheton","patens",NA,"NR","CP, 50ha","both"
"Chisocheton pentandrus","Meliaceae","Chisocheton","pentandrus",NA,"AR","CP, 50ha","both"
"Chisocheton polyandrus","Meliaceae","Chisocheton","polyandrus",NA,NA,"50ha","unlogged"
"Chisocheton sarawakanus","Meliaceae","Chisocheton","sarawakanus",NA,"AR, NR","CP, 50ha","both"
"Chisocheton unknown mixed","Meliaceae","Chisocheton","unknown mixed",NA,"AR, NR","CP, 50ha","both"
"Cinnamomum iners","Lauraceae","Cinnamomum","iners",NA,"AR","CP, 50ha","both"
"Cinnamomum racemosum","Lauraceae","Cinnamomum","racemosum",NA,NA,"50ha","unlogged"
"Cinnamomum unknown mixed","Lauraceae","Cinnamomum","unknown mixed",NA,"NR","CP, 50ha","both"
"Clausena excavata","Rutaceae","Clausena","excavata",NA,"NR","CP, 50ha","both"
"Clausena unknown","Rutaceae","Clausena","unknown",NA,NA,"50ha","unlogged"
"Cleistanthus hirsutulus","Phyllanthaceae","Cleistanthus","hirsutulus",NA,"AR, NR","CP, 50ha","both"
"Cleistanthus oblongifolius","Phyllanthaceae","Cleistanthus","oblongifolius",NA,"NR, AR","CP","logged"
"Cleistanthus podopyxis","Phyllanthaceae","Cleistanthus","podopyxis",NA,"no seedling data, AR","CP, 50ha","both"
"Cleistanthus species 2","Phyllanthaceae","Cleistanthus","species 2",NA,NA,"50ha","unlogged"
"Cleistanthus unknown mixed","Phyllanthaceae","Cleistanthus","unknown mixed",NA,"AR, NR","CP, 50ha","both"
"Coelostegia borneensis","Malvaceae","Coelostegia","borneensis",NA,"AR","CP, 50ha","both"
"Cowiea borneensis","Rubiaceae","Cowiea","borneensis",NA,NA,"50ha","unlogged"
"Crateva magna","Capparaceae","Crateva","magna",NA,NA,"50ha","unlogged"
"Cratoxylum cochinchinense","Hypericaceae","Cratoxylum","cochinchinense",NA,NA,"50ha","unlogged"
"Cratoxylum unknown mixed","Hypericaceae","Cratoxylum","unknown mixed",NA,"AR, NR","CP","logged"
"Croton argyratus","Euphorbiaceae","Croton","argyratus",NA,"NR","CP","logged"
"Croton oblongus","Euphorbiaceae","Croton","oblongus",NA,NA,"50ha","unlogged"
"Croton unknown mixed","Euphorbiaceae","Croton","unknown mixed",NA,NA,"50ha","unlogged"
"Crudia bantamensis","Fabacea","Crudia","bantamensis",NA,NA,"50ha","unlogged"
"Crudia tenuipes","Fabaceae","Crudia","tenuipes",NA,"AR","CP, 50ha","both"
"Crudia unknown mixed","Fabaceae","Crudia","unknown mixed",NA,"AR, NR","CP","logged"
"Crypteronia rubiflora","Crypteroniaceae","Crypteronia","rubiflora",NA,NA,"50ha","unlogged"
"Cryptocarya ferrea","Lauraceae","Cryptocarya","ferrea",NA,"AR, NR","CP, 50ha","both"
"Cryptocarya pulchrinervia","Lauraceae","Cryptocarya","pulchrinervia",NA,"no seedling data, NR","CP, 50ha","both"
"Cryptocarya strictifolia","Lauraceae","Cryptocarya","strictifolia",NA,"AR","CP","logged"
"Cryptocarya teysmanniana","Lauraceae","Cryptocarya","teysmanniana",NA,NA,"50ha","unlogged"
"Cryptocarya unknown mixed","Lauraceae","Cryptocarya","unknown mixed",NA,"AR","CP","logged"
"Cyathocalyx magnifructus","Annonaceae","Cyathocalyx","magnifructus",NA,"AR","CP, 50ha","both"
"Cynometra elmeri","Fabaceae","Cynometra","elmeri",NA,NA,"50ha","unlogged"
"Cynometra mirabilis","Fabaceae","Cynometra","mirabilis",NA,"NR","CP, 50ha","both"
"Dacryodes laxa","Burseraceae","Dacryodes","laxa",NA,NA,"50ha","unlogged"
"Dacryodes rostrata","Burseraceae","Dacryodes","rostrata",NA,"AR","CP, 50ha","both"
"Dacryodes rugosa","Burseraceae","Dacryodes","rugosa",NA,"AR, NR","CP, 50ha","both"
"Dacryodes species 1","Burseraceae","Dacryodes","species 1",NA,NA,"50ha","unlogged"
"Dacryodes unknown mixed","Burseraceae","Dacryodes","unknown mixed",NA,"AR, NR","CP","logged"
"Decaspermum parviflorum","Myrtaceae","Decaspermum","parviflorum",NA,NA,"50ha","unlogged"
"Dehaasia caesia","Lauraceae","Dehaasia","caesia",NA,"AR, NR","CP, 50ha","both"
"Dehaasia gigantocarpa","Lauraceae","Dehaasia","gigantocarpa",NA,NA,"50ha","unlogged"
"Dehaasia incrassata","Lauraceae","Dehaasia","incrassata",NA,"AR, NR","CP, 50ha","both"
"Dehaasia unknown mixed","Lauraceae","Dehaasia","unknown mixed",NA,"AR, NR","CP, 50ha","both"
"Dendrocnide elliptica","Urticaceae","Dendrocnide","elliptica",NA,"AR, NR","CP, 50ha","both"
"Dendrocnide stimulans","Urticaceae","Dendrocnide","stimulans",NA,NA,"50ha","unlogged"
"Dendrocnide unknown mixed","Urticaceae","Dendrocnide","unknown mixed",NA,"NR","CP, 50ha","both"
"Dialium indum","Fabaceae","Dialium","indum",NA,NA,"50ha","unlogged"
"Dialium unknown mixed","Fabaceae","Dialium","unknown mixed",NA,NA,"50ha","unlogged"
"Dillenia borneensis","Dilleniaceae","Dillenia","borneensis",NA,NA,"50ha","unlogged"
"Dillenia excelsa","Dilleniaceae","Dillenia","excelsa",NA,"NR, AR","CP, 50ha","both"
"Dillenia species 1","Dilleniaceae","Dillenia","species 1",NA,"NR","CP, 50ha","both"
"Dimocarpus dentatus","Sapindaceae","Dimocarpus","dentatus",NA,"NR, AR","CP, 50ha","both"
"Dimocarpus fumatus","Sapindaceae","Dimocarpus","fumatus",NA,NA,"50ha","unlogged"
"Dimocarpus longan","Sapindaceae","Dimocarpus","longan","ActiveRestoration, NaturalRegeneration","AR, NR","CP, 50ha, IF","both"
"Tritaxis denticulata","Euphorbiaceae","Tritaxis","denticulata",NA,"NR","CP, 50ha","both"
"Diospyros andamanica","Ebenaceae","Diospyros","andamanica",NA,"NR, AR","CP, 50ha","both"
"Diospyros borneensis","Ebenaceae","Diospyros","borneensis",NA,NA,"50ha","unlogged"
"Diospyros cauliflora","Ebenaceae","Diospyros","cauliflora",NA,"NR, no seedling data, AR","CP, 50ha","both"
"Diospyros curranii","Ebenaceae","Diospyros","curranii",NA,"AR, NR","CP, 50ha","both"
"Diospyros daemona","Ebenaceae","Diospyros","daemona",NA,NA,"50ha","unlogged"
"Diospyros dictyoneura","Ebenaceae","Diospyros","dictyoneura",NA,"NR","CP, 50ha","both"
"Diospyros diepenhorstii","Ebenaceae","Diospyros","diepenhorstii",NA,NA,"50ha","unlogged"
"Diospyros elliptifolia","Ebenaceae","Diospyros","elliptifolia",NA,"AR, NR","CP, 50ha","both"
"Diospyros euphlehia","Ebenaceae","Diospyros","euphlehia",NA,"AR","CP, 50ha","both"
"Diospyros frutescens","Ebenaceae","Diospyros","frutescens",NA,"NR","CP, 50ha","both"
"Diospyros peregrina","Ebenaceae","Diospyros","peregrina",NA,"AR, NR","CP, 50ha","both"
"Diospyros muricata","Ebenaceae","Diospyros","muricata",NA,"AR","CP, 50ha","both"
