"binomial_name","family","genus","species","history_at_IF_site","history_at_CP_site","species_origin","logging_status"
"Psydrax dicoccos","Rubiaceae","Psydrax","dicoccos",NA,"AR, NR","CP, 50ha","both"
"Pternandra coerulescens","Melastomataceae","Pternandra","coerulescens",NA,"AR, NR","CP, 50ha","both"
"Pterospermum javanicum","Malvaceae","Pterospermum","javanicum","ActiveRestoration","no seedling data, NR, AR","CP, 50ha, IF","both"
"Pterospermum subpeltatum","Malvaceae","Pterospermum","subpeltatum",NA,NA,"50ha","unlogged"
"Pterospermum unknown mixed","Malvaceae","Pterospermum","unknown mixed",NA,"NR","CP","logged"
"Pterygota alata","Malvaceae","Pterygota","alata",NA,"NR","CP","logged"
"Ptychopyxis arborea","Euphorbiaceae","Ptychopyxis","arborea",NA,"AR, NR","CP, 50ha","both"
"Putranjiva roxburghii","Putranjivaceae","Putranjiva","roxburghii",NA,NA,"50ha","unlogged"
"Pyrenaria acuminata","Theaceae","Pyrenaria","acuminata",NA,NA,"50ha","unlogged"
"Quercus argentata","Fagaceae","Quercus","argentata",NA,NA,"50ha","unlogged"
"Quercus unknown mixed","Fagaceae","Quercus","unknown mixed",NA,NA,"50ha","unlogged"
"Reinwardtiodendron humile","Meliaceae","Reinwardtiodendron","humile",NA,"AR, NR","CP, 50ha","both"
"Rennellia borneensis","Rubiaceae","Rennellia","borneensis",NA,NA,"50ha","unlogged"
"Rinorea bengalensis","Violaceae","Rinorea","bengalensis",NA,NA,"50ha","unlogged"
"Rinorea congesta","Violaceae","Rinorea","congesta",NA,NA,"50ha","unlogged"
"Rinorea unknown","Violaceae","Rinorea","unknown",NA,NA,"50ha","unlogged"
"Ridsdalea pseudoternifolia","Rubiaceae","Ridsdalea","pseudoternifolia",NA,"AR","CP, 50ha","both"
"Ryparosa acuminata","Achariaceae","Ryparosa","acuminata",NA,"AR, NR","CP, 50ha","both"
"Ryparosa hullettii","Achariaceae","Ryparosa","hullettii",NA,"AR","CP, 50ha","both"
"Ryparosa unknown mixed","Achariaceae","Ryparosa","unknown mixed",NA,NA,"50ha","unlogged"
"Sageraea elliptica","Annonaceae","Sageraea","elliptica",NA,"AR, NR","CP","logged"
"Sageraea lanceolata","Annonaceae","Sageraea","lanceolata",NA,NA,"50ha","unlogged"
"Sageraea sarawakensis","Annonaceae","Sageraea","sarawakensis",NA,NA,"50ha","unlogged"
"Santiria laevigata","Burseraceae","Santiria","laevigata",NA,"NR, AR","CP, 50ha","both"
"Santiria species 1","Burseraceae","Santiria","species 1",NA,NA,"50ha","unlogged"
"Santiria tomentosa","Burseraceae","Santiria","tomentosa",NA,"AR","CP, 50ha","both"
"Saraca declinata","Fabaceae","Saraca","declinata",NA,NA,"50ha","unlogged"
"Saurauia agamae","Actinidiaceae","Saurauia","agamae",NA,NA,"50ha","unlogged"
"Saurauia sp","Actinidiaceae","Saurauia","sp",NA,NA,"50ha","unlogged"
"Saurauia unknown mixed","Actinidiaceae","Saurauia","unknown mixed",NA,NA,"50ha","unlogged"
"Scaphium longiflorum","Malvaceae","Scaphium","longiflorum",NA,"AR, NR","CP","logged"
"Scaphium macropodum","Malvaceae","Scaphium","macropodum",NA,"AR, NR","CP, 50ha","both"
"Scaphium unknown mixed","Malvaceae","Scaphium","unknown mixed",NA,"NR","CP","logged"
"Scleropyrum pentandrum","Santalaceae","Scleropyrum","pentandrum",NA,NA,"50ha","unlogged"
"Scorodocarpus borneensis","Olacaceae","Scorodocarpus","borneensis",NA,"AR, NR","CP, 50ha","both"
"Semecarpus bunburyanus","Anacardiaceae","Semecarpus","bunburyanus",NA,"NR","CP, 50ha","both"
"Anthoshorea agamae","Dipterocarpaceae","Anthoshorea","agamae",NA,"NR, AR","CP, 50ha","both"
"Rubroshorea argentifolia","Dipterocarpaceae","Rubroshorea","argentifolia",NA,"AR, NR","CP, 50ha","both"
"Shorea atrinervosa","Dipterocarpaceae","Shorea","atrinervosa",NA,"AR, NR","CP, 50ha","both"
"Rubroshorea beccariana","Dipterocarpaceae","Rubroshorea","beccariana",NA,"AR, NR","CP","logged"
"Richetia faguetiana","Dipterocarpaceae","Richetia","faguetiana",NA,"AR, NR","CP, 50ha","both"
"Rubroshorea fallax","Dipterocarpaceae","Rubroshorea","fallax","NaturalRegeneration","AR, NR","CP, IF","logged"
"Rubroshorea gibbosa","Dipterocarpaceae","Rubroshorea","gibbosa","ActiveRestoration, NaturalRegeneration","AR, no seedling data, NR","CP, 50ha, IF","both"
"Rubroshorea johorensis","Dipterocarpaceae","Rubroshorea","johorensis","ActiveRestoration, NaturalRegeneration","AR, NR, no seedling data","CP, 50ha, IF","both"
"Rubroshorea leprosula","Dipterocarpaceae","Rubroshorea","leprosula","ActiveRestoration","AR, NR","CP, 50ha, IF","both"
"Shorea leptoderma","Dipterocarpaceae","Shorea","leptoderma",NA,NA,"50ha","unlogged"
"Rubroshorea macrophylla","Dipterocarpaceae","Rubroshorea","macrophylla","ActiveRestoration","AR, NR","CP, IF","logged"
"Rubroshorea macroptera","Dipterocarpaceae","Rubroshorea","macroptera",NA,"AR, NR","CP","logged"
"Rubroshorea mecistopteryx","Dipterocarpaceae","Rubroshorea","mecistopteryx",NA,"AR","CP","logged"
"Rubroshorea ovalis","Dipterocarpaceae","Rubroshorea","ovalis",NA,"AR, NR","CP","logged"
"Rubroshorea ovata","Dipterocarpaceae","Rubroshorea","ovata",NA,"NR","CP","logged"
"Rubroshorea parvifolia","Dipterocarpaceae","Rubroshorea","parvifolia","ActiveRestoration, NaturalRegeneration","AR, NR","CP, 50ha, IF","both"
"Rubroshorea pauciflora","Dipterocarpaceae","Rubroshorea","pauciflora","ActiveRestoration, NaturalRegeneration","AR, NR, no seedling data","CP, 50ha, IF","both"
"Shorea seminis","Dipterocarpaceae","Shorea","seminis",NA,"AR, NR","CP, 50ha","both"
"Shorea sp","Dipterocarpaceae","Shorea","sp",NA,"AR","CP","logged"
"Shorea superba","Dipterocarpaceae","Shorea","superba",NA,"AR, NR","CP, 50ha","both"
"Anthoshorea symingtonii","Dipterocarpaceae","Anthoshorea","symingtonii",NA,NA,"50ha","unlogged"
"Shorea unknown mixed","Dipterocarpaceae","Shorea","unknown mixed",NA,"AR, NR, no seedling data","CP, 50ha","both"
"Sindora irpicina","Fabaceae","Sindora","irpicina",NA,"AR, NR","CP, 50ha","both"
"Sloanea javanica","Elaeocarpaceae","Sloanea","javanica",NA,NA,"50ha","unlogged"
"Spathiostemon javensis","Euphorbiaceae","Spathiostemon","javensis",NA,"AR, NR","CP, 50ha","both"
"Stemonurus grandifolius","Stemonuraceae","Stemonurus","grandifolius",NA,"AR, NR","CP, 50ha","both"
"Stemonurus malaccensis","Stemonuraceae","Stemonurus","malaccensis",NA,NA,"50ha","unlogged"
"Stemonurus scorpioides","Stemonuraceae","Stemonurus","scorpioides",NA,"NR, AR","CP, 50ha","both"
"Stemonurus unknown mixed","Stemonuraceae","Stemonurus","unknown mixed",NA,"AR","CP, 50ha","both"
"Sterculia lanceolata","Malvaceae","Sterculia","lanceolata",NA,NA,"50ha","unlogged"
"Sterculia cordata","Malvaceae","Sterculia","cordata",NA,"AR","CP, 50ha","both"
"Sterculia rubiginosa","Malvaceae","Sterculia","rubiginosa",NA,NA,"50ha","unlogged"
"Sterculia stipulata","Malvaceae","Sterculia","stipulata",NA,NA,"50ha","unlogged"
"Sterculia unknown mixed","Malvaceae","Sterculia","unknown mixed",NA,NA,"50ha","unlogged"
"Paratrophis glabra","Moraceae","Paratrophis","glabra",NA,NA,"50ha","unlogged"
"Strombosia ceylanica","Olacaceae","Strombosia","ceylanica",NA,NA,"50ha","unlogged"
"Suregada multiflora","Euphorbiaceae","Suregada","multiflora",NA,NA,"50ha","unlogged"
"Sympetalandra unijuga","Fabaceae","Sympetalandra","unijuga",NA,"NR, AR","CP","logged"
"Symplocos fasciculata","Symplocaceae","Symplocos","fasciculata",NA,"AR, NR","CP, 50ha","both"
"Symplocos odoratissima","Symplocaceae","Symplocos","odoratissima",NA,NA,"50ha","unlogged"
"Symplocos unknown mixed","Symplocaceae","Symplocos","unknown mixed",NA,"AR","CP","logged"
"Syzygium barringtonioides","Myrtaceae","Syzygium","barringtonioides",NA,NA,"50ha","unlogged"
"Syzygium christmannii","Myrtaceae","Syzygium","christmannii",NA,NA,"50ha","unlogged"
"Syzygium creaghii","Myrtaceae","Syzygium","creaghii",NA,NA,"50ha","unlogged"
"Syzygium elliptilimbum","Myrtaceae","Syzygium","elliptilimbum",NA,NA,"50ha","unlogged"
"Syzygium elopurae","Myrtaceae","Syzygium","elopurae",NA,NA,"50ha","unlogged"
"Syzygium fastigiatum","Myrtaceae","Syzygium","fastigiatum",NA,NA,"50ha","unlogged"
"Syzygium hirtum","Myrtaceae","Syzygium","hirtum",NA,"AR","CP, 50ha","both"
"Syzygium imperiale","Myrtaceae","Syzygium","imperiale",NA,NA,"50ha","unlogged"
"Syzygium kiauense","Myrtaceae","Syzygium","kiauense",NA,NA,"50ha","unlogged"
"Syzygium kunstleri","Myrtaceae","Syzygium","kunstleri",NA,NA,"50ha","unlogged"
"Syzygium leptostemon","Myrtaceae","Syzygium","leptostemon",NA,NA,"50ha","unlogged"
"Syzygium panzeri","Myrtaceae","Syzygium","panzeri",NA,NA,"50ha","unlogged"
"Syzygium penibukanense","Myrtaceae","Syzygium","penibukanense",NA,NA,"50ha","unlogged"
"Syzygium pustulatum","Myrtaceae","Syzygium","pustulatum",NA,NA,"50ha","unlogged"
"Syzygium scortechinii","Myrtaceae","Syzygium","scortechinii",NA,NA,"50ha","unlogged"
"Syzygium tawahense","Myrtaceae","Syzygium","tawahense",NA,NA,"50ha","unlogged"
"Syzygium unknown mixed","Myrtaceae","Syzygium","unknown mixed",NA,"AR, NR, no seedling data","CP, 50ha","both"
"Tabernaemontana macrocarpa","Apocynaceae","Tabernaemontana","macrocarpa",NA,NA,"50ha","unlogged"
"Tabernaemontana pauciflora","Apocynaceae","Tabernaemontana","pauciflora",NA,NA,"50ha","unlogged"
"Tabernaemontana unknown mixed","Apocynaceae","Tabernaemontana","unknown mixed",NA,NA,"50ha","unlogged"
"unknown unknown","Magnoliaceae","unknown","unknown",NA,"NR, AR","CP","logged"
"unknown unknown mixed","Magnoliaceae","unknown","unknown mixed",NA,"NR","CP","logged"
"Teijsmanniodendron bogoriense","Lamiaceae","Teijsmanniodendron","bogoriense",NA,NA,"50ha","unlogged"
"Teijsmanniodendron pteropodum","Lamiaceae","Teijsmanniodendron","pteropodum",NA,"AR","CP","logged"
"Teijsmanniodendron unknown mixed","Lamiaceae","Teijsmanniodendron","unknown mixed",NA,"AR, NR","CP","logged"
"Terminalia citrina","Combretaceae","Terminalia","citrina",NA,NA,"50ha","unlogged"
"Terminalia ivorensis","Combretaceae","Terminalia","ivorensis",NA,NA,"50ha","unlogged"
"Terminalia phellocarpa","Combretaceae","Terminalia","phellocarpa",NA,NA,"50ha","unlogged"
"Terminalia species 1","Combretaceae","Terminalia","species 1",NA,NA,"50ha","unlogged"
"Terminalia species 2","Combretaceae","Terminalia","species 2",NA,NA,"50ha","unlogged"
"Timonius lasianthoides","Rubiaceae","Timonius","lasianthoides",NA,NA,"50ha","unlogged"
"Timonius wallichianus","Rubiaceae","Timonius","wallichianus",NA,NA,"50ha","unlogged"
"Triomma malaccensis","Burseraceae","Triomma","malaccensis",NA,"NR","CP, 50ha","both"
"Dalrympelea sphaerocarpa","Staphyleaceae","Dalrympelea","sphaerocarpa",NA,NA,"50ha","unlogged"
"Unknown species 8","Annonaceae","Unknown","species 8",NA,"NR","CP","logged"
"Unknown unknown mixed","Annonaceae","Unknown","unknown mixed",NA,"AR, NR","CP","logged"
"Urophyllum  glabrum","Rubiaceae","Urophyllum ","glabrum",NA,"NR","CP","logged"
"Urophyllum  unknown mixed","Rubiaceae","Urophyllum ","unknown mixed",NA,"AR","CP","logged"
"Vatica albiramis","Dipterocarpaceae","Vatica","albiramis",NA,"AR","CP, 50ha","both"
"Vatica chartacea","Dipterocarpaceae","Vatica","chartacea",NA,NA,"50ha","unlogged"
"Vatica dulitensis","Dipterocarpaceae","Vatica","dulitensis",NA,"AR, NR","CP","logged"
"Vatica oblongifolia","Dipterocarpaceae","Vatica","oblongifolia",NA,NA,"50ha","unlogged"
"Vatica sarawakensis","Dipterocarpaceae","Vatica","sarawakensis",NA,"AR","CP, 50ha","both"
"Vatica umbonata","Dipterocarpaceae","Vatica","umbonata",NA,NA,"50ha","unlogged"
"Vitex pinnata","Lamiaceae","Vitex","pinnata",NA,"AR, NR","CP, 50ha","both"
"Walsura pachycaulon","Meliaceae","Walsura","pachycaulon",NA,NA,"50ha","unlogged"
"Walsura pinnata","Meliaceae","Walsura","pinnata",NA,"AR, NR","CP, 50ha","both"
"Walsura species 1","Meliaceae","Walsura","species 1",NA,NA,"50ha","unlogged"
"Xanthophyllum adenotus","Polygalaceae","Xanthophyllum","adenotus",NA,NA,"50ha","unlogged"
"Xanthophyllum flavescens","Polygalaceae","Xanthophyllum","flavescens",NA,"AR, NR","CP, 50ha","both"
"Xanthophyllum pachycarpon","Polygalaceae","Xanthophyllum","pachycarpon",NA,NA,"50ha","unlogged"
"Xanthophyllum reticulatum","Polygalaceae","Xanthophyllum","reticulatum",NA,NA,"50ha","unlogged"
"Xanthophyllum species 1","Polygalaceae","Xanthophyllum","species 1",NA,NA,"50ha","unlogged"
"Xanthophyllum species 2","Polygalaceae","Xanthophyllum","species 2",NA,NA,"50ha","unlogged"
"Xanthophyllum species 3","Polygalaceae","Xanthophyllum","species 3",NA,NA,"50ha","unlogged"
"Xanthophyllum species 4","Polygalaceae","Xanthophyllum","species 4",NA,NA,"50ha","unlogged"
"Xanthophyllum species 5","Polygalaceae","Xanthophyllum","species 5",NA,NA,"50ha","unlogged"
"Xanthophyllum species 6","Polygalaceae","Xanthophyllum","species 6",NA,NA,"50ha","unlogged"
"Xanthophyllum species 7","Polygalaceae","Xanthophyllum","species 7",NA,NA,"50ha","unlogged"
"Xanthophyllum unknown mixed","Polygalaceae","Xanthophyllum","unknown mixed",NA,"AR, NR","CP","logged"
"Xanthophyllum vitellinum","Polygalaceae","Xanthophyllum","vitellinum",NA,NA,"50ha","unlogged"
"Xylopia ferruginea","Annonaceae","Xylopia","ferruginea",NA,"AR","CP, 50ha","both"
"Ziziphus augustifolia","Rhamnaceae","Ziziphus","augustifolia",NA,"AR, NR","CP, 50ha","both"
