"binomial_name","Family","Genus","Species","restoration","count","mean_DBH","mean_Height","relative_abundance","relative_abundance_percent"
"Pentace unknown mixed","MALVACEAE","Pentace","unknown mixed","AR",1,200,11.2,0.0459770114942529,0.0459770114942529
"Phaeanthus splendens","ANNONACEAE","Phaeanthus","splendens","AR",4,158.5,16.975,0.183908045977011,0.183908045977011
"Planchonia brevistipitata","BARRINGTONIACEAE","Planchonia","brevistipitata","AR",2,142,9.8,0.0919540229885057,0.0919540229885057
"Planchonia unknown mixed","BARRINGTONIACEAE","Planchonia","unknown mixed","AR",1,295,28.9,0.0459770114942529,0.0459770114942529
"Pleiocarpidia sandakanica","RUBIACEAE","Pleiocarpidia","sandakanica","AR",68,150.970149253731,11.3492537313433,3.1264367816092,3.1264367816092
"Pometia pinnata","SAPINDACEAE","Pometia","pinnata","AR",4,212.25,20.025,0.183908045977011,0.183908045977011
"Prunus polystachya","ROSACEAE","Prunus","polystachya","AR",3,148,21.3666666666667,0.137931034482759,0.137931034482759
"Prunus unknown mixed","ROSACEAE","Prunus","unknown mixed","AR",1,250,31.8,0.0459770114942529,0.0459770114942529
"Pseuduvaria reticulata","ANNONACEAE","Pseuduvaria","reticulata","AR",2,156.5,12.4,0.0919540229885057,0.0919540229885057
"Psydrax dicoccus","RUBIACEAE","Psydrax","dicoccus","AR",1,123,18,0.0459770114942529,0.0459770114942529
"Pternandra coerulescens","MELASTOMATACEAE","Pternandra","coerulescens","AR",12,129.833333333333,12.5833333333333,0.551724137931034,0.551724137931034
"Pterospermum javanicum","MALVACEAE","Pterospermum","javanicum","AR",19,310.736842105263,19.9263157894737,0.873563218390805,0.873563218390805
"Ptychopyxis arborea","EUPHORBIACEAE","Ptychopyxis","arborea","AR",2,142.5,14.45,0.0919540229885057,0.0919540229885057
"Reinwardtiodendron humile","MELIACEAE","Reinwardtiodendron","humile","AR",5,132,17.06,0.229885057471264,0.229885057471264
"Rothmannia pseudoternisfolia","RUBIACEAE","Rothmannia","pseudoternisfolia","AR",4,199.5,23.55,0.183908045977011,0.183908045977011
"Ryparosa acuminata","ACHARIACEAE","Ryparosa","acuminata","AR",3,175.333333333333,19.0666666666667,0.137931034482759,0.137931034482759
"Ryparosa hullettii","ACHARIACEAE","Ryparosa","hullettii","AR",3,269.666666666667,21.3333333333333,0.137931034482759,0.137931034482759
"Sageraea elliptica","ANNONACEAE","Sageraea","elliptica","AR",1,139,17.7,0.0459770114942529,0.0459770114942529
"Santiria laevigata","BURSERACEAE","Santiria","laevigata","AR",1,171,19.3,0.0459770114942529,0.0459770114942529
"Santiria tomentosa","BURSERACEAE","Santiria","tomentosa","AR",1,174,19.7,0.0459770114942529,0.0459770114942529
"Scaphium longiflorum","MALVACEAE","Scaphium","longiflorum","AR",4,163,22.15,0.183908045977011,0.183908045977011
"Scaphium longifolium","MALVACEAE","Scaphium","longifolium","AR",2,283,25.15,0.0919540229885057,0.0919540229885057
"Scaphium macropodum","MALVACEAE","Scaphium","macropodum","AR",5,165.2,18.12,0.229885057471264,0.229885057471264
"Scorodocarpus borneensis","OLACACEAE","Scorodocarpus","borneensis","AR",8,263.5,23.225,0.367816091954023,0.367816091954023
"Shorea agamii","DIPTEROCARPACEAE","Shorea","agamii","AR",1,135,11.4,0.0459770114942529,0.0459770114942529
"Shorea argentifolia","DIPTEROCARPACEAE","Shorea","argentifolia","AR",2,789,46.15,0.0919540229885057,0.0919540229885057
"Shorea atrinervosa","DIPTEROCARPACEAE","Shorea","atrinervosa","AR",4,261.75,29.4,0.183908045977011,0.183908045977011
"Shorea beccariana","DIPTEROCARPACEAE","Shorea","beccariana","AR",1,136,17.5,0.0459770114942529,0.0459770114942529
"Shorea beccariana","Dipterocarpaceae","Shorea","beccariana","AR",17,312.235294117647,26.6117647058824,0.781609195402299,0.781609195402299
"Shorea faguetiana","DIPTEROCARPACEAE","Shorea","faguetiana","AR",17,254.176470588235,22.0588235294118,0.781609195402299,0.781609195402299
"Shorea fallax","DIPTEROCARPACEAE","Shorea","fallax","AR",46,249.717391304348,22.9413043478261,2.11494252873563,2.11494252873563
"Shorea gibbosa","DIPTEROCARPACEAE","Shorea","gibbosa","AR",33,259.939393939394,24.969696969697,1.51724137931034,1.51724137931034
"Shorea johorensis","DIPTEROCARPACEAE","Shorea","johorensis","AR",38,438.184210526316,31.9447368421053,1.74712643678161,1.74712643678161
"Shorea leprosula","DIPTEROCARPACEAE","Shorea","leprosula","AR",11,201.181818181818,23.7636363636364,0.505747126436782,0.505747126436782
"Shorea macrophylla","DIPTEROCARPACEAE","Shorea","macrophylla","AR",55,472.672727272727,31.4672727272727,2.52873563218391,2.52873563218391
"Shorea macroptera","DIPTEROCARPACEAE","Shorea","macroptera","AR",6,307.166666666667,28.6666666666667,0.275862068965517,0.275862068965517
"Shorea mecistopteryx","DIPTEROCARPACEAE","Shorea","mecistopteryx","AR",11,444,30.3363636363636,0.505747126436782,0.505747126436782
"Shorea ovalis","DIPTEROCARPACEAE","Shorea","ovalis","AR",1,216,19.8,0.0459770114942529,0.0459770114942529
"Shorea parvifolia","DIPTEROCARPACEAE","Shorea","parvifolia","AR",55,417.909090909091,32.8290909090909,2.52873563218391,2.52873563218391
"Shorea pauciflora","DIPTEROCARPACEAE","Shorea","pauciflora","AR",11,543.363636363636,36.0363636363636,0.505747126436782,0.505747126436782
"Shorea seminis","DIPTEROCARPACEAE","Shorea","seminis","AR",5,182,19.58,0.229885057471264,0.229885057471264
"Shorea sp","DIPTEROCARPACEAE","Shorea","sp","AR",21,219.52380952381,19.352380952381,0.96551724137931,0.96551724137931
"Shorea superba","DIPTEROCARPACEAE","Shorea","superba","AR",9,311.222222222222,30.4,0.413793103448276,0.413793103448276
"Shorea unknown mixed","DIPTEROCARPACEAE","Shorea","unknown mixed","AR",14,361.785714285714,28.9928571428571,0.64367816091954,0.64367816091954
"Sindora irpicina","FABACEAE","Sindora","irpicina","AR",1,210,17.6,0.0459770114942529,0.0459770114942529
"Spathiostemon javensis","EUPHORBIACEAE","Spathiostemon","javensis","AR",6,192.833333333333,17.1833333333333,0.275862068965517,0.275862068965517
"Stemonurus grandifolius","STEMONURACEAE","Stemonurus","grandifolius","AR",1,227,22.3,0.0459770114942529,0.0459770114942529
"Stemonurus scorpiodes","STEMONURACEAE","Stemonurus","scorpiodes","AR",1,179,16.3,0.0459770114942529,0.0459770114942529
"Stemonurus unknown mixed","STEMONURACEAE","Stemonurus","unknown mixed","AR",1,353,25.9,0.0459770114942529,0.0459770114942529
