LastName	FirstName	DatasetID	Dataset	SpeciesName	AccSpeciesID	AccSpeciesName	ObservationID	ObsDataID	TraitID	TraitName	DataID	DataName	OriglName	OrigValueStr	OrigUnitStr	ValueKindName	OrigUncertaintyStr	UncertaintyName	Replicates	StdValue	UnitName	RelUncertaintyPercent	OrigObsDataID	ErrorRisk	Reference	Comment	StdValueStr	
Liu	Udayangani	21	KEW Seed Information Database (SID)	Pterospermum javanicum	44911	Pterospermum javanicum	30401	741460			235	Comments, notes, methods	Note	Diaspore=winged seed.											Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008).			
Liu	Udayangani	21	KEW Seed Information Database (SID)	Pterospermum javanicum	44911	Pterospermum javanicum	30401	741461			113	Reference / source	Reference	Yamada, T. and Suzuki, E. 1999. Comparative morphology and allometry of winged diaspores among  ...											Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008).		9371	
Liu	Udayangani	21	KEW Seed Information Database (SID)	Pterygota alata	44954	Pterygota alata	30403	741466	28	Dispersal syndrome	32	Dispersal syndrome (agent)	PostDispersalAgentSubGroupDescription	Wind											Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008).			
Liu	Udayangani	21	KEW Seed Information Database (SID)	Pterygota alata	44954	Pterygota alata	1057166	741467	28	Dispersal syndrome	32	Dispersal syndrome (agent)	PostDispersalAgentSubGroupDescription	Diaspore is blown by wind											Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008).			
Liu	Udayangani	21	KEW Seed Information Database (SID)	Pterygota alata	44954	Pterygota alata	30403	741468			235	Comments, notes, methods	Note	Diaspore=winged seed.											Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008).			
Liu	Udayangani	21	KEW Seed Information Database (SID)	Pterygota alata	44954	Pterygota alata	30403	741469			113	Reference / source	Reference	Yamada, T. and Suzuki, E. 1999. Comparative morphology and allometry of winged diaspores among  ...											Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008).		9371	
Liu	Udayangani	21	KEW Seed Information Database (SID)	Mangifera indica	35315	Mangifera indica	31075	744221	28	Dispersal syndrome	32	Dispersal syndrome (agent)	PostDispersalAgentSubGroupDescription	Animal											Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008).			
Liu	Udayangani	21	KEW Seed Information Database (SID)	Mangifera indica	35315	Mangifera indica	1057753	744222	28	Dispersal syndrome	32	Dispersal syndrome (agent)	PostDispersalAgentSubGroupDescription	Diaspore is carried intentionally											Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008).			
Liu	Udayangani	21	KEW Seed Information Database (SID)	Mangifera indica	35315	Mangifera indica	31075	744223			235	Comments, notes, methods	Note	Diaspore=fruit. The fruit is fleshy/juicy.											Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008).			
Liu	Udayangani	21	KEW Seed Information Database (SID)	Mangifera indica	35315	Mangifera indica	31075	744224			113	Reference / source	Reference	Janzen, D. H. 1969. Seed-eaters versus seed size, number, toxicity and dispersal. Evolution, 23 ...											Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008).		4045	
Liu	Udayangani	21	KEW Seed Information Database (SID)	Parinari excelsa	40317	Parinari excelsa	31885	747269	28	Dispersal syndrome	32	Dispersal syndrome (agent)	PostDispersalAgentSubGroupDescription	Animal											Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008).			
